Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,29,Naudojimas: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,34,NetworkManager,po/lt.po
GROUP,96,GRUPĖ,97,NetworkManager,po/lt.po
Error: openconnect failed: %s\n,101,Klaida: openconnect nepavyko: %s\n,102,NetworkManager,po/lt.po
Error: openconnect failed with status %d\n,106,Klaida: openconnect nepavyko su būsena %d\n,107,NetworkManager,po/lt.po
Error: openconnect failed with signal %d\n,111,Klaida: openconnect nepavyko su signalu %d\n,112,NetworkManager,po/lt.po
Error: NetworkManager is not running.,127,Klaida: NetworkManager neveikia.,128,NetworkManager,po/lt.po
unknown,155,nežinoma,156,NetworkManager,po/lt.po
none,159,jokia,160,NetworkManager,po/lt.po
Setting name? ,176,Nustatomas pavadinimas?,177,NetworkManager,po/lt.po
Property name? ,180,Savybės pavadinimas?,181,NetworkManager,po/lt.po
Enter connection type: ,184,Įveskite ryšio tipą: ,185,NetworkManager,po/lt.po
activating,209,aktyvuojama,210,NetworkManager,po/lt.po
activated,213,aktyvuota,214,NetworkManager,po/lt.po
deactivating,217,deaktyvuojama,218,NetworkManager,po/lt.po
deactivated,221,išjungtas,222,NetworkManager,po/lt.po
VPN connecting (prepare),225,VPN jungiamasi (ruošiama),226,NetworkManager,po/lt.po
VPN connecting (need authentication),229,VPN jungiamasi (reikia nustatyti tapatybę),230,NetworkManager,po/lt.po
VPN connecting,233,VPN jungiamasi,234,NetworkManager,po/lt.po
VPN connecting (getting IP configuration),237,VPN jungiamasi (gaunama IP konfigūracija),238,NetworkManager,po/lt.po
VPN connected,241,VPN prisijungta,242,NetworkManager,po/lt.po
VPN connection failed,245,VPN prisijungti nepavyko,246,NetworkManager,po/lt.po
VPN disconnected,249,VPN atsijungta,250,NetworkManager,po/lt.po
never,253,niekada,254,NetworkManager,po/lt.po
Connection profile details,658,Išsamesnė ryšio profilio informacija,659,NetworkManager,po/lt.po
Error: 'connection show': %s,663,Klaida: „connection show“: %s,664,NetworkManager,po/lt.po
unknown connection '%s',708,"nežinomas ryšys \""%s\""",709,NetworkManager,po/lt.po
'--order' argument is missing,712,"trūksta argumento \""--order\""",713,NetworkManager,po/lt.po
NetworkManager active profiles,716,NetworkManager aktyvūs profiliai,717,NetworkManager,po/lt.po
NetworkManager connection profiles,720,NetworkManager ryšio profiliai,721,NetworkManager,po/lt.po
Error: %s argument is missing.,737,Klaida: trūksta argumento %s.,738,NetworkManager,po/lt.po
Error: %s - no such connection profile.,742,Klaida: %s - tokio ryšio profilio nėra.,743,NetworkManager,po/lt.po
Error: %s.,753,Klaida: %s,754,NetworkManager,po/lt.po
