none,8965,neviens,8966,NetworkManager,po/lv.po
WEP 128-bit Passphrase,12716,WEP 128-bit Parole,12717,NetworkManager,po/lv.po
Open System,12754,Atvērt sistēmu,12755,NetworkManager,po/lv.po
Shared Key,12758,Koplietošanas atslēga,12759,NetworkManager,po/lv.po
Show password,12821,Rādīt paroli,12822,NetworkManager,po/lv.po
Give your application an accessibility workout,29,Uzlabo savas lietotnes pieejamību,30,accerciser,po/lv.po
accessibility;development;test;,33,pieejamība;izstrāde;testēšana;,34,accerciser,po/lv.po
Accerciser Accessibility Explorer,37,Accerciser pieejamības pārlūks,38,accerciser,po/lv.po
A list of plugins that are disabled by default,41,Pēc noklusējuma izslēgto spraudņu saraksts,42,accerciser,po/lv.po
A list of plugins that are disabled by default.,45,Pēc noklusējuma izslēgto spraudņu saraksts.,46,accerciser,po/lv.po
Highlight duration,49,Izcelšanas ilgums,50,accerciser,po/lv.po
The duration of the highlight box when selecting accessible nodes.,53,"Izcelšanas kastes ilgums, kas izvēlas pieejamības mezglus.",54,accerciser,po/lv.po
Highlight fill color,57,Izcelšanas aizpildījuma krāsa,58,accerciser,po/lv.po
The color and opacity of the highlight fill.,61,Izceltā aizpildījuma krāsa un caurspīdīgums.,62,accerciser,po/lv.po
Highlight border color,65,Izcelšanas apmales krāsa,66,accerciser,po/lv.po
The color and opacity of the highlight border.,69,Izceltā robežas krāsa un caurspīdīgums.,70,accerciser,po/lv.po
Horizontal split,73,Horizontāls dalījums,74,accerciser,po/lv.po
Position of the horizontal split of the main window.,77,Horizontālā dalījuma novietojums  galvenajā logā,78,accerciser,po/lv.po
Vertical split,81,Vertikāls dalījums,82,accerciser,po/lv.po
Position of the vertical split of the main window.,85,Vertikālā dalījuma novietojums  galvenajā logā,86,accerciser,po/lv.po
Default window height,89,Noklusētais loga augstums,90,accerciser,po/lv.po
The window height value.,93,Loga augstuma vērtība.,94,accerciser,po/lv.po
Default window width,97,Noklusētais loga platums,98,accerciser,po/lv.po
The window width value.,101,Loga platuma vērtība.,102,accerciser,po/lv.po
The layout for the bottom panel,105,Apakšējā paneļa izkārtojums,106,accerciser,po/lv.po
The layout for the bottom panel pluginview.,109,Apakšējā paneļa spraudņu skata izkārtojums.,110,accerciser,po/lv.po
The layout for the top panel,113,Augšējā paneļa izkārtojums,114,accerciser,po/lv.po
The layout for the top panel pluginview.,117,Augšējā paneļa spraudņu skata izkārtojums.,118,accerciser,po/lv.po
Single layout view,121,Vienkārša izkārtojuma skats,122,accerciser,po/lv.po
