Toolbar is Visible,71,Miseho ny anjan'ny fitaovana,72,baobab,po/mg.po
Whether any change to the home directory should be monitored.,75,Mamaritra hoe tokony tantanana izay fanovana atao amin'ny laha-tahirin'ny fandraisana na tsia. ,76,baobab,po/mg.po
Whether the status bar at the bottom of main window should be visible.,81,Mamaritra hoe tokony hiseho eo ambanin'ny fikandrana voalohany indrindra ny anjan'ny fivoarana na tsia.,82,baobab,po/mg.po
Whether the toolbar should be visible in main window.,87,Mamaritra hoe tokony hiseho eo amin'ny fikandrana voalohany indrindra ny anjan'ny fitaovana na tsia.,88,baobab,po/mg.po
Scan Folder,121,Zahavo ilay laha-tahiry,122,baobab,po/mg.po
Scan _Filesystem,135,Hizaha _rafi-drakitra,136,baobab,po/mg.po
Scan a remote folder,149,Mizaha laha-tahiry lavi-toerana iray,150,baobab,po/mg.po
Stop scanning,168,Ajanony ny fizahavana,169,baobab,po/mg.po
_Contents,182,_Mpiaty,183,baobab,po/mg.po
_Edit,186,_Ovay,187,baobab,po/mg.po
_Help,194,_Toro_làlana,195,baobab,po/mg.po
_Toolbar,198,_Anjan'ny fitaovana,199,baobab,po/mg.po
_View,202,_Jerena,203,baobab,po/mg.po
Scanning...,206,Mizaha...,207,baobab,po/mg.po
Total filesystem capacity:,210,tontalin'ny haben'ny rafi-drakitra:,211,baobab,po/mg.po
used:,214,ampiasaina:,215,baobab,po/mg.po
available:,218,misy:,219,baobab,po/mg.po
Calculating percentage bars...,223,Mikajy ny anjan'ny isan-jato...,224,baobab,po/mg.po
Ready,227,Vonona,228,baobab,po/mg.po
contains hardlinks for:,241,ahitana hardlinks ho an'ny:,242,baobab,po/mg.po
Zoom in,269,Zòma manalehibe,270,baobab,po/mg.po
Zoom out,273,Zòma mampihena,274,baobab,po/mg.po
Cannot create pixbuf image!,335,Tsy afaka mamorona dindo pixbuf!,336,baobab,po/mg.po
Scan,350,Zahavo,351,baobab,po/mg.po
Device,354,Periferika,355,baobab,po/mg.po
Custom Location,382,Toerana safidy,383,baobab,po/mg.po
Public FTP,390,FTP ho an'ny besinimaro,391,baobab,po/mg.po
FTP (with login),394,FTP (mila teny fanalahidy),395,baobab,po/mg.po
Windows share,398,Fifampizarana amin'ny Windows,399,baobab,po/mg.po
Secure WebDAV (HTTPS),406,WebDAV (HTTPS) azo antoka,407,baobab,po/mg.po
Please enter a name and try again.,415,Manorata anarana dia andramo indray.,416,baobab,po/mg.po
_Location (URI):,419,_Toerana (URI):,420,baobab,po/mg.po
_Server:,423,_Mpizara:,424,baobab,po/mg.po
Optional information:,427,Laza safidy:,428,baobab,po/mg.po
_Share:,431,_Fifampizarana:,432,baobab,po/mg.po
_Port:,435,_Irika:,436,baobab,po/mg.po
_Folder:,439,_Laha-tahiry:,440,baobab,po/mg.po
_User Name:,443,Anaran'ny _mpampiasa:,444,baobab,po/mg.po
_Domain Name:,447,Anaran-do_mena:,448,baobab,po/mg.po
Service _type:,456,_Karazan-tsampan'asa:,457,baobab,po/mg.po
Folder,484,Laha-tahiry,485,baobab,po/mg.po
Size,492,Habe,493,baobab,po/mg.po
Mo_ve to Trash,531,_Alefaso anaty daba,532,baobab,po/mg.po
There was an error displaying help.,561,Nisy olana teo am-panehoana ireo toro-làlana.,562,baobab,po/mg.po
The document does not exist.,601,Tsy misy ilay tahirin-kevitra.,602,baobab,po/mg.po
The folder does not exist.,605,Tsy misy ilay laha-tahiry.,606,baobab,po/mg.po
Image Viewer,21,Mpizaha sary,22,eog,po/mg.po
View different types of images,25,Mizaha karazan-tsary maro,26,eog,po/mg.po
<b>File Name Preview</b>,37,<b>Topy mason'ny anaran-drakitra</b>,38,eog,po/mg.po
<b>File Path Specifications</b>,41,<b>Filazana ny sori-dàlan'ny rakitra</b>,42,eog,po/mg.po
<b>Image Interpolation</b>,45,<b>Fanasisihana sary</b>,46,eog,po/mg.po
<b>Image Zoom</b>,49,<b>Zòman'ilay sary</b>,50,eog,po/mg.po
<b>Options</b>,53,<b>Safidy</b>,54,eog,po/mg.po
<b>Sequence</b>,57,<b>Tranga</b>,58,eog,po/mg.po
<b>Transparent Parts</b>,61,<b>Farita mangarahara</b>,62,eog,po/mg.po
Allow _zoom greater than 100% initially,66,Ekeo ny _zòma mihoatra ny 100% amboalohany,67,eog,po/mg.po
As _background,70,Ataovy _afara,71,eog,po/mg.po
As check _pattern,74,Ataovy _damie,75,eog,po/mg.po
As custom c_olor:,78,Ataovy _loko safidy:,79,eog,po/mg.po
Color for Transparent Areas,82,Loko ho an'ny faritra mangarahara,83,eog,po/mg.po
Destination Folder:,86,Lahatahiry iantefana:,87,eog,po/mg.po
Eye of GNOME Preferences,90,Safidy manokan'ny Eye of GNOME,91,eog,po/mg.po
