Accerciser Accessibility Explorer,21,Accerciser истражувач на пристапности,22,accerciser,po/mk.po
Give your application an accessibility workout,25,Додајте ѝ на вашата апликација пристапност,26,accerciser,po/mk.po
A list of plugins that are disabled by default,29,Листа на приклучоци кои се стандардно оневозможени,30,accerciser,po/mk.po
The default plugin layout for the bottom panel,33,Стандардниот распоред на приклучоци од долниот панел,34,accerciser,po/mk.po
The default plugin layout for the top panel,37,Стандардниот распоред на приклучоци од горниот панел,38,accerciser,po/mk.po
API Browser,41,API прелистувач,42,accerciser,po/mk.po
Browse the various methods of the current accessible,45,Прелистај ги разните методи на тековниот пристап,46,accerciser,po/mk.po
Hide private attributes,49,Криј ги приватните атрибути,50,accerciser,po/mk.po
Method,53,Метод,54,accerciser,po/mk.po
Property,57,Својство,58,accerciser,po/mk.po
Value,61,Вредност,62,accerciser,po/mk.po
IPython Console,65,IPython конзола,66,accerciser,po/mk.po
Interactive console for manipulating currently selected accessible,69,Интерактивна конзола за манипулирање со тековно избраните пристапности,70,accerciser,po/mk.po
<b>Event monitor</b>,73,<b>Надгледувач на настани</b>,74,accerciser,po/mk.po
C_lear Selection,77,И_счисти го изборот,78,accerciser,po/mk.po
Everything,81,Сѐ,82,accerciser,po/mk.po
Selected accessible,85,Избрана пристапност,86,accerciser,po/mk.po
Selected application,89,Избрана апликација,90,accerciser,po/mk.po
Source,93,Извор,94,accerciser,po/mk.po
_Monitor Events,97,_Надгледувај ги настаните,98,accerciser,po/mk.po
Event Monitor,114,Надгледувач на настани,115,accerciser,po/mk.po
Shows events as they occur from selected types and sources,118,Ги прикажува настаните како што се случуваат од избраните типови и извори,119,accerciser,po/mk.po
Highlight last event entry,122,Осветли го последниот запис на настан,123,accerciser,po/mk.po
Name,129,Име,130,accerciser,po/mk.po
Full name,133,Целосно име,134,accerciser,po/mk.po
<b>Attributes</b>,149,<b>Атрибути</b>,150,accerciser,po/mk.po
<b>Child count</b>,153,<b>Број на деца</b>,154,accerciser,po/mk.po
<b>Description</b>,157,<b>Опис</b>,158,accerciser,po/mk.po
<b>Relations</b>,161,<b>Релации</b>,162,accerciser,po/mk.po
<b>Selected Cell</b>,165,<b>Избрана ќелија</b>,166,accerciser,po/mk.po
<b>States</b>,169,<b>Состојби</b>,170,accerciser,po/mk.po
<b>Table Information</b>,173,<b>Информации за табела</b>,174,accerciser,po/mk.po
<b>Text</b>,177,<b>Текст</b>,178,accerciser,po/mk.po
<b>unknown</b>,181,<b>непознато</b>,182,accerciser,po/mk.po
<i>(no description)</i>,186,<i>(без опис)</i>,187,accerciser,po/mk.po
<i>Caption:</i>,190,<i>Наслов:</i>,191,accerciser,po/mk.po
<i>End: 0</i>,194,<i>Крај: 0</i>,195,accerciser,po/mk.po
<i>Start: 0</i>,198,<i>Почеток: 0</i>,199,accerciser,po/mk.po
<i>Summary:</i>,202,<i>Резиме:</i>,203,accerciser,po/mk.po
<no description>,206,<нема опис>,207,accerciser,po/mk.po
Absolute position,210,Апсолутна позиција,211,accerciser,po/mk.po
Acti_on,214,Дејс_тво,215,accerciser,po/mk.po
Alpha,218,Алфа,219,accerciser,po/mk.po
Ap_plication,222,Ап_ликација,223,accerciser,po/mk.po
Co_mponent,226,Ко_мпонента,227,accerciser,po/mk.po
Col_lection,230,Кол_екција,231,accerciser,po/mk.po
Column,234,Колона,235,accerciser,po/mk.po
Columns,238,Колони,239,accerciser,po/mk.po
Current value,242,Тековна вредност,243,accerciser,po/mk.po
Des_ktop,246,Раб_отна површина,247,accerciser,po/mk.po
Description,250,Опис,251,accerciser,po/mk.po
Extents:,254,Растојанија:,255,accerciser,po/mk.po
H_ypertext,258,Х_ипертекст,259,accerciser,po/mk.po
Header:,262,Заглавје:,263,accerciser,po/mk.po
Hyperlink,266,Хиперврска,267,accerciser,po/mk.po
ID,270,Ид.,271,accerciser,po/mk.po
Include defaults,274,Вклучи стандардни,275,accerciser,po/mk.po
Layer,278,Слој,279,accerciser,po/mk.po
Lo_gin Helper,282,Помошник за на_јава,283,accerciser,po/mk.po
Locale,286,Локале,287,accerciser,po/mk.po
Locale:,290,Локале:,291,accerciser,po/mk.po
MDI-Z-order,294,MDI-Z-ред,295,accerciser,po/mk.po
Maximum value,298,Максимална вредност,299,accerciser,po/mk.po
Minimum increment,302,Максимално покачување,303,accerciser,po/mk.po
Minimum value,306,Минимална вредност,307,accerciser,po/mk.po
Offset,310,Израмнување,311,accerciser,po/mk.po
Perform action,314,Изврши дејство,315,accerciser,po/mk.po
Position,318,Позиција,319,accerciser,po/mk.po
Relative position,322,Релативна позиција,323,accerciser,po/mk.po
Row,326,Ред,327,accerciser,po/mk.po
Rows,330,Редови,331,accerciser,po/mk.po
Select All,334,Избери сѐ,335,accerciser,po/mk.po
Selected columns,338,Избрани колони,339,accerciser,po/mk.po
Selected rows,342,Избрани редови,343,accerciser,po/mk.po
Show,346,Покажи,347,accerciser,po/mk.po
Size,350,Големина,351,accerciser,po/mk.po
St_reamable Content,354,Содржина за стр_имување,355,accerciser,po/mk.po
Te_xt,358,Тек_ст,359,accerciser,po/mk.po
Toolkit,362,Алатник,363,accerciser,po/mk.po
Val_ue,366,Вре_дност,367,accerciser,po/mk.po
Version,370,Верзија,371,accerciser,po/mk.po
WIDGET,374,ГРАФИЧКА КОНТРОЛА,375,accerciser,po/mk.po
_Accessible,378,_Пристапност,379,accerciser,po/mk.po
_Document,382,_Документ,383,accerciser,po/mk.po
_Image,386,_Слика,387,accerciser,po/mk.po
_Selection,390,_Избор,391,accerciser,po/mk.po
_Table,394,_Табела,395,accerciser,po/mk.po
"name (x,y)",398,"име (x,y)",399,accerciser,po/mk.po
Interface Viewer,402,Прегледувач на интерфејс,403,accerciser,po/mk.po
Allows viewing of various interface properties,406,Дозволува преглед на различни својства на интерфејсот,407,accerciser,po/mk.po
 (not implemented),411, (не е имплементирано),412,accerciser,po/mk.po
Key binding,415,Поврзување за копчиња,416,accerciser,po/mk.po
Start,423,Почеток,424,accerciser,po/mk.po
End,427,Крај,428,accerciser,po/mk.po
Too many selectable children,431,Премногу деца за избирање,432,accerciser,po/mk.po
Content type,435,Тип на содржина,436,accerciser,po/mk.po
 <i>(Editable)</i>,439, <i>(Може да се уредува)</i>,440,accerciser,po/mk.po
Quick Select,443,Брзо избирање,444,accerciser,po/mk.po
Plugin with various methods of selecting accessibles quickly.,447,Приклучок со разни методи на брзо избирање на пристапи.,448,accerciser,po/mk.po
Inspect last focused accessible,451,Истражувај ги пристапностите за брзо фокусирање,452,accerciser,po/mk.po
Inspect accessible under mouse,455,Истражувај ги пристапностите за глувче,456,accerciser,po/mk.po
Native,467,Стандардно,468,accerciser,po/mk.po
Script Type,471,Тип на скрипта,472,accerciser,po/mk.po
Script Recorder,479,Снимач на скрипти,480,accerciser,po/mk.po
Creates dogtail style scripts,483,Креира скрипти во dogtail стил,484,accerciser,po/mk.po
The current script will be lost.,487,Тековната скрипта ќе биде загубена.,488,accerciser,po/mk.po
Confirm clear,491,Потврди го чистењето,492,accerciser,po/mk.po
_Preferences…,495,_Преференции…,496,accerciser,po/mk.po
_Contents,499,_Содржини,500,accerciser,po/mk.po
Accerciser could not see the applications on your desktop.You must enable desktop accessibility to fix this problem.Do you want to enable it now?,503,Accerciser не може да ги види апликациите на вашата работна површина. Мора да ја овозможитепристапноста за да го поправите овој проблем. Дали сакате да ја овозможам сега?,506,accerciser,po/mk.po
Note: Changes only take effect after logout.,512,Забелешка: Промените ќе имаат ефект после одјавувањето.,513,accerciser,po/mk.po
<dead>,516,<мртво>,517,accerciser,po/mk.po
Role,520,Улога,521,accerciser,po/mk.po
Children,524,Деца,525,accerciser,po/mk.po
Refresh _Current,528,Освежи го _тековното,529,accerciser,po/mk.po
Component,532,Компонента,533,accerciser,po/mk.po
Task,536,Задача,537,accerciser,po/mk.po
Key,540,Копче,541,accerciser,po/mk.po
Top panel,556,Горен панел,557,accerciser,po/mk.po
Bottom panel,560,Долен панел,561,accerciser,po/mk.po
accerciser Preferences,564,accerciser Преференции,565,accerciser,po/mk.po
Plugins,568,Приклучоци,569,accerciser,po/mk.po
Global Hotkeys,572,Глобални копчиња-кратенки,573,accerciser,po/mk.po
An interactive Python accessibility explorer,580,Интерактивен Python прелистувач за истражување на пристапностите,581,accerciser,po/mk.po
"accerciser Copyright Â© 2006, 2007 IBM Corporation (BSD)",584,"accerciser Авторски права Â© 2006, 2007 IBM Corporation (BSD)",585,accerciser,po/mk.po
The New BSD License. See the COPYING and NOTICE files for details.,588,"Новата BSD лиценца, видете во датотеките COPYING и NOTICE за повеќе детали.",589,accerciser,po/mk.po
Web site,592,Веб сајт,593,accerciser,po/mk.po
_Add Bookmark…,596,_Додај обележувач…,597,accerciser,po/mk.po
Bookmark selected accessible.,600,Избраниот обележувач е пристаплив.,601,accerciser,po/mk.po
_Edit Bookmarks…,604,_Уреди ги обележувачите…,605,accerciser,po/mk.po
Manage bookmarks.,608,Менаџирајте со обележувачите.,609,accerciser,po/mk.po
Edit Bookmarks…,612,Уреди ги обележувачите…,613,accerciser,po/mk.po
Title,616,Наслов,617,accerciser,po/mk.po
Application,620,Апликација,621,accerciser,po/mk.po
Path,624,Патека,625,accerciser,po/mk.po
Add Bookmark…,628,Додај обележувач…,629,accerciser,po/mk.po
Title:,632,Наслов:,633,accerciser,po/mk.po
Application:,636,Апликација:,637,accerciser,po/mk.po
Path:,640,Патека:,641,accerciser,po/mk.po
Plugin Errors,644,Грешки во приклучоците,645,accerciser,po/mk.po
View,648,Поглед,649,accerciser,po/mk.po
No view,652,Без поглед,653,accerciser,po/mk.po
_Single plugins view,656,Поглед на _поединечни додатоци,657,accerciser,po/mk.po
Plugin View,660,Преглед на приклучоци,661,accerciser,po/mk.po
Plugin View (%d),665,Преглед на приклучоци (%d),666,accerciser,po/mk.po
<i>_New view…</i>,669,<i>_Нов поглед…</i>,670,accerciser,po/mk.po
New View…,673,Нов поглед…,674,accerciser,po/mk.po
_File,677,_Датотека,678,accerciser,po/mk.po
_Edit,681,_Уреди,682,accerciser,po/mk.po
_Bookmarks,685,_Обележувачи,686,accerciser,po/mk.po
_View,689,_Поглед,690,accerciser,po/mk.po
_Help,693,_Помош,694,accerciser,po/mk.po
Check folder sizes and available disk space,32,Провери ја големината на папките и достапниот простор на дискот,33,baobab,po/mk.po
Disk Usage Analyzer,36,Употребата на дискот,37,baobab,po/mk.po
Disk Usage Analyzer Preferences,40,Параметри на анализаторот на употреба на дискот,41,baobab,po/mk.po
Select _devices to include in filesystem scan:,44,Изберете _уреди кои ќе бидат вклучени во скенирањето на датотечниот систем:,45,baobab,po/mk.po
_Monitor changes to your home folder,49,_Надгледувајте ги промените на Вашата домашна папка,50,baobab,po/mk.po
