Enable or disable system networking,26,സിസ്റ്റം നെറ്റ്‌വര്‍ക്കിങ് പ്രവര്‍ത്തന സജ്ജമാക്കുക അല്ലെങ്കില്‍ പ്രവര്‍ത്തന രഹിതമാക്കുക,27,NetworkManager,po/ml.po
System policy prevents enabling or disabling system networking,30, സിസ്റ്റം നെറ്റ്​വര്‍ക്കിങ് പ്രവര്‍ത്തനസജ്ജമാക്കുന്നതും പ്രവര്‍ത്തനരഹിതമാക്കുന്നതും സിസ്റ്റം പോളിസി തടയുന്നു,31,NetworkManager,po/ml.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),46,NetworkManager നിശ്ചലമാക്കുക അല്ലെങ്കില്‍ പ്രവര്‍ത്തിപ്പിയ്ക്കുക (സിസ്റ്റം പവര്‍ മാനേജ്മെന്റായി മാത്രമേ ഉപയോഗിയ്ക്കുവാന്‍ പാടുള്ളൂ),49,NetworkManager,po/ml.po
System policy prevents putting NetworkManager to sleep or waking it up,54,നെറ്റ്​വര്‍ക്ക് മാനേജറിനെ ഉറക്കുന്നതും ഉണര്‍ത്തുന്നതും സിസ്റ്റം പോളിസി തടയുന്നു,55,NetworkManager,po/ml.po
Enable or disable Wi-Fi devices,58, Wi-Fi ഡിവൈസുകള്‍ പ്രവര്‍ത്തനസജ്ജമാക്കുകയോ പ്രവര്‍ത്തനരഹിതമാക്കുകയോ ചെയ്യുക,59,NetworkManager,po/ml.po
System policy prevents enabling or disabling Wi-Fi devices,62,Wi-Fi ഡിവൈസുകള്‍ പ്രവര്‍ത്തനസജ്ജമാക്കുകയോ പ്രവര്‍ത്തനരഹിതമാക്കുകയോ ചെയ്യുന്നത് സിസ്റ്റം പോളിസി തടയുന്നു,63,NetworkManager,po/ml.po
Enable or disable mobile broadband devices,68,മുബൈല്‍ ബ്രോഡ്ബാന്റ് ഡിവൈസുകള്‍ പ്രവര്‍ത്തനസജ്ജമാക്കുകയോ പ്രവര്‍ത്തനരഹിതമാക്കുകയോ ചെയ്യുക,69,NetworkManager,po/ml.po
System policy prevents enabling or disabling mobile broadband devices,72,മുബൈല്‍ ബ്രോഡ്ബാന്റ് ഡിവൈസുകള്‍ പ്രവര്‍ത്തനസജ്ജമാക്കുകയോ പ്രവര്‍ത്തനരഹിതമാക്കുകയോ ചെയ്യുന്നത് സിസ്റ്റം പോളിസി തടയുന്നു,73,NetworkManager,po/ml.po
Enable or disable WiMAX mobile broadband devices,78,WiMAX മുബൈല്‍ ബ്രോഡ്ബാന്റ് ഡിവൈസുകള്‍ പ്രവര്‍ത്തനസജ്ജമാക്കുകയോ പ്രവര്‍ത്തനരഹിതമാക്കുകയോ ചെയ്യുക,79,NetworkManager,po/ml.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,82,iMAX മുബൈല്‍ ബ്രോഡ്ബാന്റ് ഡിവൈസുകള്‍ പ്രവര്‍ത്തനസജ്ജമാക്കുകയോ പ്രവര്‍ത്തനരഹിതമാക്കുകയോ ചെയ്യുന്നത് സിസ്റ്റം പോളിസി തടയുന്നു,84,NetworkManager,po/ml.po
Allow control of network connections,89,നെറ്റ്​വര്‍ക്ക് കണക്ഷനുകളെ നിയന്ത്രിക്കുന്നത് അനുവദിക്കുക,90,NetworkManager,po/ml.po
System policy prevents control of network connections,93, നെറ്റ്​വര്‍ക്ക് കണക്ഷനുകളെ നിയന്ത്രിക്കുന്നത് സിസ്റ്റം പോളിസി തടയുന്നു,94,NetworkManager,po/ml.po
Connection sharing via a protected Wi-Fi network,109,സുരക്ഷിതമായ ഒരു വൈഫൈ നെറ്റ്‌വര്‍ക്ക് വഴി കണക്ഷന്‍ പങ്കിടുക,110,NetworkManager,po/ml.po
System policy prevents sharing connections via a protected Wi-Fi network,113,സുരക്ഷിതമായ ഒരു വൈഫൈ നെറ്റ്‌വര്‍ക്ക് വഴി കണക്ഷനുകള്‍ പങ്കിടുന്നതു് സിസ്റ്റം പോളിസി തടയുന്നു,115,NetworkManager,po/ml.po
Connection sharing via an open Wi-Fi network,118,ഒരു തുറന്ന വൈഫൈ നെറ്റ്‌വര്‍ക്ക് വഴി കണക്ഷന്‍ പങ്കിടുക,119,NetworkManager,po/ml.po
System policy prevents sharing connections via an open Wi-Fi network,122,ഒരു തുറന്ന വൈഫൈ നെറ്റ്‌വര്‍ക്ക് വഴി കണക്ഷനുകള്‍ പങ്കിടുന്നതു് സിസ്റ്റം പോളിസി തടയുന്നു,123,NetworkManager,po/ml.po
Modify personal network connections,126,സ്വന്തമായ നെറ്റ്​വര്‍ക്ക് കണക്ഷനുകളില്‍ മാറ്റം വരുത്തുക,127,NetworkManager,po/ml.po
System policy prevents modification of personal network settings,130, സ്വന്തമായ നെറ്റ്​വര്‍ക്ക് സജ്ജീകരണങ്ങള്‍ മാറ്റം വരുത്തുന്നതു് സിസ്റ്റം പോളിസി തടയുന്നു,131,NetworkManager,po/ml.po
Modify network connections for all users,134,എല്ലാ ഉപയോക്തള്‍ക്കുള്ള നെറ്റ്‌വര്‍ക്ക് കണക്ഷനുകളില്‍ മാറ്റം വരുത്തുക,135,NetworkManager,po/ml.po
System policy prevents modification of network settings for all users,138,സിസ്റ്റത്തിന്റെ സജ്ജീകരണങ്ങളില്‍ മാറ്റം വരുത്തുന്നതു് സിസ്റ്റം പോളിസി തടയുന്നു,139,NetworkManager,po/ml.po
Modify persistent system hostname,142,സിസ്റ്റത്തിന്റെ ഹോസ്റ്റ്നാമത്തില്‍ മാറ്റം വരുത്തുക,143,NetworkManager,po/ml.po
System policy prevents modification of the persistent system hostname,146,സിസ്റ്റത്തിന്റെ ഹോസ്റ്റ്നാമത്തില്‍ മാറ്റം വരുത്തുന്നതു് സിസ്റ്റം പോളിസി തടയുന്നു,147,NetworkManager,po/ml.po
%s Network,205,%s നെറ്റ്‌വര്‍ക്ക്,206,NetworkManager,po/ml.po
Wired connection %d,272,Wired കണക്ഷന്‍ %d,273,NetworkManager,po/ml.po
# Created by NetworkManager\n,499,# തയ്യാറാക്കിയതു് NetworkManager\n,500,NetworkManager,po/ml.po
# Merged from %s\n\n,504,# %s-ല്‍ നിന്നും കൂട്ടിചേര്‍ത്തിരിക്കുന്നു\n\n,507,NetworkManager,po/ml.po
Opening %s failed: %s\n,513,%s തുറക്കുന്നതില്‍ പരാജയപ്പെട്ടു: %s\n,514,NetworkManager,po/ml.po
Writing to %s failed: %s\n,518,%s ഇലേക്കു എഴുതുന്നത് പരാജയപ്പെട്ടു: %s\n,519,NetworkManager,po/ml.po
Closing %s failed: %s\n,523,%s അടയ്ക്കുന്നത് പരാജയപ്പെട്ടു: %s\n,524,NetworkManager,po/ml.po
%s.  Please use --help to see a list of valid options.\n,538,%s.  ശരിയായ കൂടുതല്‍ ഉപാധികള്‍ക്കായി ദയവായി --help ഉപയോഗിക്കുക.\n,539,NetworkManager,po/ml.po
Print NetworkManager version and exit,547,നെറ്റ്‌വര്‍ക്ക്മാനേജറിന്റെ പതിപ്പ് വിവരം കാണിച്ചു പുറത്തു കടക്കുക,548,NetworkManager,po/ml.po
Don't become a daemon,551,ഒരു ഡെമണ്‍ ആകേണ്ട,552,NetworkManager,po/ml.po
Log level: one of [%s],556,ലോഗ് ലവല്‍: [%s]-ല്‍ ഒന്നു്,557,NetworkManager,po/ml.po
"Log domains separated by ',': any combination of [%s]",561,"ലോഗ് ഡൊമെയിനുകള്‍ ',' ഉപയോഗിച്ചു് വേര്‍തിരിച്ചിരിയ്ക്കുന്നു: [%s]-ന്റെ ഏതെങ്കിലും കൂട്ടം",562,NetworkManager,po/ml.po
Make all warnings fatal,565,എല്ലാ മുന്നറിയിപ്പുകളും സുപ്രധാനമാക്കുക,566,NetworkManager,po/ml.po
Specify the location of a PID file,569,PID ഫയലിന്റെ സ്ഥാനം നല്‍കുക,570,NetworkManager,po/ml.po
NetworkManager monitors all network connections and automatically\nchooses the best connection to use.  It also allows the user to\nspecify wireless access points which wireless cards in the computer\nshould associate with.,578,"NetworkManager എല്ലാ നെറ്റ്‌വര്‍ക്ക് കണക്ഷനുകളും നിരീക്ഷിച്ചു്, ഓട്ടോമാറ്റിയ്ക്കായി\nഉപയോഗിയ്ക്കുവാന്‍ ഉത്തമമായ കണക്ഷന്‍ തെരഞ്ഞെടുക്കുന്നു. കമ്പ്യൂട്ടറിലുള്ള വയര്‍ലെസ്സ്\nകാര്‍ഡുകള്‍ക്കുള്ള വയര്‍ലെസ്സ് ആക്സസ്സ് പോയിന്റുകള്‍ നല്‍കുവാന്‍ ഇതു്\nഉപയോക്താവിനെ സഹായിയ്ക്കുന്നു.",583,NetworkManager,po/ml.po
Could not daemonize: %s [error %u]\n,591,ഡെമണൈസ് ചെയ്യുവാന്‍ സാധ്യമല്ല: %s [error %u]\n,592,NetworkManager,po/ml.po
'%s' is not valid,599,'%s' ശരിയല്ല,600,NetworkManager,po/ml.po
Config file location,608,ക്രമീകരണ പ്രമാണത്തിന്റെ സ്ഥാനം,609,NetworkManager,po/ml.po
Config directory location,612,ക്രമീകരണ ഡയറക്ടറിയുടെ സ്ഥാനം,613,NetworkManager,po/ml.po
