_Edit,172,_Боловсруулах,173,baobab,po/mn.po
_Help,180,_Тусламж,181,baobab,po/mn.po
_Server:,404,_Сервер:,405,baobab,po/mn.po
_Port:,417,_Порт:,418,baobab,po/mn.po
Folder,464,Лавлах,465,baobab,po/mn.po
Size,473,Хэмжээ,474,baobab,po/mn.po
Mo_ve to Trash,511,Хогийн сав руу _зөөх,512,baobab,po/mn.po
The document does not exist.,583,Баримт байхгүй байна.,584,baobab,po/mn.po
Image Viewer,23,Зураг харагч,24,eog,po/mn.po
View many different types of images,27,Зургийн олон төрлийг үзэх,28,eog,po/mn.po
<b>Image Interpolation</b>,51,<b>Зураг засвар</b>,52,eog,po/mn.po
<b>Image Zoom</b>,55,<b>Зургийн маштаб</b>,56,eog,po/mn.po
<b>Sequence</b>,64,<b>Дараалал</b>,65,eog,po/mn.po
<b>Transparent Parts</b>,68,<b>Тунгалаг хэсэг</b>,69,eog,po/mn.po
Allow _zoom greater than 100% initially,73,_маштабыг 100% аас илүү болгохыг зөшөөрөх,74,eog,po/mn.po
As _background,77,_Дэвсгэрээр,78,eog,po/mn.po
As check _pattern,81,_Дөрвөлжин хээгээр,82,eog,po/mn.po
As custom c_olor,85,Хэрэглэгчийн тогтоосон ө_нгөөр,86,eog,po/mn.po
Color for Transparent Areas,89,Тунгалаг мужийн өнгө,90,eog,po/mn.po
Eye of Gnome Preferences,98,Gnome тохиргооны нүд,99,eog,po/mn.po
Image _View,107,Зураг _харах,108,eog,po/mn.po
Show _next image automatically after:,129,Д_араагийн зургийг автоматаар харуулах:,130,eog,po/mn.po
Sli_de Show,133,Ү_зүүлэн харуулах,134,eog,po/mn.po
_Interpolate image on zoom,151,Зургийн _интерполяц хийх,152,eog,po/mn.po
_Loop sequence,155,Да_вталтын дараалал,156,eog,po/mn.po
seconds,159,секунтүүд,160,eog,po/mn.po
Allow zoom greater than 100% initially,173,_Маштабыг 100% аас илүү болгохыг зөшөөрөх,174,eog,po/mn.po
Delay in seconds until showing the next image,177,Дараагийн зургийг харуулах хүртэл хүлээх хугацаа,178,eog,po/mn.po
"Determines how transparency should be indicated. Valid values are CHECK_PATTERN, COLOR and NONE. If COLOR is choosen, then the trans_color key determines the used color value.",181,Тунгалаг чанар хэрхэн харагдахыг тохируулж өгнө. Хүчинтэй хэмжээсүүд нь CHECK_PATTERN COLOR болон БАЙХГҮЙ. Хэрэв COLOR сонгогдсон бол trans_color Түлхүүр нь ямар өнгө хэрэглэгдэхийг тодорхойлно.,185,eog,po/mn.po
"If the transparency key has the value COLOR, then this key determines the color which is used for indicating transparency.",191,Хэрэв тунгалагийг заасан түлхүүр нь COLOR утгатай байвал тунгалагийг тодорхойлоход аль өнгийг ашиглахыг зааж өгнө.,194,eog,po/mn.po
Interpolate Image,207,Зургийн интерполяц хийх,208,eog,po/mn.po
Loop through the image sequence,211,Зургийн дарааллаар циклдэх,212,eog,po/mn.po
Open images in a new window,215,Зургуудыг шинэ цонхнуудад нээх,216,eog,po/mn.po
Show/hide the window statusbar.,219,Цонхны төлөв самбар харуулах/далдлах.,220,eog,po/mn.po
Show/hide the window toolbar.,223,Цонхны багаж самбар харуулах/далдлах.,224,eog,po/mn.po
Transparency color,227,Тунгалагийн өнгө,228,eog,po/mn.po
Transparency indicator,231,Тунгалагийн заалт,232,eog,po/mn.po
Whether opening an image should create a new window instead of replacing the image in the current window.,235,Зураг нээхдээ энэ цонхонд сольж харуулахын оронд  шинэ цонхонд нээж харуулах эсэх.,238,eog,po/mn.po
Whether or not the sequence of images should be shown in an endless loop.,243,Зургуудын төгсгөлгүй циклээр цувуулан харагдах эсвэл үгүй эсэх.,245,eog,po/mn.po
Whether the image should be interpolated on zoom or not. This leads to better quality but is somewhat slower than non interpolated images.,248,Зургийг томруулахад интерполяц хийх эсэх. Энэ нь зургийн чанарыг сайжруулах үйлчилгээтэй ч интерполяц хийгээгүй зургуудаа бодвол удаан байх талтай.,251,eog,po/mn.po
All Files,256,Бүх файлууд,257,eog,po/mn.po
