Enable or disable system networking,25,प्रणाली नेटवर्किंग सुरू किंवा बंद करा,26,NetworkManager,po/mr.po
System policy prevents enabling or disabling system networking,29,प्रणाली करार प्रणाली नेटवर्किंगसा सुरू किंवा बंद होण्यापासून रोखते,30,NetworkManager,po/mr.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),43,NetworkManager ला स्लीप किंवा वेकअप स्तरात न्या (फक्त प्रणाली पावर मॅनेजमेंटनेच याचा वापर करावा),46,NetworkManager,po/mr.po
System policy prevents putting NetworkManager to sleep or waking it up,51,प्रणाली करार NetworkManager ला स्लीप किंवा वेकअप मध्ये जाण्यापासून रोखते,52,NetworkManager,po/mr.po
Enable or disable Wi-Fi devices,55,Wi-Fi साधने सुरू किंवा बंद करा,56,NetworkManager,po/mr.po
System policy prevents enabling or disabling Wi-Fi devices,59,प्रणाली करार Wi-Fi साधनांना सुरू किंवा बंद होण्यापासून रोखते,60,NetworkManager,po/mr.po
Enable or disable mobile broadband devices,63,मोबाईल ब्रॉडबँड साधने सुरू किंवा बंद करा,64,NetworkManager,po/mr.po
System policy prevents enabling or disabling mobile broadband devices,67,प्रणाली करार मोबाईल ब्रॉडबँड साधनांना सुरू किंवा बंद होण्यापासून रोखते,68,NetworkManager,po/mr.po
Enable or disable WiMAX mobile broadband devices,71,WiMAX मोबाईल ब्रॉडबँड साधने सुरू किंवा बंद करा,72,NetworkManager,po/mr.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,75,प्रणाली करार WiMAX मोबाईल ब्रॉडबँड साधनांना सुरू किंवा बंद होण्यापासून रोखते,77,NetworkManager,po/mr.po
Allow control of network connections,80,नेटवर्क जोडणींचे नियंत्रण स्वीकारा,81,NetworkManager,po/mr.po
System policy prevents control of network connections,84,प्रणाली करार नेटवर्क जोडणीचे नियंत्रण रोखते,85,NetworkManager,po/mr.po
Connection sharing via a protected Wi-Fi network,98,सुरक्षीत Wi-Fi नेटवर्क द्वारे जोडणीचे शेअरींग करा,99,NetworkManager,po/mr.po
System policy prevents sharing connections via a protected Wi-Fi network,102,प्रणाली करार सुरक्षीत Wi-Fi नेटवर्क द्वारे जोडणीचे शेअरींग रोखत आहे,104,NetworkManager,po/mr.po
Connection sharing via an open Wi-Fi network,107,ओपन Wi-Fi नेटवर्क द्वारे कनेक्शन शेअरींग करा,108,NetworkManager,po/mr.po
System policy prevents sharing connections via an open Wi-Fi network,111,प्रणाली करार ओपन Wi-Fi नेटवर्क द्वारे जोडणीचे शेअरींग रोखत आहे,112,NetworkManager,po/mr.po
Modify personal network connections,115,वैयक्तिक नेटवर्क जोडणी संपादित करा,116,NetworkManager,po/mr.po
System policy prevents modification of personal network settings,119,"प्रणाली करार, व्यक्तिगत नेटवर्क सेटिंग्स् संपादीत करण्यापासून रोखते",120,NetworkManager,po/mr.po
Modify network connections for all users,123,सर्व वापरकर्त्यांकरीता नेटवर्क जोडणी संपादित करा,124,NetworkManager,po/mr.po
System policy prevents modification of network settings for all users,127,प्रणाली करार सर्व वापरकर्त्यांना नेटवर्क सेटिंग्स् संपादीत करण्यापासून रोखते,128,NetworkManager,po/mr.po
Modify persistent system hostname,131,पर्सिस्टंट प्रणाली यजमाननाव संपादीत करा,132,NetworkManager,po/mr.po
System policy prevents modification of the persistent system hostname,135,प्रणाली करार पर्सिस्टंट प्रणाली यजमाननावाचे संपादन रोखत आहे,136,NetworkManager,po/mr.po
ADSL connection,187,ADSL जोडणी,188,NetworkManager,po/mr.po
%s Network,192,%s नेटवर्क,193,NetworkManager,po/mr.po
PAN connection,204,PAN जोडणी,205,NetworkManager,po/mr.po
GSM connection,217,GSM जोडणी,218,NetworkManager,po/mr.po
CDMA connection,222,CDMA जोडणी,223,NetworkManager,po/mr.po
Bond connection,240,बाँड जोडणी,241,NetworkManager,po/mr.po
Bridge connection,244,ब्रिज जोडणी,245,NetworkManager,po/mr.po
Wired connection %d,254,वायर्ड् जोडणी %d,255,NetworkManager,po/mr.po
PPPoE connection,264,PPPoE जोडणी,265,NetworkManager,po/mr.po
Wired connection,268,वायर्ड जोडणी,269,NetworkManager,po/mr.po
InfiniBand connection,273,इंफिनिबँड जोडणी,274,NetworkManager,po/mr.po
VLAN connection,293,VLAN जोडणी,294,NetworkManager,po/mr.po
Team connection,314,टिम जोडणी,315,NetworkManager,po/mr.po
Mesh,319,मेश,320,NetworkManager,po/mr.po
# Created by NetworkManager\n,475,# NetworkManager द्वारे निर्मीत\n,476,NetworkManager,po/mr.po
# Merged from %s\n\n,480,# %s पासून एकत्रीत केले\n\n,483,NetworkManager,po/mr.po
Opening %s failed: %s\n,489,%s ला उघडण्यास अपयशी: %s\n,490,NetworkManager,po/mr.po
Writing to %s failed: %s\n,494,%s करीता लिहण्यास अपयशी: %s\n,495,NetworkManager,po/mr.po
Closing %s failed: %s\n,499,%s बंद करण्यास अपयशी: %s\n,500,NetworkManager,po/mr.po
%s.  Please use --help to see a list of valid options.\n,514,%s.  वैध पर्यायची सूची पहाण्याकरीता कृपया --help वापरा.\n,515,NetworkManager,po/mr.po
Print NetworkManager version and exit,523,NetworkManager आवृत्तीची छपाई करा व बाहेर पडा,524,NetworkManager,po/mr.po
Don't become a daemon,527,डिमन बनू नका,528,NetworkManager,po/mr.po
Log level: one of [%s],532,लॉग स्तर: [%s] पैकी एक,533,NetworkManager,po/mr.po
"Log domains separated by ',': any combination of [%s]",537,"',' द्वारे विभाजीत लॉग डोमेन्स: [%s] पैकी कोणतिही जोडणी",538,NetworkManager,po/mr.po
Make all warnings fatal,541,सर्व सावधानता धोकादायक करा,542,NetworkManager,po/mr.po
Specify the location of a PID file,545,PID फाइलचे ठिकाण निर्देशीत करा,546,NetworkManager,po/mr.po
NetworkManager monitors all network connections and automatically\nchooses the best connection to use.  It also allows the user to\nspecify wireless access points which wireless cards in the computer\nshould associate with.,554,NetworkManager सर्व नेटवर्क जोडणी नियंत्रीत करतो व स्वयंरित्या वापरकरीता\nउत्तम जोडणी पसंत करतो.  ते वापरकर्त्याला वायरलेस ॲक्सेस पॉईंटस् निर्देशीत करण्यास\nपरवानगी देते ज्यासह संगणकातील वायरलेस\nकार्डस् संपर्क साधतात.,559,NetworkManager,po/mr.po
Could not daemonize: %s [error %u]\n,567,डिमनाइज करणे अशक्य: %s [error %u]\n,568,NetworkManager,po/mr.po
'%s' is not valid,575,'%s' वैध नाही,576,NetworkManager,po/mr.po
Config file location,584,फाइल ठिकाण संरचीत करा,585,NetworkManager,po/mr.po
Config directory location,588,डिरेक्ट्रि ठिकाण संरचीत करा,589,NetworkManager,po/mr.po
State file location,602,फाइल ठिकाण ठरवा,603,NetworkManager,po/mr.po
"List of plugins separated by ','",610,"',' तर्फे विभाजीत प्लगइंस्ची सूची",611,NetworkManager,po/mr.po
"Don't become a daemon, and log to stderr",619,"डिमन बनू नका, व stderr करिता लॉग करा",620,NetworkManager,po/mr.po
An http(s) address for checking internet connectivity,623,इंटरनेट जोडणी तपासणीकरीता http(s) पत्ता,624,NetworkManager,po/mr.po
The interval between connectivity checks (in seconds),627,जोडणी तपासणी (सेकंदात) अंतर्गत कालवधि,628,NetworkManager,po/mr.po
The expected start of the response,631,प्रतिसादाची अपेक्षित सुरूवात,632,NetworkManager,po/mr.po
VPN connection,646,VPN जोडणी,647,NetworkManager,po/mr.po
Bond,653,बाँड,654,NetworkManager,po/mr.po
Team,660,टिम,661,NetworkManager,po/mr.po
Bridge,667,ब्रिज,668,NetworkManager,po/mr.po
Ethernet,900,इथरनेट,901,NetworkManager,po/mr.po
Wi-Fi,904,वाय-फाय,905,NetworkManager,po/mr.po
Bluetooth,908,ब्लुटुथ,909,NetworkManager,po/mr.po
OLPC Mesh,912,OLPC मेश,913,NetworkManager,po/mr.po
WiMAX,928,WiMax,929,NetworkManager,po/mr.po
Mobile Broadband,932,मोबाईल ब्रॉडबँड,933,NetworkManager,po/mr.po
InfiniBand,938,इंफिनिबँड,939,NetworkManager,po/mr.po
