Accessibility explorer for the GNOME desktop,25,Penjelajah kebolehcapaian untuk atas meja GNOME,26,accerciser,po/ms.po
"Accerciser is an interactive Python accessibility explorer for the GNOME desktop. It uses AT-SPI to inspect and control widgets, allowing you to check if an application is providing correct information to assistive technologies and automated test frameworks.",29,"Accerciser ialah satu penjelajah kebolehcapaian Python yang interaktif untuk atas meja GNOME. Ia menggunakan AT-SPI untuk memeriksa dan mengawal widget, membolehkan anda periksa jika ada aplikasi yang menyediakan maklumat yang betul untuk teknologi bantuan dan rangka kerja ujian berautomatik.",34,accerciser,po/ms.po
Accerciser has a simple plugin framework which you can use to create custom views of accessibility information.,42,Accerciser mempunyai satu rangka kerja pemalam ringkas yang mana anda boleh guna untuk mencipta pandangan bagi maklumat kebolehcapaian.,45,accerciser,po/ms.po
Give your application an accessibility workout,50,Beri aplikasi anda satu senaman kebolehcapaian,51,accerciser,po/ms.po
accessibility;development;test;,55,kebolehcapaian;pembangunan;ujian;,56,accerciser,po/ms.po
A list of plugins that are disabled by default,59,Satu senarai pemalam yang dilumpuhkan secara lalai,60,accerciser,po/ms.po
A list of plugins that are disabled by default.,63,Satu senarai pemalam yang dilumpuhkan secara lalai.,64,accerciser,po/ms.po
Highlight duration,67,Tempoh sorot,68,accerciser,po/ms.po
The duration of the highlight box when selecting accessible nodes.,71,Tempoh bagi kotak sorot ketika memilih nod-nod boleh capai.,72,accerciser,po/ms.po
Highlight fill color,75,Warna isian sorot,76,accerciser,po/ms.po
The color and opacity of the highlight fill.,79,Warna dan kelegapan bagi isian sorot.,80,accerciser,po/ms.po
Highlight border color,83,Warna sempadan sorot,84,accerciser,po/ms.po
The color and opacity of the highlight border.,87,Warna dan kelegapan bagi sempadan sorot.,88,accerciser,po/ms.po
Horizontal split,91,Pisah mengufuk,92,accerciser,po/ms.po
Position of the horizontal split of the main window.,95,Kedudukan pisah mengufuk bagi tetingkap utama.,96,accerciser,po/ms.po
Vertical split,99,Pisah menegak,100,accerciser,po/ms.po
Position of the vertical split of the main window.,103,Kedudukan pisah menegak bagi tetingkap utama.,104,accerciser,po/ms.po
Default window height,107,Tinggi tetingkap lalai,108,accerciser,po/ms.po
The window height value.,111,Nilai tinggi tetingkap.,112,accerciser,po/ms.po
Default window width,115,Lebar tetingkap lalai,116,accerciser,po/ms.po
The window width value.,119,Nilai lebar tetingkap.,120,accerciser,po/ms.po
The layout for the bottom panel,123,Bentangan untuk panel bawah,124,accerciser,po/ms.po
The layout for the bottom panel pluginview.,127,Bentangan untuk pandangan pemalam panel bawah.,128,accerciser,po/ms.po
