Show “_%s”,33,“_%s”ကို ပြပါ,34,eog,po/my.po
_Move on Toolbar,37,_M Toolbar ပေါ်သို့ရွေ့ပါ,38,eog,po/my.po
Move the selected item on the toolbar,41,toolbarပေါ်မှရွေးချယ်ထားသော အရာ ကို ရွှေ့ပါ,42,eog,po/my.po
_Remove from Toolbar,45,_R Toolbar ပေါ်မှ ဖယ်ထုတ်ရန်,46,eog,po/my.po
Remove the selected item from the toolbar,49,Toolbar ပေါ်မှ ရွေးချယ်ထားပြီးသား အရာကို ဖယ်ထုတ်ရန်,50,eog,po/my.po
_Delete Toolbar,53,_D Toolbar ကို ဖျက်ပစ်ရန်,54,eog,po/my.po
Remove the selected toolbar,57,ရွေးချယ်ထားပြီးသော toolbar ကို ဖယ်ထုတ်ရန်,58,eog,po/my.po
Separator,61,ကြား,62,eog,po/my.po
Activate fullscreen mode with double-click,65,မျက်နှာပြင်အပြည့်ကြည့်ရန် ကလစ် ၂ ချက်နှိပ်ပါ,66,eog,po/my.po
Fullscreen with double-click,69,ကလစ်၂ချက်နှိပ်၍ မျက်နှာပြင်ပြည့် ချဲ့ရန်,70,eog,po/my.po
Reload Image,74,ပုံကိုပြန်ခေါ်ပါ,75,eog,po/my.po
Reload current image,79,လက်ရှိပုံကို ပြန်ခေါ်ပါ,80,eog,po/my.po
Image Viewer,95,ပုံကြည့်ရှုသည့်အရာ,96,eog,po/my.po
Author:,103,ဖန်တီးသူ,104,eog,po/my.po
Bytes:,107,ဘိုက်,108,eog,po/my.po
Camera Model:,111,ကင်မရာမော်ဒယ်:,112,eog,po/my.po
Copyright:,115,မူပိုင်ခွင့်:,116,eog,po/my.po
Date/Time:,119,နေ့ရက်/အချိန်:,120,eog,po/my.po
Description:,123,ဖော်ပြချက်:,124,eog,po/my.po
Details,127,အသေးစိတ်,128,eog,po/my.po
Flash:,135,ဖလက်(ရှ်)မီး,136,eog,po/my.po
General,143,အထွေထွေ,144,eog,po/my.po
Height:,147,အမြင့်,148,eog,po/my.po
Image Properties,155,ပုံဂုဏ်သတ္တိများ,156,eog,po/my.po
Keywords:,159,အဓိကစာလုံးများ,160,eog,po/my.po
Location:,163,ဖိုင်နေရာ,164,eog,po/my.po
Metadata,167,မေတာဒေတာ,168,eog,po/my.po
Name:,175,နာမည်,176,eog,po/my.po
Type:,179,အမျိုးအစား,180,eog,po/my.po
Width:,183,အကျယ်,184,eog,po/my.po
_Next,187,_N ရှေ့သို့,188,eog,po/my.po
_Previous,191,_P နောက်သို့,192,eog,po/my.po
Choose a folder,205,ဖိုလ်ဒါ တစ်ခုရွေးချယ်ပါ,206,eog,po/my.po
File Name Preview,213,ဖိုင်နာမည် ကြိုတင်ကြည့်ရှု,214,eog,po/my.po
Options,225,ရွေးစရာများ,226,eog,po/my.po
Save As,237,သိမ်းဆည်းမဲ့ ပုံစံ,238,eog,po/my.po
Background,265,နောက်ခံ,266,eog,po/my.po
Background Color,269,နောက်ခံအရောင်,270,eog,po/my.po
E_xpand images to fit screen,277,_X မျက်နှာပြင်အပြည့်ပုံကိုချဲ့ပါ,278,eog,po/my.po
Image View,289,ပုံမြင်ကွင်း,290,eog,po/my.po
Transparent Parts,317,ထွင်းဖောက်မြင်ရသောအပိုင်းများ,318,eog,po/my.po
_Automatic orientation,321,_A အလိုအလျောက် တည့်ပေးပါ,322,eog,po/my.po
seconds,333,စက္ကန့်,334,eog,po/my.po
Automatic orientation,352,အလိုအလျောက် တည့်ပေးပါ,353,eog,po/my.po
Use a custom background color,486,စိတ်ကြိုက်နောက်ခံရောင်ကို အသုံးပြုပါ,487,eog,po/my.po
Zoom multiplier,530,ချဲ့အား,531,eog,po/my.po
Question,542,မေးခွန်း,543,eog,po/my.po
pixel,601,ပစ်ဇယ်,603,eog,po/my.po
Open Image,606,ပုံဖွင်ရန်,607,eog,po/my.po
Save Image,610,ပုံသိမ်းပါ,611,eog,po/my.po
Open Folder,614,ဖိုင်တွဲဖွင့်ရန်,615,eog,po/my.po
Image,734,ပုံ,735,eog,po/my.po
Page Setup,742,စာမျက်နှာ တပ်ဆင်မှု,743,eog,po/my.po
Position,750,နေရာ,751,eog,po/my.po
_Left:,754,_L ဘယ်​ဖက် -,755,eog,po/my.po
_Right:,758,_R ညာဖက် -,759,eog,po/my.po
_Top:,762,_T ထိပ် -,763,eog,po/my.po
_Bottom:,766,_B အောက်ခြေ -,767,eog,po/my.po
C_enter:,770,_E အလယ် -,771,eog,po/my.po
None,774,နတ္တိ,775,eog,po/my.po
Horizontal,778,အလျားလိုက်,779,eog,po/my.po
Vertical,782,ဒေါင်လိုက်,783,eog,po/my.po
Size,790,အရွယ်အစား,791,eog,po/my.po
_Width:,794,_W အကျယ် -,795,eog,po/my.po
_Height:,798,_H အမြင့် -,799,eog,po/my.po
Millimeters,810,မီလီမီတာ,811,eog,po/my.po
Inches,814,လက်မ,815,eog,po/my.po
Unknown,822,အမည်မသိ,823,eog,po/my.po
_Reload,889,_R ပြန်ခေါ်ပါ,890,eog,po/my.po
Hi_de,894,_D ဖျောက်ပါ,895,eog,po/my.po
Move to _Trash,1032,_T အမှိုက်ပုံးထဲ ထည့်ပါ,1033,eog,po/my.po
_Image,1055,_I ပုံ,1056,eog,po/my.po
_Edit,1059,_E တည်းဖြတ်,1060,eog,po/my.po
_View,1063,_V မြင်ကွင်း,1064,eog,po/my.po
_Go,1067,_G သွားရန်,1068,eog,po/my.po
_Tools,1071,_T တန်ဆာပလာ,1072,eog,po/my.po
