PEM key file had no end tag '%s'.,8400,PEM-nøkkelfil hadde ikke avsluttende tagg «%s».,8401,NetworkManager,po/nb.po
Malformed PEM file: Proc-Type was not first tag.,8405,Feilutformet PEM-fil: Proc-Type var ikke første tagg.,8406,NetworkManager,po/nb.po
Could not decode private key.,8435,Kunne ikke dekode privat nøkkel.,8436,NetworkManager,po/nb.po
Failed to decode certificate.,8489,Klarte ikke å dekode sertifikat.,8490,NetworkManager,po/nb.po
Failed to initialize the crypto engine.,8508,Klarte ikke å initiere kryptomotor.,8509,NetworkManager,po/nb.po
Couldn't decode certificate: %s,8563,Kunne ikke dekode sertifikat: %s,8564,NetworkManager,po/nb.po
Couldn't decode certificate: %d,8663,Kunne ikke dekode sertifikat: %d,8664,NetworkManager,po/nb.po
# Created by NetworkManager\n,11315,# Laget av NetworkManager\n,11316,NetworkManager,po/nb.po
# Merged from %s\n\n,11320,# Flettet fra %s\n\n,11323,NetworkManager,po/nb.po
Accessibility explorer for the GNOME desktop,26,Utforsker for tilgjengelighet på skrivebordet GNOME,27,accerciser,po/nb.po
"Accerciser is an interactive Python accessibility explorer for the GNOME desktop. It uses AT-SPI to inspect and control widgets, allowing you to check if an application is providing correct information to assistive technologies and automated test frameworks.",30,"Accerciser er en interaktiv utforsker for tilgjengelighetsfunksjoner for GNOME skrivebordet. Det bruker AT-SPI for å inspisere og kontrollere komponenter, og lar deg sjekke om en applikasjon gir korrekt informasjon til hjelpeteknologier og automatiserte testrammeverk.",35,accerciser,po/nb.po
Accerciser has a simple plugin framework which you can use to create custom views of accessibility information.,42,Accerciser har et enkelt rammeverk for tillegg som du kan bruke til å lage egendefinerte visninger av tilgjengelighetsinformasjon.,45,accerciser,po/nb.po
Give your application an accessibility workout,50,Sjekk støtte for hjelpeteknologi i ditt program,51,accerciser,po/nb.po
accessibility;development;test;,54,tilgjengelighet;utvikling;test;,55,accerciser,po/nb.po
Accerciser Accessibility Explorer,58,Accerciser tilgjengelighetsutforsker,59,accerciser,po/nb.po
A list of plugins that are disabled by default,62,En liste med tillegg som er deaktivert som forvalg,63,accerciser,po/nb.po
A list of plugins that are disabled by default.,66,En liste med tillegg som er slått av som forvalg.,67,accerciser,po/nb.po
Highlight duration,70,Varighet for utheving,71,accerciser,po/nb.po
The duration of the highlight box when selecting accessible nodes.,74,Varighet for uthevingsboksen når tilgjengelige noder velges.,75,accerciser,po/nb.po
Highlight fill color,78,Fyllfarge for utheving,79,accerciser,po/nb.po
The color and opacity of the highlight fill.,82,Farge og ugjennomsiktighet for fyll i utheving.,83,accerciser,po/nb.po
Highlight border color,86,Kantfarge for utheving,87,accerciser,po/nb.po
The color and opacity of the highlight border.,90,Farge og ugjennomsiktighet for kant for utheving.,91,accerciser,po/nb.po
Horizontal split,94,Horisontal deling,95,accerciser,po/nb.po
Position of the horizontal split of the main window.,98,Posisjon for horisontal deling av hovedvinduet.,99,accerciser,po/nb.po
Vertical split,102,Vertikal deling,103,accerciser,po/nb.po
Position of the vertical split of the main window.,106,Posisjon for vertikal deling av hovedvinduet.,107,accerciser,po/nb.po
Default window height,110,Forvalgt høyde på vindu,111,accerciser,po/nb.po
The window height value.,114,Verdi for høyde på vinduet.,115,accerciser,po/nb.po
Default window width,118,Forvalgt bredde på vindu,119,accerciser,po/nb.po
The window width value.,122,Verdi for bredde på vinduet.,123,accerciser,po/nb.po
The layout for the bottom panel,126,Utforming for bunnpanelet,127,accerciser,po/nb.po
The layout for the bottom panel pluginview.,130,Forvalgt utforming for tilleggsvisning for bunnpanelet.,131,accerciser,po/nb.po
The layout for the top panel,134,Utforming for det øverste panelet,135,accerciser,po/nb.po
The layout for the top panel pluginview.,138,Utforming for tilleggsvisning på det øverste panelet.,139,accerciser,po/nb.po
Single layout view,142,Visning med en utforming,143,accerciser,po/nb.po
View plugins in a single layout.,146,Vis tillegg i en enkelt utforming.,147,accerciser,po/nb.po
Available new pluginviews,150,Tilgjengelig nye visninger av tillegg,151,accerciser,po/nb.po
This list contains all the new available pluginviews,154,Denne listen inneholder alle nye tilgjengelige tilleggsvisninger,155,accerciser,po/nb.po
The pluginview layout,158,Utforming for tilleggsvisning,159,accerciser,po/nb.po
The default plugin layout for the top panel.,162,Forvalgt utforming for tillegg på det øverste panelet.,163,accerciser,po/nb.po
Window height,166,Høyde på vinduet,167,accerciser,po/nb.po
Window height value.,170,Verdi for høyde på vindu.,171,accerciser,po/nb.po
Window width,174,Bredde på vindu,175,accerciser,po/nb.po
Window width value.,178,Verdi for bredde på vindu.,179,accerciser,po/nb.po
Hotkey combination,182,Hurtigtastkombinasjon,183,accerciser,po/nb.po
Hotkey combination for related action.,186,Hurtigtastkombinasjon for relatert handling.,187,accerciser,po/nb.po
API Browser,190,API-leser,191,accerciser,po/nb.po
Browse the various methods of the current accessible,194,Bla gjennom forskjellige metoder for aktiv komponent,195,accerciser,po/nb.po
Hide private attributes,198,Skjul private attributter,199,accerciser,po/nb.po
Method,202,Metode,203,accerciser,po/nb.po
Property,206,Egenskap,207,accerciser,po/nb.po
Value,210,Verdi,211,accerciser,po/nb.po
IPython Console,214,IPython-konsoll,215,accerciser,po/nb.po
Interactive console for manipulating currently selected accessible,218,Interaktivt konsoll for å manipulere valgt tilgjengelig komponent,219,accerciser,po/nb.po
Event monitor,222,Hendelsesovervåking,223,accerciser,po/nb.po
_Monitor Events,226,_Overvåk hendelser,227,accerciser,po/nb.po
C_lear Selection,230,_Tøm utvalg,231,accerciser,po/nb.po
Everything,234,Alt,235,accerciser,po/nb.po
Selected application,238,Valgt program,239,accerciser,po/nb.po
Selected accessible,242,Valgt komponent,243,accerciser,po/nb.po
