PEM key file had no end tag '%s'.,8411,PEM-sleutelbestand bevat geen sluiting ‘%s’,8412,NetworkManager,po/nl.po
Malformed PEM file: Proc-Type was not first tag.,8417,Fout in PEM-bestand: Proc-Type was niet de eerste tag.,8418,NetworkManager,po/nl.po
Malformed PEM file: unknown Proc-Type tag '%s'.,8422,Fout in PEM-bestand: onbekend Proc-Type tag ‘%s’,8423,NetworkManager,po/nl.po
Malformed PEM file: DEK-Info was not the second tag.,8427,Fout in PEM-bestand: DEK-Info was niet de tweede tag.,8428,NetworkManager,po/nl.po
Malformed PEM file: no IV found in DEK-Info tag.,8432,Fout in PEM-bestand: geen IV gevonden in DEK-Info tag.,8433,NetworkManager,po/nl.po
Malformed PEM file: invalid format of IV in DEK-Info tag.,8437,Fout in PEM-bestand: ongeldig format van IV in DEK-Info tag.,8438,NetworkManager,po/nl.po
Malformed PEM file: unknown private key cipher '%s'.,8442,Fout in PEM-bestand: onbekende cryptografische privésleutel ‘%s’.,8443,NetworkManager,po/nl.po
Could not decode private key.,8448,Kon privésleutel niet decoderen.,8449,NetworkManager,po/nl.po
IV must be an even number of bytes in length.,8468,IV moet een even aantal bytes in lengte zijn.,8469,NetworkManager,po/nl.po
IV contains non-hexadecimal digits.,8473,IV bevat niet-hexadecimale cijfers.,8474,NetworkManager,po/nl.po
Failed to decode certificate.,8505,Kon certificaat niet decoderen.,8506,NetworkManager,po/nl.po
Couldn't decode certificate: %d,8682,Kon certificaat: %d niet decoderen,8683,NetworkManager,po/nl.po
# Created by NetworkManager\n,11339,# Aangemaakt door NetworkManager\n,11340,NetworkManager,po/nl.po
# Merged from %s\n\n,11344,# Samengevoegd vanuit %s\n\n,11347,NetworkManager,po/nl.po
Accessibility explorer for the GNOME desktop,36,Toegankelijkheidsverkenner voor het Gnome-bureaublad,37,accerciser,po/nl.po
"Accerciser is an interactive Python accessibility explorer for the GNOME desktop. It uses AT-SPI to inspect and control widgets, allowing you to check if an application is providing correct information to assistive technologies and automated test frameworks.",40,"Accerciser is een interactieve Python-toegankelijkheidsverkenner voor het Gnome-bureaublad. Het gebruikt AT-SPI voor het beheren en inspecteren van widgets, waarmee u kunt controleren of een toepassing de juiste informatie levert aan toegankelijkheidstechnologieën en automatische-testraamwerken.",45,accerciser,po/nl.po
Accerciser has a simple plugin framework which you can use to create custom views of accessibility information.,52,Accerciser heeft een eenvoudig plugin-raamwerk waarmee u aangepaste weergaven van toegankelijkheidsinformatie kunt maken.,55,accerciser,po/nl.po
Give your application an accessibility workout,60,Geef uw toepassing een toegankelijkheidstraining,61,accerciser,po/nl.po
accessibility;development;test;,65,accessibility;toegankelijkheid;development;ontwikkeling;test;,66,accerciser,po/nl.po
A list of plugins that are disabled by default,69,Lijst van standaard uitgeschakelde plugins,70,accerciser,po/nl.po
A list of plugins that are disabled by default.,73,Lijst van standaard uitgeschakelde plugins.,74,accerciser,po/nl.po
Highlight duration,77,Duur van oplichten,78,accerciser,po/nl.po
The duration of the highlight box when selecting accessible nodes.,81,De duur van het oplichtende vlak wanneer toegankelijke nodes geselecteerd worden.,82,accerciser,po/nl.po
Highlight fill color,87,Vulkleur voor oplichten,88,accerciser,po/nl.po
The color and opacity of the highlight fill.,91,De vulkleur (en -doorzichtigheid) voor oplichten.,92,accerciser,po/nl.po
Highlight border color,95,Randkleur oplichten,96,accerciser,po/nl.po
The color and opacity of the highlight border.,99,De randkleur (en -doorzichtigheid) voor oplichten.,100,accerciser,po/nl.po
Horizontal split,103,Horizontale opdeling,104,accerciser,po/nl.po
Position of the horizontal split of the main window.,107,Positie van de horizontale opdeling van het hoofdvenster.,108,accerciser,po/nl.po
Vertical split,111,Verticale opdeling,112,accerciser,po/nl.po
Position of the vertical split of the main window.,115,Positie van de verticale opdeling van het hoofdvenster.,116,accerciser,po/nl.po
Default window height,119,Standaard vensterhoogte,120,accerciser,po/nl.po
The window height value.,123,De vensterhoogtewaarde.,124,accerciser,po/nl.po
Default window width,127,Standaard vensterbreedte,128,accerciser,po/nl.po
The window width value.,131,De vensterbreedtewaarde.,132,accerciser,po/nl.po
The layout for the bottom panel,135,De weergave van het onderpaneel,136,accerciser,po/nl.po
The layout for the bottom panel pluginview.,139,De weergave van plugins in het onderpaneel.,140,accerciser,po/nl.po
The layout for the top panel,143,De weergave van het bovenpaneel,144,accerciser,po/nl.po
The layout for the top panel pluginview.,147,De weergave van plugins in het bovenpaneel.,148,accerciser,po/nl.po
Single layout view,151,Enkele weergave,152,accerciser,po/nl.po
View plugins in a single layout.,155,Plugins in een enkele weergave tonen.,156,accerciser,po/nl.po
Available new pluginviews,159,Beschikbare nieuwe pluginweergaves,160,accerciser,po/nl.po
This list contains all the new available pluginviews,163,Deze lijst bevat alle nieuw beschikbare pluginweergaves,164,accerciser,po/nl.po
The pluginview layout,167,De pluginweergave,168,accerciser,po/nl.po
The default plugin layout for the top panel.,171,De standaard pluginweergave voor het bovenpaneel.,172,accerciser,po/nl.po
Window height,175,Vensterhoogte,176,accerciser,po/nl.po
Window height value.,179,Vensterhoogtewaarde.,180,accerciser,po/nl.po
Window width,183,Vensterbreedte,184,accerciser,po/nl.po
Window width value.,187,Vensterbreedtewaarde.,188,accerciser,po/nl.po
Hotkey combination,191,Toetscombinatie,192,accerciser,po/nl.po
Hotkey combination for related action.,195,Toetscombinatie voor de gerelateerde actie.,196,accerciser,po/nl.po
API Browser,199,API-verkenner,200,accerciser,po/nl.po
Browse the various methods of the current accessible,203,De verschillende methoden van de huidige toegankelijke verkennen,204,accerciser,po/nl.po
Hide private attributes,207,Privé-attributen verbergen,208,accerciser,po/nl.po
Method,211,Methode,212,accerciser,po/nl.po
Property,215,Eigenschap,216,accerciser,po/nl.po
Value,219,Waarde,220,accerciser,po/nl.po
IPython Console,223,IPython-console,224,accerciser,po/nl.po
Interactive console for manipulating currently selected accessible,227,Interactieve console voor het manipuleren van de geselecteerde toegankelijke,228,accerciser,po/nl.po
Event monitor,232,Gebeurtenisobservatie,233,accerciser,po/nl.po
_Monitor Events,236,_Gebeurtenissen observeren,237,accerciser,po/nl.po
C_lear Selection,240,Selectie _wissen,241,accerciser,po/nl.po
Everything,244,Alles,245,accerciser,po/nl.po
Selected application,248,Geselecteerde toepassing,249,accerciser,po/nl.po
Selected accessible,252,Geselecteerde toegankelijke,253,accerciser,po/nl.po
Source,256,Bron,257,accerciser,po/nl.po
Name,264,Naam,265,accerciser,po/nl.po
Full Name,268,Volledige naam,269,accerciser,po/nl.po
Event Monitor,272,Gebeurtenisobservatie,273,accerciser,po/nl.po
Shows events as they occur from selected types and sources,276,Gebeurtenissen van geselecteerde types en bronnen tonen terwijl ze plaatsvinden,277,accerciser,po/nl.po
Highlight last event entry,282,Laatste gebeurtenis oplichten,283,accerciser,po/nl.po
Start/stop event recording,286,Opname van gebeurtenissen starten/stoppen,287,accerciser,po/nl.po
Clear event log,290,Gebeurtenislogboek wissen,291,accerciser,po/nl.po
Child count,294,Aantal kinderen,295,accerciser,po/nl.po
(no description),306,(geen beschrijving),307,accerciser,po/nl.po
Description,313,Beschrijving,314,accerciser,po/nl.po
(no ID),317,(geen ID),318,accerciser,po/nl.po
States,325,Toestanden,326,accerciser,po/nl.po
Attributes,330,Attributen,331,accerciser,po/nl.po
Show,334,Tonen,335,accerciser,po/nl.po
Relations,338,Relaties,339,accerciser,po/nl.po
_Accessible,342,_Toegankelijke,343,accerciser,po/nl.po
Key binding,346,Sneltoets,347,accerciser,po/nl.po
Perform action,350,Actie uitvoeren,351,accerciser,po/nl.po
Acti_on,354,Acti_e,355,accerciser,po/nl.po
Version,362,Versie,363,accerciser,po/nl.po
Ap_plication,366,Toe_passing,367,accerciser,po/nl.po
Col_lection,370,_Collection,371,accerciser,po/nl.po
Relative position,384,Relatieve positie,385,accerciser,po/nl.po
Size,388,Grootte,389,accerciser,po/nl.po
Layer,396,Laag,397,accerciser,po/nl.po
MDI-Z-order,400,MDI-Z-volgorde,401,accerciser,po/nl.po
Absolute position,408,Absolute positie,409,accerciser,po/nl.po
Des_ktop,416,_Bureaublad,417,accerciser,po/nl.po
Locale:,420,Taalinstelling:,421,accerciser,po/nl.po
Position,437,Positie,438,accerciser,po/nl.po
Locale,441,Taalinstelling,442,accerciser,po/nl.po
_Image,445,_Afbeelding,446,accerciser,po/nl.po
Lo_gin Helper,449,Lo_gin-hulpje,450,accerciser,po/nl.po
Select All,453,Alles selecteren,454,accerciser,po/nl.po
_Selection,457,_Selectie,458,accerciser,po/nl.po
Content type,461,Inhoudstype,462,accerciser,po/nl.po
St_reamable Content,470,Ver_zendbare inhoud,471,accerciser,po/nl.po
Caption:,474,Bijschrift:,475,accerciser,po/nl.po
Summary:,478,Samenvatting:,479,accerciser,po/nl.po
Selected columns,482,Geselecteerde kolommen,483,accerciser,po/nl.po
Selected rows,486,Geselecteerde rijen,487,accerciser,po/nl.po
Columns,490,Kolommen,491,accerciser,po/nl.po
Rows,494,Rijen,495,accerciser,po/nl.po
Table Information,498,Tabelinformatie,499,accerciser,po/nl.po
"name (x,y)",502,"naam (x,y)",503,accerciser,po/nl.po
Header:,506,Koptekst:,507,accerciser,po/nl.po
<no description>,510,<geen beschrijving>,511,accerciser,po/nl.po
Extents:,516,Bereik:,517,accerciser,po/nl.po
Row,520,Rij,521,accerciser,po/nl.po
Column,524,Kolom,525,accerciser,po/nl.po
Selected Cell,528,Geselecteerde cel,529,accerciser,po/nl.po
_Table,532,_Tabel,533,accerciser,po/nl.po
Text,536,Tekst,537,accerciser,po/nl.po
Offset,540,Verschuiving,541,accerciser,po/nl.po
Include defaults,544,Standaardinstellingen gebruiken,545,accerciser,po/nl.po
End: 0,554,Einde: 0,555,accerciser,po/nl.po
Te_xt,558,Te_kst,559,accerciser,po/nl.po
Current value,562,Huidige waarde,563,accerciser,po/nl.po
Minimum increment,566,Minimale ophoging,567,accerciser,po/nl.po
Maximum value,570,Maximale waarde,571,accerciser,po/nl.po
Minimum value,574,Minimale waarde,575,accerciser,po/nl.po
Val_ue,578,_Waarde,579,accerciser,po/nl.po
unknown,582,onbekend,583,accerciser,po/nl.po
Interface Viewer,588,Interfaceviewer,589,accerciser,po/nl.po
Allows viewing of various interface properties,594,Diverse interface-eigenschappen bekijken,595,accerciser,po/nl.po
(not implemented),598,(niet geïmplementeerd),599,accerciser,po/nl.po
End,606,Einde,607,accerciser,po/nl.po
Too many selectable children,610,Te veel selecteerbare kinderen,611,accerciser,po/nl.po
(Editable),614,(Bewerkbaar),615,accerciser,po/nl.po
End: %d,634,Einde: %d,635,accerciser,po/nl.po
Quick Select,638,Snel selecteren,639,accerciser,po/nl.po
Plugin with various methods of selecting accessibles quickly.,642,Plugin met verschillende methoden om toegankelijken snel te selecteren.,643,accerciser,po/nl.po
Inspect last focused accessible,647,Laatste toegankelijke met focus inspecteren,648,accerciser,po/nl.po
Inspect accessible under mouse,651,Toegankelijke onder muis inspecteren,652,accerciser,po/nl.po
V_alidate,659,V_alideren,660,accerciser,po/nl.po
Idle,663,Inactief,664,accerciser,po/nl.po
No description,667,Geen beschrijving,668,accerciser,po/nl.po
AT-SPI Validator,671,AT-SPI-validator,672,accerciser,po/nl.po
Validates application accessibility,675,Toepassingstoegankelijkheid valideren,676,accerciser,po/nl.po
Level,681,Niveau,682,accerciser,po/nl.po
Role,686,Rol,687,accerciser,po/nl.po
Saving,690,Opslaan,691,accerciser,po/nl.po
Validating,694,Valideren,695,accerciser,po/nl.po
EXCEPT,698,BEHALVE,699,accerciser,po/nl.po
ERROR,702,FOUT,703,accerciser,po/nl.po
WARN,706,WAARSCHUWING,707,accerciser,po/nl.po
Basic,718,Basis,719,accerciser,po/nl.po
Tests fundamental GUI application accessibility,722,Fundamentele grafische-toepassingstoegankelijkheid testen,723,accerciser,po/nl.po
actionable %s is not focusable or selectable,727,uitvoerbare %s kan geen focus krijgen en niet geselecteerd worden,728,accerciser,po/nl.po
interactive %s is not actionable,732,interactieve %s is niet uitvoerbaar,733,accerciser,po/nl.po
more than one focused widget,736,meer dan één widget met focus,737,accerciser,po/nl.po
%s has no text interface,741,%s heeft geen tekst-interface,742,accerciser,po/nl.po
%s index in parent does not match child index,749,%s-index in ouder komt niet overeen met kind-index,750,accerciser,po/nl.po
Missing reciprocal for %s relation,754,Omkering voor %s-relatie ontbreekt,755,accerciser,po/nl.po
%s missing name or label,762,%s: naam of label ontbreekt,763,accerciser,po/nl.po
"focusable %s has a table interface, but not a selection interface",767,"focusbare %s heeft een tabelinterface, maar geen selectie-interface",768,accerciser,po/nl.po
%s has %s state without %s state,776,%s heeft %s-toestand zonder %s-toestand,777,accerciser,po/nl.po
%s does not belong to a set,784,%s behoort niet tot een groep,785,accerciser,po/nl.po
%(rolename)s index %(num)d does not match row and column,794,%(rolename)s-index %(num)d komt niet overeen met rij en kolom,795,accerciser,po/nl.po
%(rolename)s parent index %(num1)d does not match row and column index %(num2)d,805,%(rolename)s-ouderindex %(num1)d komt niet overeen met rij- en kolomindex %(num2)d,808,accerciser,po/nl.po
%s has no name or description,814,%s heeft geen naam of beschrijving,815,accerciser,po/nl.po
_Preferences…,818,_Voorkeuren…,819,accerciser,po/nl.po
_Contents,822,In_houd,823,accerciser,po/nl.po
<dead>,826,<dood>,827,accerciser,po/nl.po
Children,830,Kinderen,831,accerciser,po/nl.po
_Show Applications without children,834,Toepa_ssingen zonder kinderen tonen,835,accerciser,po/nl.po
_Refresh Registry,838,Register _verversen,839,accerciser,po/nl.po
Refresh all,844,Alle verversen,845,accerciser,po/nl.po
Refresh _Node,850,_Node verversen,851,accerciser,po/nl.po
Refresh selected node’s children,856,Kinderen van geselecteerde node verversen,857,accerciser,po/nl.po
Task,864,Taak,865,accerciser,po/nl.po
Key,868,Toets,869,accerciser,po/nl.po
Accerciser Accessibility Explorer,884,Accerciser toegankelijkheidsverkenner,885,accerciser,po/nl.po
Top panel,888,Bovenpaneel,889,accerciser,po/nl.po
Bottom panel,892,Onderpaneel,893,accerciser,po/nl.po
accerciser Preferences,896,Accerciser-voorkeuren,897,accerciser,po/nl.po
Global Hotkeys,904,Globale sneltoetsen,905,accerciser,po/nl.po
Highlighting,908,Oplichten,909,accerciser,po/nl.po
Highlight duration:,912,Duur van oplichten:,913,accerciser,po/nl.po
Border color:,916,Randkleur:,917,accerciser,po/nl.po
The border color of the highlight box,920,De randkleur van het oplichtende vlak,921,accerciser,po/nl.po
Fill color:,924,Vulkleur:,925,accerciser,po/nl.po
The fill color of the highlight box,928,De vulkleur van het oplichtende vlak,929,accerciser,po/nl.po
An interactive Python accessibility explorer,941,Interactieve Python-verkenner voor toegankelijkheid,942,accerciser,po/nl.po
The New BSD License. See the COPYING and NOTICE files for details.,949,De nieuwe BSD-licentie. Zie de bestanden ‘COPYING’ and ‘NOTICE’ voor meer informatie.,950,accerciser,po/nl.po
Web site,955,Website,956,accerciser,po/nl.po
_Add Bookmark…,959,_Bladwijzer toevoegen…,960,accerciser,po/nl.po
Bookmark selected accessible.,963,Huidige toegankelijke als bladwijzer opslaan.,964,accerciser,po/nl.po
_Edit Bookmarks…,967,Bladwijzers be_werken…,968,accerciser,po/nl.po
Manage bookmarks.,971,Bladwijzers beheren.,972,accerciser,po/nl.po
Edit Bookmarks…,975,Bladwijzers bewerken…,976,accerciser,po/nl.po
Title,979,Titel,980,accerciser,po/nl.po
Application,983,Toepassing,984,accerciser,po/nl.po
Path,987,Pad,988,accerciser,po/nl.po
Add Bookmark…,991,Bladwijzer toevoegen…,992,accerciser,po/nl.po
Title:,995,Titel:,996,accerciser,po/nl.po
Application:,999,Toepassing:,1000,accerciser,po/nl.po
Path:,1003,Pad:,1004,accerciser,po/nl.po
Plugin Errors,1007,Pluginfouten,1008,accerciser,po/nl.po
View,1015,Weergave,1016,accerciser,po/nl.po
No view,1019,Geen weergave,1020,accerciser,po/nl.po
_Single plugins view,1023,_Enkele plugin-weergave,1024,accerciser,po/nl.po
Plugin View,1027,Pluginweergave,1028,accerciser,po/nl.po
Plugin View (%d),1032,Pluginweergave (%d),1033,accerciser,po/nl.po
_New view…,1036,_Nieuwe weergave…,1037,accerciser,po/nl.po
New View…,1040,Nieuwe weergave…,1041,accerciser,po/nl.po
_File,1044,_Bestand,1045,accerciser,po/nl.po
_Edit,1048,Be_werken,1049,accerciser,po/nl.po
_Bookmarks,1053,Bl_adwijzers,1054,accerciser,po/nl.po
_View,1058,Beel_d,1059,accerciser,po/nl.po
_Help,1062,_Hulp,1063,accerciser,po/nl.po
Disk Usage Analyzer,34,Schijfgebruik,35,baobab,po/nl.po
Check folder sizes and available disk space,38,Mapgroottes en beschikbare schijfruimte bekijken,39,baobab,po/nl.po
A simple application to keep your disk usage and available space under control.,42,Een eenvoudige toepassing om uw schijfgebruik en beschikbare ruimte onder controle te houden.,45,baobab,po/nl.po
"Disk Usage Analyzer can scan specific folders, storage devices and online accounts. It provides both a tree and a graphical representation showing the size of each folder, making it easy to identify where disk space is wasted.",50,"Schijfgebruik kan specifieke mappen, opslagapparaten en online-accounts scannen. Het laat zowel een boomstructuur als een grafische weergave zien met de grootte van elke map, wat het gemakkelijk maakt om te zien waar veel schijfruimte wordt gebruikt.",54,baobab,po/nl.po
Devices and Locations,61,Apparaten en locaties,62,baobab,po/nl.po
The GNOME Project,65,Het Gnome-project,66,baobab,po/nl.po
storage;space;cleanup;,70,storage;opslag;ruimte;schijfgebruik;cleanup;opschonen;,71,baobab,po/nl.po
Excluded locations URIs,74,URI’s van uitgesloten locaties,75,baobab,po/nl.po
A list of URIs for locations to be excluded from scanning.,78,Een lijst met URI’s voor locaties die niet doorzocht moeten worden.,79,baobab,po/nl.po
Active Chart,82,Actieve grafiek,83,baobab,po/nl.po
Which type of chart should be displayed.,86,Welke type grafiek zichtbaar dient te zijn.,87,baobab,po/nl.po
Window size,90,Venstergrootte,91,baobab,po/nl.po
The initial size of the window,94,Initiële venstergrootte,95,baobab,po/nl.po
Window state,98,Vensterstaat,99,baobab,po/nl.po
The GdkWindowState of the window,102,De GdkWindowState van het venster,103,baobab,po/nl.po
General,107,Algemeen,108,baobab,po/nl.po
Show help,112,Hulp tonen,113,baobab,po/nl.po
Show / Hide primary menu,117,Primair menu tonen/verbergen,118,baobab,po/nl.po
Quit,122,Afsluiten,123,baobab,po/nl.po
Show Keyboard Shortcuts,127,Sneltoetsen tonen,128,baobab,po/nl.po
Go back to location list,132,Terugkeren naar de locatielijst,133,baobab,po/nl.po
Scanning,137,Scannen,138,baobab,po/nl.po
Scan folder,142,Map scannen,143,baobab,po/nl.po
Rescan current location,147,Huidige locatie opnieuw scannen,148,baobab,po/nl.po
_Open Folder,151,Map _openen,152,baobab,po/nl.po
_Copy Path to Clipboard,155,Pad naar klembord _kopiëren,156,baobab,po/nl.po
Mo_ve to Trash,159,_Naar prullenbak verplaatsen,160,baobab,po/nl.po
Go to _parent folder,163,Naar _bovenliggende map gaan,164,baobab,po/nl.po
Zoom _in,167,_Inzoomen,168,baobab,po/nl.po
Zoom _out,171,_Uitzoomen,172,baobab,po/nl.po
Folder,175,Map,176,baobab,po/nl.po
Size,179,Grootte,180,baobab,po/nl.po
Contents,183,Inhoud,184,baobab,po/nl.po
Modified,187,Gewijzigd,188,baobab,po/nl.po
This Computer,191,Deze computer,192,baobab,po/nl.po
Remote Locations,195,Locaties op afstand,196,baobab,po/nl.po
Preferences,199,Voorkeuren,200,baobab,po/nl.po
Scan Folder…,203,Map scannen…,204,baobab,po/nl.po
Clear Recent List,207,Recente lijst wissen,208,baobab,po/nl.po
Keyboard _Shortcuts,211,_Sneltoetsen,212,baobab,po/nl.po
_Help,215,_Hulp,216,baobab,po/nl.po
_About Disk Usage Analyzer,219,_Over Schijfgebruikanalyse,220,baobab,po/nl.po
Go back to location list,223,Terugkeren naar de locatielijst,224,baobab,po/nl.po
Rescan current location,227,Huidige locatie opnieuw scannen,228,baobab,po/nl.po
Close,231,Sluiten,232,baobab,po/nl.po
Rings Chart,235,Ringdiagram,236,baobab,po/nl.po
Treemap Chart,240,Hiërarchisch blokdiagram,241,baobab,po/nl.po
Do not skip directories on different file systems. Ignored if DIRECTORY is not specified.,244,Sla geen mappen op verschillende bestandssystemen over. Wordt genegeerd indien DIRECTORY (map) niet is opgegeven.,247,baobab,po/nl.po
Print version information and exit,253,Versie-informatie tonen en afsluiten,254,baobab,po/nl.po
%d item,258,%d items,261,baobab,po/nl.po
Unknown,265,Onbekend,266,baobab,po/nl.po
Today,270,Vandaag,271,baobab,po/nl.po
%lu day,276,%lu dag,278,baobab,po/nl.po
%lu day,276,%lu dagen,279,baobab,po/nl.po
%lu month,284,%lu maand,286,baobab,po/nl.po
%lu month,284,%lu maanden,287,baobab,po/nl.po
%lu year,292,%lu jaar,294,baobab,po/nl.po
%lu year,292,%lu jaar,295,baobab,po/nl.po
%s Total,299,%s totaal,300,baobab,po/nl.po
%s Available,304,%s beschikbaar,305,baobab,po/nl.po
%s Used,311,%s gebruikt,312,baobab,po/nl.po
Unmounted,315,Ontkoppeld,316,baobab,po/nl.po
Home folder,319,Persoonlijke map,320,baobab,po/nl.po
Locations to ignore,327,Te negeren locaties,328,baobab,po/nl.po
Select Location to Ignore,332,Selecteer een locatie om te negeren,333,baobab,po/nl.po
_Cancel,336,_Annuleren,337,baobab,po/nl.po
_Open,340,_Openen,341,baobab,po/nl.po
Add location…,344,Locatie toevoegen…,345,baobab,po/nl.po
Select Folder,348,Map selecteren,349,baobab,po/nl.po
Recursively analyze mount points,352,Koppelpunten recursief analyseren,353,baobab,po/nl.po
Could not analyze volume.,356,Volumen analyseren is mislukt.,357,baobab,po/nl.po
Failed to show help,360,Hulp tonen is mislukt,361,baobab,po/nl.po
A graphical tool to analyze disk usage.,365,Een grafisch hulpmiddel om schijfgebruik te analyseren.,366,baobab,po/nl.po
Failed to open file,383,Bestand openen is mislukt,384,baobab,po/nl.po
Failed to move file to the trash,387,Bestand naar de prullenbak verplaatsen is mislukt,388,baobab,po/nl.po
Devices & Locations,391,Apparaten & locaties,392,baobab,po/nl.po
Could not scan folder “%s”,396,Scannen van map ‘%s’ is mislukt,397,baobab,po/nl.po
