GROUP,87,GROP,88,NetworkManager,po/oc.po
unknown,147,desconegut,148,NetworkManager,po/oc.po
none,151,pas cap,152,NetworkManager,po/oc.po
activating,201,activacion,202,NetworkManager,po/oc.po
activated,205,activat,206,NetworkManager,po/oc.po
deactivating,209,desactivacion,210,NetworkManager,po/oc.po
deactivated,213,desactivat,214,NetworkManager,po/oc.po
VPN connecting (prepare),217,Connexion VPN (preparacion),218,NetworkManager,po/oc.po
VPN connecting (need authentication),221,Connexion VPN (autentificacion requesida),222,NetworkManager,po/oc.po
VPN connecting,225,Connexion VPN,226,NetworkManager,po/oc.po
VPN connecting (getting IP configuration),229,Connexion VPN (obtencion de la configuracion IP),230,NetworkManager,po/oc.po
VPN connected,233,VPN connectat,234,NetworkManager,po/oc.po
VPN connection failed,237,Fracàs de la connexion VPN,238,NetworkManager,po/oc.po
VPN disconnected,241,VPN desconnectat,242,NetworkManager,po/oc.po
never,245,pas jamai,246,NetworkManager,po/oc.po
NAME,665,NOM,666,NetworkManager,po/oc.po
Error: %s argument is missing.,730,Error&nbsp;: l'argument %s es mancant.,731,NetworkManager,po/oc.po
Error: %s.,746,Error&nbsp;: %s.,747,NetworkManager,po/oc.po
Unknown parameter: %s\n,832,Paramètre desconegut&nbsp;: %s\n,833,NetworkManager,po/oc.po
no,1000,non,1001,NetworkManager,po/oc.po
yes,1010,òc,1011,NetworkManager,po/oc.po
(none),1836,(pas cap),1837,NetworkManager,po/oc.po
(unknown),1840,(desconegut),1841,NetworkManager,po/oc.po
%u Mb/s,1854,%u Mio/s,1855,NetworkManager,po/oc.po
Wi-Fi scan list,2306,Lista del balejatge Wi-Fi,2307,NetworkManager,po/oc.po
asleep,2479,velha,2480,NetworkManager,po/oc.po
connecting,2483,connexion,2484,NetworkManager,po/oc.po
connected,2495,connectat,2496,NetworkManager,po/oc.po
disconnected,2503,desconnectat,2504,NetworkManager,po/oc.po
running,2511,en cors d'execucion,2512,NetworkManager,po/oc.po
enabled,2523,activat,2524,NetworkManager,po/oc.po
disabled,2527,desactivat,2528,NetworkManager,po/oc.po
