Enable or disable system networking,27,ਸਿਸਟਮ ਨੈੱਟਵਰਕਿੰਗ ਚਾਲੂ ਜਾਂ ਬੰਦ,28,NetworkManager,po/pa.po
System policy prevents enabling or disabling system networking,31,ਸਿਸਟਮ ਪਾਲਸੀ ਸਿਸਟਮ ਨੈੱਟਵਰਕਿੰਗ ਚਾਲੂ ਜਾਂ ਬੰਦ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,32,NetworkManager,po/pa.po
Reload NetworkManager configuration,35,ਨੈੱਟਵਰਕ-ਮੈਨੇਜਰ ਸੰਰਚਨਾ ਮੁੜ-ਲੋਡ ਕਰੋ,36,NetworkManager,po/pa.po
System policy prevents reloading NetworkManager,39,ਸਿਸਟਮ ਪਾਲਸੀ ਨੈੱਟਵਰਕ-ਮੈਨੇਜਰ ਨੂੰ ਮੁੜ-ਲੋਡ ਹੋਣ ਤੋਂ ਰੋਕਦੀ ਹੈ,40,NetworkManager,po/pa.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),43,ਨੈੱਟਵਰਕ-ਮੈਨਜੇਰ ਨੂੰ ਸਲੀਪ ਕਰੋ ਜਾਂ ਵੇਕ ਅੱਪ ਕਰੋ (ਕੇਵਲ ਸਿਸਟਮ ਪਾਵਰ ਮੈਨਜੇਮੈਂਟ ਰਾਹੀਂ ਵਰਤਿਆ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ),46,NetworkManager,po/pa.po
System policy prevents putting NetworkManager to sleep or waking it up,51,ਸਿਸਟਮ ਪਾਲਸੀ ਨੈੱਟਵਰਕ-ਮੈਨੇਜਰ ਨੂੰ ਸਲੀਪ ਜਾਂ ਵੇਕਅੱਪ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,52,NetworkManager,po/pa.po
Enable or disable Wi-Fi devices,55,ਵਾਈ-ਫਾਈ ਜੰਤਰ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰੋ,56,NetworkManager,po/pa.po
System policy prevents enabling or disabling Wi-Fi devices,59,ਸਿਸਟਮ ਪਾਲਸੀ ਵਾਈ-ਫਾਈ ਜੰਤਰ ਚਾਲੂ ਜਾਂ ਬੰਦ ਕਰਨੋਂ ਰੋਕਦੀ ਹੈ,60,NetworkManager,po/pa.po
Enable or disable mobile broadband devices,63,ਮੋਬਾਇਲ ਬਰਾਡਬੈਂਡ ਜੰਤਰ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰੋ,64,NetworkManager,po/pa.po
System policy prevents enabling or disabling mobile broadband devices,67,ਸਿਸਟਮ ਪਾਲਸੀ ਮੋਬਾਇਲ ਬਰਾਡਬੈਂਡ ਜੰਤਰ ਨੂੰ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,68,NetworkManager,po/pa.po
Enable or disable WiMAX mobile broadband devices,71,ਵਾਈ-ਮੈਕਸ ਮੋਬਾਇਲ ਬਰਾਡਬੈਂਡ ਜੰਤਰ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰੋ,72,NetworkManager,po/pa.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,75,ਸਿਸਟਮ ਪਾਲਸੀ ਵਾਈਮੈਕਸ ਮੋਬਾਇਲ ਬਰਾਡਬੈਂਡ ਜੰਤਰ ਨੂੰ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,77,NetworkManager,po/pa.po
Allow control of network connections,80,ਨੈੱਟਵਰਕ ਕਨੈਕਸ਼ਨਾਂ ਲਈ ਕੰਟਰੋਲ ਦੀ ਆਗਿਆ,81,NetworkManager,po/pa.po
System policy prevents control of network connections,84,ਸਿਸਟਮ ਪਾਲਸੀ ਨੈੱਟਵਰਕ ਕਨੈਕਸ਼ਨ ਕੰਟਰੋਲ ਕਰਨ ਤੋਂ ਸੋਧ ਤੋਂ ਰੋਕਦੀ ਹੈ,85,NetworkManager,po/pa.po
Connection sharing via a protected Wi-Fi network,98,ਸੁਰੱਖਿਅਤ ਵਾਈ-ਫਾਈ ਨੈੱਟਵਰਕ ਰਾਹੀਂ ਕਨੈਕਸ਼ਨ ਸਾਂਝਾ ਕਰੋ,99,NetworkManager,po/pa.po
System policy prevents sharing connections via a protected Wi-Fi network,102,ਸਿਸਟਮ ਪਾਲਸੀ ਕਨੈਕਸ਼ਨ ਨੂੰ ਸੁਰੱਖਿਅਤ ਵਾਈ-ਫਾਈ ਨੈੱਟਵਰਕ ਰਾਹੀਂ ਸਾਂਝਾ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,104,NetworkManager,po/pa.po
Connection sharing via an open Wi-Fi network,107,ਓਪਨ ਵਾਈ-ਫਾਈ ਨੈੱਟਵਰਕ ਰਾਹੀਂ ਕਨੈਕਸ਼ਨ ਸਾਂਝਾ ਕਰੋ,108,NetworkManager,po/pa.po
System policy prevents sharing connections via an open Wi-Fi network,111,ਸਿਸਟਮ ਪਾਲਸੀ ਕਨੈਕਸ਼ਨ ਨੂੰ ਓਪਨ ਵਾਈ-ਫਾਈ ਨੈੱਟਵਰਕ ਰਾਹੀਂ ਸਾਂਝਾ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,112,NetworkManager,po/pa.po
Modify personal network connections,115,ਨਿੱਜੀ ਨੈੱਟਵਰਕ ਕਨੈਕਸ਼ਨ ਸੋਧੋ,116,NetworkManager,po/pa.po
System policy prevents modification of personal network settings,119,ਸਿਸਟਮ ਪਾਲਸੀ ਨਿੱਜੀ ਨੈੱਟਵਰਕ ਸੈਟਿੰਗ ਲਈ ਸੋਧ ਤੋਂ ਰੋਕਦੀ ਹੈ,120,NetworkManager,po/pa.po
Modify network connections for all users,123,ਸਭ ਵਰਤੋਂਕਾਰਾਂ ਲਈ ਨੈੱਟਵਰਕ ਕਨੈਕਸ਼ਨ ਸੋਧੋ,124,NetworkManager,po/pa.po
System policy prevents modification of network settings for all users,127,ਸਿਸਟਮ ਪਾਲਸੀ ਸਭ ਵਰਤੋਂਕਾਰਾਂ ਨੂੰ ਨੈੱਟਵਰਕ ਸੈਟਿੰਗਾਂ ਲਈ ਸੋਧ ਤੋਂ ਰੋਕਦੀ ਹੈ,128,NetworkManager,po/pa.po
Modify persistent system hostname,131,ਸਥਿਰ ਸਿਸਟਮ ਹੋਸਟ-ਨਾਂ ਸੋਧੋ,132,NetworkManager,po/pa.po
System policy prevents modification of the persistent system hostname,135,ਸਿਸਟਮ ਪਾਲਸੀ ਸਥਿਰ ਸਿਸਟਮ ਹੋਸਟ-ਨਾਂ ਲਈ ਸੋਧਾਂ ਤੋਂ ਰੋਕਦੀ ਹੈ,136,NetworkManager,po/pa.po
Enable or disable device statistics,158,ਜੰਤਰ ਅੰਕੜੇ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰੋ,159,NetworkManager,po/pa.po
System policy prevents enabling or disabling device statistics,162,ਸਿਸਟਮ ਪਾਲਸੀ ਜੰਤਰ ਅੰਕੜੇ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰਨੋਂ ਰੋਕਦੀ ਹੈ,163,NetworkManager,po/pa.po
Enable or disable connectivity checking,166,ਕਨੈਕਟਵਿਟੀ ਜਾਂਚ ਨੂੰ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰੋ,167,NetworkManager,po/pa.po
System policy prevents enabling or disabling connectivity checking,170,ਸਿਸਟਮ ਪਾਲਸੀ ਕਨੈਕਟਵਿਟੀ ਜਾਂਚ ਸਮਰੱਥ ਜਾਂ ਅਸਮਰੱਥ ਕਰਨ ਤੋਂ ਰੋਕਦੀ ਹੈ,171,NetworkManager,po/pa.po
ADSL connection,185,ADSL ਕਨੈਕਸ਼ਨ,186,NetworkManager,po/pa.po
%s Network,190,%s ਨੈੱਟਵਰਕ,191,NetworkManager,po/pa.po
PAN connection,202,PAN ਕਨੈਕਸ਼ਨ,203,NetworkManager,po/pa.po
GSM connection,215,GSM ਕਨੈਕਸ਼ਨ,216,NetworkManager,po/pa.po
CDMA connection,220,CDMA ਕਨੈਕਸ਼ਨ,221,NetworkManager,po/pa.po
connection does not match device,228,ਕਨੈਕਸ਼ਨ ਕਿਸੇ ਜੰਤਰ ਨਾਲ ਨਹੀਂ ਮਿਲਦਾ ਹੈ,229,NetworkManager,po/pa.po
6LOWPAN connection,232,6LOWPAN ਕਨੈਕਸ਼ਨ,233,NetworkManager,po/pa.po
Bond connection,236,ਬੌਂਡ ਕਨੈਕਸ਼ਨ,237,NetworkManager,po/pa.po
Bridge connection,240,ਬਰਿੱਜ਼ ਕਨੈਕਸ਼ਨ,241,NetworkManager,po/pa.po
Dummy connection,244,ਫ਼ਰਜ਼ੀ ਕਨੈਕਸ਼ਨ,245,NetworkManager,po/pa.po
Wired connection %d,249,ਤਾਰ ਵਾਲਾ ਕਨੈਕਸ਼ਨ %d,250,NetworkManager,po/pa.po
PPPoE connection,259,PPPoE ਕਨੈਕਸ਼ਨ,260,NetworkManager,po/pa.po
Wired connection,263,ਤਾਰ ਵਾਲਾ ਕਨੈਕਸ਼ਨ,264,NetworkManager,po/pa.po
InfiniBand connection,268,ਇਫੀਂਬੈਂਡ ਕਨੈਕਸ਼ਨ,269,NetworkManager,po/pa.po
IP tunnel connection,272,IP ਟਨਲ ਕਨੈਕਸ਼ਨ,273,NetworkManager,po/pa.po
MACVLAN connection,276,MACVLAN ਕਨੈਕਸ਼ਨ,277,NetworkManager,po/pa.po
TUN connection,280,TUN ਕਨੈਕਸ਼ਨ,281,NetworkManager,po/pa.po
VLAN connection,285,VLAN ਕਨੈਕਸ਼ਨ,286,NetworkManager,po/pa.po
VXLAN connection,296,VXLAN ਕਨੈਕਸ਼ਨ,297,NetworkManager,po/pa.po
WPAN connection,300,WPAN ਕਨੈਕਸ਼ਨ,301,NetworkManager,po/pa.po
Team connection,304,ਟੀਮ ਕਨੈਕਸ਼ਨ,305,NetworkManager,po/pa.po
Mesh,309,ਮੈਸ਼,310,NetworkManager,po/pa.po
connection does not match access point,437,ਕਨੈਕਸ਼ਨ ਅਕਸੈਸ ਪੁਆਇੰਟ ਨਾਲ ਮਿਲਦਾ ਨਹੀਂ ਹੈ,438,NetworkManager,po/pa.po
# Created by NetworkManager\n,465,# ਨੈੱਟਵਰਕ-ਮੈਨੇਜਰ ਵਲੋਂ ਬਣਾਈ\n,466,NetworkManager,po/pa.po
# Merged from %s\n\n,470,# %s ਤੋਂ ਮਿਲਾਇਆ\n\n,473,NetworkManager,po/pa.po
Opening %s failed: %s\n,479,'%s' ਨੂੰ ਖੋਲ੍ਹਣ ਲਈ ਫੇਲ੍ਹ: %s\n,480,NetworkManager,po/pa.po
Writing to %s failed: %s\n,484,'%s' ਲਿਖਣ ਲਈ ਫੇਲ੍ਹ: %s\n,485,NetworkManager,po/pa.po
Closing %s failed: %s\n,489,%s ਬੰਦ ਕਰਨ ਲਈ ਫੇਲ੍ਹ ਹੈ: %s\n,490,NetworkManager,po/pa.po
Cannot create '%s': %s,494,'%s' ਬਣਾਇਆ ਨਹੀਂ ਜਾ ਸਕਦਾ: %s,495,NetworkManager,po/pa.po
%s is already running (pid %ld)\n,499,%s ਪਹਿਲਾਂ ਹੀ ਚੱਲ ਰਿਹਾ ਹੈ (pid %ld)\n,500,NetworkManager,po/pa.po
