Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,27,Użycie: nmcli agent { POLECENIE | help }\n\nPOLECENIE := { secret | polkit | all }\n\n,32,NetworkManager,po/pl.po
Usage: nmcli agent secret { help }\n\nRuns nmcli as NetworkManager secret agent. When NetworkManager requires\na password it asks registered agents for it. This command keeps nmcli running\nand if a password is required asks the user for it.\n\n,40,"Użycie: nmcli agent secret { help }\n\nUruchamia program nmcli jako agenta haseł usługi NetworkManager. Kiedy\nusługa NetworkManager wymaga hasła, pytani są zarejestrowani agenci.\nTo polecenie utrzymuje działanie programu nmcli i pyta użytkownika\no hasło, jeśli jest wymagane.\n\n",48,NetworkManager,po/pl.po
"Usage: nmcli agent polkit { help }\n\nRegisters nmcli as a polkit action for the user session.\nWhen a polkit daemon requires an authorization, nmcli asks the user and gives\nthe response back to polkit.\n\n",59,"Użycie: nmcli agent polkit { help }\n\nRejestruje program nmcli jako działanie polkit dla sesji użytkownika.\nKiedy usługa polkit wymaga upoważnienia, program nmcli pyta użytkownika\ni przekazuje odpowiedź do z powrotem do polkit.\n\n",67,NetworkManager,po/pl.po
Usage: nmcli agent all { help }\n\nRuns nmcli as both NetworkManager secret and a polkit agent.\n\n,77,Użycie: nmcli agent all { help }\n\nUruchamia program nmcli jako agenta haseł i polkit usługi NetworkManager.\n\n,82,NetworkManager,po/pl.po
nmcli successfully registered as a NetworkManager's secret agent.\n,90,Pomyślnie zarejestrowano program nmcli jako agenta haseł usługi NetworkManager.\n,91,NetworkManager,po/pl.po
Error: secret agent initialization failed,97,Błąd: zainicjowanie agenta haseł się nie powiodło,98,NetworkManager,po/pl.po
nmcli successfully registered as a polkit agent.\n,102,Pomyślnie zarejestrowano program nmcli jako agenta polkit.\n,103,NetworkManager,po/pl.po
Error: polkit agent initialization failed: %s,107,Błąd: zainicjowanie agenta polkit się nie powiodło: %s,108,NetworkManager,po/pl.po
GROUP,113,GRUPA,114,NetworkManager,po/pl.po
Error: openconnect failed: %s\n,118,Błąd: polecenie openconnect się nie powiodło: %s\n,119,NetworkManager,po/pl.po
Error: openconnect failed with status %d\n,123,Błąd: polecenie openconnect się nie powiodło ze stanem %d\n,124,NetworkManager,po/pl.po
Error: openconnect failed with signal %d\n,128,Błąd: polecenie openconnect się nie powiodło z sygnałem %d\n,129,NetworkManager,po/pl.po
Warning: password for '%s' not given in 'passwd-file' and nmcli cannot ask without '--ask' option.\n,133,"Ostrzeżenie: w „passwd-file” nie podano hasła dla „%s”, a program nmcli nie może zapytać bez opcji „--ask”.\n",136,NetworkManager,po/pl.po
Error: Could not create NMClient object: %s.,142,Błąd: nie można utworzyć obiektu NMClient: %s.,143,NetworkManager,po/pl.po
Error: NetworkManager is not running.,146,Błąd: usługa NetworkManager nie jest uruchomiona.,147,NetworkManager,po/pl.po
Error: argument '%s' not understood. Try passing --help instead.,151,Błąd: nie zrozumiano parametru „%s”. Można użyć „--help” zamiast tego.,152,NetworkManager,po/pl.po
Error: missing argument. Try passing --help.,155,Błąd: brak parametru. Można użyć „--help” zamiast tego.,156,NetworkManager,po/pl.po
access denied,159,odmowa dostępu,160,NetworkManager,po/pl.po
NetworkManager is not running,163,Usługa NetworkManager nie jest uruchomiona,164,NetworkManager,po/pl.po
Error: error connecting to system bus: %s,168,Błąd: błąd podczas łączenia z magistralą systemową: %s,169,NetworkManager,po/pl.po
unknown,183,nieznane,184,NetworkManager,po/pl.po
none,187,brak,188,NetworkManager,po/pl.po
limited,195,ograniczone,196,NetworkManager,po/pl.po
full,199,pełne,200,NetworkManager,po/pl.po
Setting name? ,204,Nazwa ustawienia? ,205,NetworkManager,po/pl.po
Property name? ,208,Nazwa właściwości? ,209,NetworkManager,po/pl.po
