Check folder sizes and available disk space,23,د پوښۍ کچونه او شته ټيکلی تشه وګورﺉ,24,baobab,po/ps.po
Disk Usage Analyzer,27,د ټيکلي کارونې شننونکی,28,baobab,po/ps.po
Disk Usage Analyzer Preferences,31,د ټيکلي کارونې شننونکي غوراوي,32,baobab,po/ps.po
Select _devices to include in filesystem scan:,35,هغه _وزلې چې د دوتنه غونډال په ځېرنه کې يې ننويستل غواړﺉ وټاکئ:,36,baobab,po/ps.po
_Monitor changes to your home folder,39,د خپلې کور پوښۍ بدلونونه ليدل_,40,baobab,po/ps.po
Toolbar is Visible,65,توکپټه ښکاري,66,baobab,po/ps.po
All_ocated Space,86,ځا_نګړې تشه,87,baobab,po/ps.po
Refresh,90,تاندول,91,baobab,po/ps.po
S_can Remote Folder...,94,...لرې پوښۍ ځ_ېرل,95,baobab,po/ps.po
Scan F_older...,98,...پ_وښۍ ځېرل,99,baobab,po/ps.po
Scan Filesystem,102,دوتنه غونډال ځېرل,103,baobab,po/ps.po
Scan Folder,106,پوښۍ ځېرل,107,baobab,po/ps.po
Scan Home,110,کور ځېرل,111,baobab,po/ps.po
Scan Remote Folder,114,لرې پوښۍ ځېرل,115,baobab,po/ps.po
Scan _Filesystem,118,دوتنه _غونډال ځېرل,119,baobab,po/ps.po
Scan _Home Folder,122,کور _پوښۍ ځېرل,123,baobab,po/ps.po
Scan a folder,126,پوښۍ ځېرل,127,baobab,po/ps.po
Scan a remote folder,130,کوم لرې پوښۍ ځېرل,131,baobab,po/ps.po
Scan filesystem,134,دوتنه غونډال ځېرل,135,baobab,po/ps.po
Scan home folder,138,کور پوښۍ ځېرل,139,baobab,po/ps.po
St_atusbar,142,ان_کړپټه,143,baobab,po/ps.po
Stop scanning,146,ځېرنه تمول,147,baobab,po/ps.po
_Analyzer,150,شننونکی_,151,baobab,po/ps.po
_Collapse All,154,ټول وېجاړول_,155,baobab,po/ps.po
_Contents,158,منځپانګې_,159,baobab,po/ps.po
_Edit,162,سمون_,163,baobab,po/ps.po
_Expand All,166,ټول غځول_,167,baobab,po/ps.po
_Help,170,مرسته_,171,baobab,po/ps.po
_Toolbar,174,توکپټه_,175,baobab,po/ps.po
_View,178,کوت_,179,baobab,po/ps.po
Scanning...,182,...ځېرل کيږي,183,baobab,po/ps.po
used:,190,:کارېدلی,191,baobab,po/ps.po
available:,194,:شته,195,baobab,po/ps.po
Calculating percentage bars...,199,سلنه پټې شمېرل کيږي...,200,baobab,po/ps.po
Ready,203,چمتو دی,204,baobab,po/ps.po
Total filesystem usage,211,د دوتنه غونډال بشپړه کارونه,212,baobab,po/ps.po
contains hardlinks for:,215,لپاره کلکتړنه لري:,216,baobab,po/ps.po
Could not initialize monitoring,226,ليدنه نه شي پېلولی,227,baobab,po/ps.po
Changes to your home folder will not be monitored.,230,ستاسو د کور پوښۍ بدلونونه به ونه ليدل شي.,231,baobab,po/ps.po
Move to parent folder,234,پلرينې پوښۍ ته خوځول,235,baobab,po/ps.po
Zoom in,238,لوډېرول,239,baobab,po/ps.po
Zoom out,242,لوکمول,243,baobab,po/ps.po
View as Rings Chart,251,څرګندمن کتل Rings لکه,252,baobab,po/ps.po
View as Treemap Chart,255,څرګندمن کتل Treemap لکه,256,baobab,po/ps.po
Could not detect any mount point.,271,کوم درول ټکي ونه موندل شول.,272,baobab,po/ps.po
Chart model,287,د څرګندوی بېلګه,288,baobab,po/ps.po
Set the model of the chart,291,د څرګندوی بېلګه ټاکل,292,baobab,po/ps.po
Cannot create pixbuf image!,303,انځور نه شي جوړولی! pixbuf,304,baobab,po/ps.po
Save Snapshot,308,سملاسي انځور ساتل,309,baobab,po/ps.po
_Image type:,312,:انځور ډول_,313,baobab,po/ps.po
Scan,316,ځېرل,317,baobab,po/ps.po
Device,320,وزله,321,baobab,po/ps.po
Mount Point,324,درول ټکی,325,baobab,po/ps.po
Filesystem Type,328,د دوتنه غونډال ډول,329,baobab,po/ps.po
Total Size,332,ټول کچ,333,baobab,po/ps.po
Available,336,شته,337,baobab,po/ps.po
"Cannot scan location \""%s\""",341,"ځای نه شي ځېرلی \""%s\""",342,baobab,po/ps.po
Custom Location,345,دوديز ځای,346,baobab,po/ps.po
Public FTP,353,FTP ټولګړی,354,baobab,po/ps.po
FTP (with login),357,(د ننوت سره) FTP,358,baobab,po/ps.po
Windows share,361,وېنډوز ونډه,362,baobab,po/ps.po
Secure WebDAV (HTTPS),369,خوندي WebDAV (HTTPS),370,baobab,po/ps.po
Cannot Connect to Server. You must enter a name for the server.,373,پالنګر سره نه شي نښلېدلی. ښايي چې تاسو د پالنګر لپاره يو نوم وليکئ.,374,baobab,po/ps.po
Please enter a name and try again.,377,لورينه وکړئ يو نوم وليکﺉ او بيا هڅه وکړﺉ.,378,baobab,po/ps.po
