Accessibility explorer for the GNOME desktop,28,Explorator de accesibilitate pentru desktop-ul GNOME,29,accerciser,po/ro.po
"Accerciser is an interactive Python accessibility explorer for the GNOME desktop. It uses AT-SPI to inspect and control widgets, allowing you to check if an application is providing correct information to assistive technologies and automated test frameworks.",32,"Accerciser este un explorator de accesibilitate Python interactiv pentru desktopul GNOME. Utilizează AT-SPI pentru a inspecta și controla widget-uri, permițându-vă să verificați dacă o aplicație furnizează informații corecte tehnologiilor asistive și platforme de testare automate.",37,accerciser,po/ro.po
Accerciser has a simple plugin framework which you can use to create custom views of accessibility information.,44,Accerciser are un o platformă de modul simple pe care o puteți utiliza pentru a crea vizualizări personalizate a informațiilor de accesibilitate.,47,accerciser,po/ro.po
Give your application an accessibility workout,52,Verificați accesibilitatea aplicației dumneavoastră,53,accerciser,po/ro.po
accessibility;development;test;,57,accessibility;development;test;accesibilitate;dezvoltare;,58,accerciser,po/ro.po
A list of plugins that are disabled by default,61,O listă a modulelor dezactivate implicit,62,accerciser,po/ro.po
A list of plugins that are disabled by default.,65,O listă a modulelor dezactivate implicit.,66,accerciser,po/ro.po
Highlight duration,69,Durata evidențierii,70,accerciser,po/ro.po
The duration of the highlight box when selecting accessible nodes.,73,Durata căsuței de evidențiere când se selectează noduri accesibile.,74,accerciser,po/ro.po
Highlight fill color,77,Culoarea de umplere a evidențierii,78,accerciser,po/ro.po
The color and opacity of the highlight fill.,81,Culoarea și opacitatea de umplere a evidențierii.,82,accerciser,po/ro.po
Highlight border color,85,Culoarea evidențierii conturului,86,accerciser,po/ro.po
The color and opacity of the highlight border.,89,Culoarea și opacitatea conturului evidențierii.,90,accerciser,po/ro.po
Horizontal split,93,Separare orizontală,94,accerciser,po/ro.po
Position of the horizontal split of the main window.,97,Poziția separării orizontale a ferestrei principale.,98,accerciser,po/ro.po
Vertical split,101,Separare verticală,102,accerciser,po/ro.po
Position of the vertical split of the main window.,105,Poziția separării verticale a ferestrei principale.,106,accerciser,po/ro.po
Default window height,109,Înălțime fereastră implicită,110,accerciser,po/ro.po
The window height value.,113,Valoarea înălțimii ferestrei.,114,accerciser,po/ro.po
Default window width,117,Lățime fereastră implicită,118,accerciser,po/ro.po
The window width value.,121,Valoarea lățimii ferestrei.,122,accerciser,po/ro.po
The layout for the bottom panel,125,Aranjamentul pentru panoul de jos,126,accerciser,po/ro.po
The layout for the bottom panel pluginview.,129,Aranjamentul pentru vizualizarea de modul al panoului de jos.,130,accerciser,po/ro.po
The layout for the top panel,133,Aranjamentul pentru panoul de top,134,accerciser,po/ro.po
The layout for the top panel pluginview.,137,Aranjamentul pentru vizualizarea de modul al panoului de top.,138,accerciser,po/ro.po
Single layout view,141,Vizualizare aranjament singulară,142,accerciser,po/ro.po
View plugins in a single layout.,145,Vizualizați modulele într-un singur aranjament.,146,accerciser,po/ro.po
Available new pluginviews,149,Vizualizări noi disponibile,150,accerciser,po/ro.po
This list contains all the new available pluginviews,153,Lista conține toate vizualizările de modul disponibile noi,154,accerciser,po/ro.po
The pluginview layout,157,Aranjament de vizualizare de modul,158,accerciser,po/ro.po
The default plugin layout for the top panel.,161,Aranjamentul implicit pentru panoul de sus.,162,accerciser,po/ro.po
Window height,165,Înălțime fereastră,166,accerciser,po/ro.po
Window height value.,169,Valoarea înălțimii ferestrei.,170,accerciser,po/ro.po
Window width,173,Lățimea ferestrei,174,accerciser,po/ro.po
Window width value.,177,Valoarea lățimii ferestrei.,178,accerciser,po/ro.po
Hotkey combination,181,Combinație de taste rapide,182,accerciser,po/ro.po
Hotkey combination for related action.,185,Combinație de taste rapide pentru acțiunea legată.,186,accerciser,po/ro.po
API Browser,189,Navigator API,190,accerciser,po/ro.po
Browse the various methods of the current accessible,193,Navigare metode diverse ale elementului accesibil curent,194,accerciser,po/ro.po
Hide private attributes,197,Ascunde atributele private,198,accerciser,po/ro.po
Method,201,Metodă,202,accerciser,po/ro.po
Property,205,Proprietate,206,accerciser,po/ro.po
Value,209,Valoare,210,accerciser,po/ro.po
IPython Console,213,Consolă IPython,214,accerciser,po/ro.po
Interactive console for manipulating currently selected accessible,217,Consolă interactivă pentru manipularea accesibilelor selectate,218,accerciser,po/ro.po
Event monitor,221,Monitor de eveniment,222,accerciser,po/ro.po
_Monitor Events,225,_Monitorizare evenimente,226,accerciser,po/ro.po
C_lear Selection,229,E_limină selecția,230,accerciser,po/ro.po
Everything,233,Tot,234,accerciser,po/ro.po
Selected application,237,Aplicații selectate,238,accerciser,po/ro.po
Selected accessible,241,Accesibilul selectat,242,accerciser,po/ro.po
Source,245,Sursă,246,accerciser,po/ro.po
Name,253,Nume,254,accerciser,po/ro.po
Full Name,257,Nume complet,258,accerciser,po/ro.po
Event Monitor,261,Monitor eveniment,262,accerciser,po/ro.po
Shows events as they occur from selected types and sources,265,Afișează evenimentele așa cum apar de la tipurile și sursele selectate,266,accerciser,po/ro.po
Highlight last event entry,269,Evidențiază ultima intrare de eveniment,270,accerciser,po/ro.po
Start/stop event recording,273,Pornește/oprește înregistrarea de evenimente,274,accerciser,po/ro.po
Clear event log,277,Șterge istoricul evenimentelor,278,accerciser,po/ro.po
Child count,281,Contor de inferiori,282,accerciser,po/ro.po
(no description),293,(fără descriere),294,accerciser,po/ro.po
Description,300,Descriere,301,accerciser,po/ro.po
(no ID),304,(fără ID),305,accerciser,po/ro.po
States,312,Stări,313,accerciser,po/ro.po
Attributes,317,Atribute,318,accerciser,po/ro.po
Show,321,Afișează,322,accerciser,po/ro.po
Relations,325,Relații,326,accerciser,po/ro.po
_Accessible,329,_Accesibil,330,accerciser,po/ro.po
Key binding,333,Legare cheie,334,accerciser,po/ro.po
Perform action,337,Execută acțiunea,338,accerciser,po/ro.po
Acti_on,341,Acți_une,342,accerciser,po/ro.po
Version,349,Versiune,350,accerciser,po/ro.po
Ap_plication,353,A_plicație,354,accerciser,po/ro.po
Col_lection,357,Co_lecție,358,accerciser,po/ro.po
Relative position,371,Poziție relativă,372,accerciser,po/ro.po
Size,375,Mărime,376,accerciser,po/ro.po
Layer,383,Strat,384,accerciser,po/ro.po
MDI-Z-order,387,Ordine MDI-Z,388,accerciser,po/ro.po
Alpha,391,Alfa,392,accerciser,po/ro.po
Absolute position,395,Poziție abolută,396,accerciser,po/ro.po
Co_mponent,399,Co_mponentă,400,accerciser,po/ro.po
Locale:,407,Configurație locală:,408,accerciser,po/ro.po
Hyperlink,416,Hiperlegătură,417,accerciser,po/ro.po
Position,424,Poziție,425,accerciser,po/ro.po
Locale,428,Configurație locală,429,accerciser,po/ro.po
_Image,432,_Imagine,433,accerciser,po/ro.po
Lo_gin Helper,436,_Asistent autentificare,437,accerciser,po/ro.po
Select All,440,Alege tot,441,accerciser,po/ro.po
_Selection,444,_Selecție,445,accerciser,po/ro.po
Content type,448,Tip de conținut,449,accerciser,po/ro.po
St_reamable Content,456,Conținut _flux,457,accerciser,po/ro.po
Caption:,460,Legendă:,461,accerciser,po/ro.po
Summary:,464,Sumar:,465,accerciser,po/ro.po
Selected columns,468,Coloane selectate,469,accerciser,po/ro.po
Selected rows,472,Rânduri selectate,473,accerciser,po/ro.po
Columns,476,Coloane,477,accerciser,po/ro.po
Rows,480,Rânduri,481,accerciser,po/ro.po
Table Information,484,Informații tabel,485,accerciser,po/ro.po
"name (x,y)",488,"nume (x,y)",489,accerciser,po/ro.po
Header:,492,Antet:,493,accerciser,po/ro.po
<no description>,496,<fără descriere>,497,accerciser,po/ro.po
Extents:,502,Extinde:,503,accerciser,po/ro.po
Row,506,Rând,507,accerciser,po/ro.po
Column,510,Coloană,511,accerciser,po/ro.po
Selected Cell,514,Celulă selectată,515,accerciser,po/ro.po
_Table,518,_Tabel,519,accerciser,po/ro.po
Offset,526,Decalaj,527,accerciser,po/ro.po
Include defaults,530,Include implicite,531,accerciser,po/ro.po
End: 0,540,Sfârșit: 0,541,accerciser,po/ro.po
Current value,548,Valoare curentă,549,accerciser,po/ro.po
Minimum increment,552,Increment minim,553,accerciser,po/ro.po
Maximum value,556,Valoare maximă,557,accerciser,po/ro.po
Minimum value,560,Valoare minimă,561,accerciser,po/ro.po
Val_ue,564,Val_oare,565,accerciser,po/ro.po
unknown,568,necunoscut,569,accerciser,po/ro.po
Interface Viewer,573,Vizualizator interfață,574,accerciser,po/ro.po
Allows viewing of various interface properties,578,Permite vizualizarea a varii proprietăți de interfață,579,accerciser,po/ro.po
(not implemented),582,(neimplementat),583,accerciser,po/ro.po
End,590,Sfârșit,591,accerciser,po/ro.po
Too many selectable children,594,Prea mulți copii selectabili,595,accerciser,po/ro.po
(Editable),598,(Editabil),599,accerciser,po/ro.po
End: %d,618,Sfârșit: %d,619,accerciser,po/ro.po
Quick Select,622,Selecție rapidă,623,accerciser,po/ro.po
Plugin with various methods of selecting accessibles quickly.,626,Modul cu metode diverse pentru a alege rapid elementele accesibile.,627,accerciser,po/ro.po
