Modify persistent system hostname,132,Zmenit perzistentné systémové meno hostiteľa,133,NetworkManager,po/sk.po
Modify persistent global DNS configuration,140,Zmeniť perzistentnú globálnu konfiguráciu DNS,141,NetworkManager,po/sk.po
ADSL connection,186,ADSL spojenie,187,NetworkManager,po/sk.po
Wired connection %d,257,Drôtové pripojenie %d,258,NetworkManager,po/sk.po
Wired connection,272,Pripojenie k drôtovej sieti,273,NetworkManager,po/sk.po
InfiniBand connection,277,Spojenie InfiniBand,278,NetworkManager,po/sk.po
IP tunnel connection,281,Pripojenie IP tunela,282,NetworkManager,po/sk.po
TUN connection,290,Spojenie TUN,291,NetworkManager,po/sk.po
WPAN connection,312,WPAN spojenie,313,NetworkManager,po/sk.po
Team connection,316,Team spojenie,317,NetworkManager,po/sk.po
Don't become a daemon,522,Neprepnúť sa do režimu démona,523,NetworkManager,po/sk.po
Log level: one of [%s],527,Úroveň záznamu: jedna z [%s],528,NetworkManager,po/sk.po
"Log domains separated by ',': any combination of [%s]",532,"Záznamové domény oddelené ',': akákoľvek kombinácia [%s]",533,NetworkManager,po/sk.po
Make all warnings fatal,536,Všetky varovania sú fatálne,537,NetworkManager,po/sk.po
Specify the location of a PID file,540,Špecifikovať umiestnenie súboru s PID,541,NetworkManager,po/sk.po
Print NetworkManager configuration and exit,544,Vypíše nastavenie NetworkManagera a skončí,545,NetworkManager,po/sk.po
Bridge,655,Premostenie,656,NetworkManager,po/sk.po
Mobile Broadband,917,Mobilný broadband,918,NetworkManager,po/sk.po
IPTunnel,945,IPTunel,946,NetworkManager,po/sk.po
Unknown,997,Neznáme,998,NetworkManager,po/sk.po
Wired,1001,Drôtové,1002,NetworkManager,po/sk.po
IP Tunnel,1184,IP Tunel,1185,NetworkManager,po/sk.po
invalid setting: %s,1336,neplatné nastavenie: %s,1337,NetworkManager,po/sk.po
invalid key '%s.%s',1381,neplatný kľúč '%s.%s',1382,NetworkManager,po/sk.po
key '%s.%s' is not boolean,1386,kľúč '%s.%s' nie je typu boolean,1387,NetworkManager,po/sk.po
property is not specified,1437,vlastnosť nie je špecifikovaná,1438,NetworkManager,po/sk.po
missing setting,1605,chýbajúce nastavenie,1606,NetworkManager,po/sk.po
'%s' option is empty,1615,voľba '%s' je prázdna,1616,NetworkManager,po/sk.po
'%s' is not a valid IPv4 address for '%s' option,1620,'%s' nie je platná IPv4 adresa pre voľbu '%s',1621,NetworkManager,po/sk.po
is not a valid MAC address,1722,nie je platnou MAC adresou,1723,NetworkManager,po/sk.po
%d. IP address is invalid,2202,%d. IP adresa nie je platná,2203,NetworkManager,po/sk.po
%d. IP address has invalid label '%s',2212,%d. IP adresa nemá platné označenie '%s',2213,NetworkManager,po/sk.po
gateway cannot be set if there are no addresses configured,2216,"brána nemôže byť nastavená, ak nie sú nastavené žiadna dresy",2217,NetworkManager,po/sk.po
gateway is invalid,2220,brána nie je platná,2221,NetworkManager,po/sk.po
%d. route is invalid,2225,%d. smer nie je platný,2226,NetworkManager,po/sk.po
a gateway is incompatible with '%s',2264,brána nie je kompatibilná s '%s',2265,NetworkManager,po/sk.po
