Enable or disable system networking,30,Omogoči ali onemogoči sistemske omrežne povezave,31,NetworkManager,po/sl.po
System policy prevents enabling or disabling system networking,34,Sistemska določila preprečujejo omogočanje ali onemogočanje omrežnih povezav.,35,NetworkManager,po/sl.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),50,Postavi program NetworkManager v mirovanje ali iz njega (možnost je namenjena upravljanju napajanja),53,NetworkManager,po/sl.po
System policy prevents putting NetworkManager to sleep or waking it up,58,Sistemska določila preprečujejo postavitev programa NetworkManager v mirovanje ali iz njega.,59,NetworkManager,po/sl.po
Enable or disable Wi-Fi devices,64,Omogoči ali onemogoči naprave Wi-Fi,65,NetworkManager,po/sl.po
System policy prevents enabling or disabling Wi-Fi devices,68,Sistemska določila preprečujejo omogočanja ali onemogočanje Wi-Fi naprav,69,NetworkManager,po/sl.po
Enable or disable mobile broadband devices,73,Omogoči ali onemogoči naprave mobilnih širokopasovnih storitev,74,NetworkManager,po/sl.po
System policy prevents enabling or disabling mobile broadband devices,77,Sistemska določila preprečuje omogočanja ali onemogočanje mobilne širokopasovne naprave,78,NetworkManager,po/sl.po
Enable or disable WiMAX mobile broadband devices,83,Omogoči ali onemogoči mobilne širokopasovne naprave WiMAX,84,NetworkManager,po/sl.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,87,Sistemska določila preprečujejo omogočanje ali onemogočanje mobilnih širokopasovnih naprav WiMAX,89,NetworkManager,po/sl.po
Allow control of network connections,94,Dovoli nadzor omrežnih povezav,95,NetworkManager,po/sl.po
System policy prevents control of network connections,98,Sistemska določila preprečujejo nadzor omrežnih povezav,99,NetworkManager,po/sl.po
Connection sharing via a protected Wi-Fi network,113,Souporaba povezave preko zaščitenega Wi-Fi omrežja,114,NetworkManager,po/sl.po
System policy prevents sharing connections via a protected Wi-Fi network,117,Sistemska pravila preprečujejo souporabo povezav preko zaščitenega Wi-Fi omrežja,119,NetworkManager,po/sl.po
Connection sharing via an open Wi-Fi network,124,Souporaba povezave preko odprtega Wi-Fi omrežja,125,NetworkManager,po/sl.po
System policy prevents sharing connections via an open Wi-Fi network,128,Sistemska pravila preprečujejo souporabo povezav preko odprtega Wi-Fi omrežja,129,NetworkManager,po/sl.po
Modify personal network connections,133,Spremeni osebne omrežne povezave,134,NetworkManager,po/sl.po
System policy prevents modification of personal network settings,137,Sistemska določila preprečujejo spreminjanje osebnih omrežnih nastavitev,138,NetworkManager,po/sl.po
Modify network connections for all users,142,Spremeni omrežne povezave za vse uporabnike,143,NetworkManager,po/sl.po
System policy prevents modification of network settings for all users,146,Sistemska določila preprečujejo spreminjanje sistemskih nastavitev za vse uporabnike,147,NetworkManager,po/sl.po
Modify persistent system hostname,152,Spremeni trajno sistemsko ime gostitelja,153,NetworkManager,po/sl.po
System policy prevents modification of the persistent system hostname,156,Sistemska pravila preprečujejo spremembo imena gostitelja trajnega sistema,157,NetworkManager,po/sl.po
Wired connection %d,284,Žična povezava %d,285,NetworkManager,po/sl.po
# Created by NetworkManager\n,504,#Ustvarjeno z upravljalnikom omrežij\n,505,NetworkManager,po/sl.po
# Merged from %s\n\n,509,# Združeno iz %s\n\n,512,NetworkManager,po/sl.po
Opening %s failed: %s\n,518,Odpiranje %s je spodletelo: %s\n,519,NetworkManager,po/sl.po
Writing to %s failed: %s\n,523,Zapisovanje v %s je spodletelo: %s\n,524,NetworkManager,po/sl.po
