Accerciser Accessibility Explorer,25,Accerciser - Eksploruesi i açesibilitetit,26,accerciser,po/sq.po
Give your application an accessibility workout,29,Verifikimi i açesibilitetit të aplikativëve të krijuar,30,accerciser,po/sq.po
A list of plugins that are disabled by default,33,Një listë me plugin të çaktivizuar në menyrë të paracaktuar,34,accerciser,po/sq.po
Highlight border color,37,Vë në dukje ngjyrën e bordit,38,accerciser,po/sq.po
Highlight duration,41,Vë në dukje kohëzgjatjen,42,accerciser,po/sq.po
Highlight fill color,45,Vë në dukje ngjyrën e mbushjes,46,accerciser,po/sq.po
The color and opacity of the highlight border.,49,Ngjyra dhe tejdukshmëria e vënies në dukje të kornizës.,50,accerciser,po/sq.po
The color and opacity of the highlight fill.,53,Ngjyra dhe tejdukshmëria e vënies në dukje të mbushjes,54,accerciser,po/sq.po
The default plugin layout for the bottom panel,57,Struktura e plugin të paracaktuar për panelin e poshtëm,58,accerciser,po/sq.po
The default plugin layout for the top panel,61,Struktura e plugin të paracaktuar për panelin e sipërm,62,accerciser,po/sq.po
The duration of the highlight box when selecting accessible nodes,65,Kohëzgjatja e kutisë së vënë në dukje kur zgjidhen nyje açesibël,66,accerciser,po/sq.po
API Browser,69,Shfletuesi i API,70,accerciser,po/sq.po
Browse the various methods of the current accessible,73,Shfleto metodat e ndryshme të açesibilitetit aktual,74,accerciser,po/sq.po
Hide private attributes,77,Fshih atributet private,78,accerciser,po/sq.po
Method,81,Metoda,82,accerciser,po/sq.po
Property,85,Pronësia,86,accerciser,po/sq.po
Value,89,Vlera,90,accerciser,po/sq.po
IPython Console,93,Konsola IPython,94,accerciser,po/sq.po
Interactive console for manipulating currently selected accessible,97,Konsolë interaktive për të manipuluar açesibilitetin aktual të zgjedhur,98,accerciser,po/sq.po
<b>Event monitor</b>,101,<b>Monitori i aktiviteteve</b>,102,accerciser,po/sq.po
C_lear Selection,105,P_astro zgjedhjen,106,accerciser,po/sq.po
Everything,109,Gjithçka,110,accerciser,po/sq.po
Selected accessible,113,Zgjidh açesibilitetin,114,accerciser,po/sq.po
Selected application,117,Aplikativi i zgjedhur,118,accerciser,po/sq.po
Source,121,Burimi,122,accerciser,po/sq.po
_Monitor Events,125,_Monitoro aktivitetet,126,accerciser,po/sq.po
Event Monitor,129,Monitori i aktiviteteve,130,accerciser,po/sq.po
Shows events as they occur from selected types and sources,133,Shfaq aktivitetet sipas llojeve dhe burimeve të zgjedhur,134,accerciser,po/sq.po
Highlight last event entry,137,Vër në dukje e zërin e aktivitetit të fundit,138,accerciser,po/sq.po
Start/stop event recording,141,Nis/Ndalo regjistrimin e eventeve,142,accerciser,po/sq.po
Clear event log,145,Pastron mesazhet e eventit,146,accerciser,po/sq.po
<b>Attributes</b>,158,<b>Veçoritë</b>,159,accerciser,po/sq.po
<b>Child count</b>,162,<b>Numri i bijve</b>,163,accerciser,po/sq.po
<b>Description</b>,166,<b>Përshkrimi</b>,167,accerciser,po/sq.po
<b>Relations</b>,170,<b>Relacione</b>,171,accerciser,po/sq.po
<b>Selected Cell</b>,174,<b>Qelia e zgjedhur</b>,175,accerciser,po/sq.po
<b>States</b>,178,<b>Gjëndjet</b>,179,accerciser,po/sq.po
<b>Table Information</b>,182,<b>Informacione tabele</b>,183,accerciser,po/sq.po
<b>Text</b>,186,<b>Teksti</b>,187,accerciser,po/sq.po
<b>unknown</b>,190,<b>nuk njihet</b>,191,accerciser,po/sq.po
<i>(no description)</i>,195,<i>(asnjë përshkrim)</i>,196,accerciser,po/sq.po
<i>Caption:</i>,199,<i>Kapitulli:</i>,200,accerciser,po/sq.po
<i>End: 0</i>,204,<i>Mbarimi: 0</i>,205,accerciser,po/sq.po
<i>Start: 0</i>,209,<i>Fillimi: 0</i>,210,accerciser,po/sq.po
<i>Summary:</i>,213,<i>Përmbledhja:</i>,214,accerciser,po/sq.po
<no description>,217,<asnjë përshkrim>,218,accerciser,po/sq.po
Absolute position,221,Pozicioni absolut,222,accerciser,po/sq.po
Acti_on,225,Vep_rimi,226,accerciser,po/sq.po
Alpha,229,Alfa,230,accerciser,po/sq.po
Ap_plication,233,A_plikativi,234,accerciser,po/sq.po
Co_mponent,237,Ko_mponenti,238,accerciser,po/sq.po
Col_lection,241,Ko_leksioni,242,accerciser,po/sq.po
Column,245,Kollonë,246,accerciser,po/sq.po
Columns,249,Kollonat,250,accerciser,po/sq.po
Current value,253,Vlera aktuale,254,accerciser,po/sq.po
Des_ktop,257,Hapësira e _punës,258,accerciser,po/sq.po
Description,263,Përshkrimi,264,accerciser,po/sq.po
Extents:,268,Prapashtesa:,269,accerciser,po/sq.po
H_ypertext,272,H_ipertext,273,accerciser,po/sq.po
Hyperlink,281,Ndërlidhje,282,accerciser,po/sq.po
Include defaults,289,Përfshi të paracaktuar,290,accerciser,po/sq.po
Layer,293,Nivel,294,accerciser,po/sq.po
Lo_gin Helper,297,Ndihmues i h_yrjes,298,accerciser,po/sq.po
Locale,301,Gjuha,302,accerciser,po/sq.po
Locale:,305,Gjuha:,306,accerciser,po/sq.po
MDI-Z-order,309,Renditja MDI-Z,310,accerciser,po/sq.po
Maximum value,313,Vlera maksimum,314,accerciser,po/sq.po
Minimum increment,317,Rritja minimum,318,accerciser,po/sq.po
