Enable or disable system networking,22,Омогући или онемогући умрежавање на систему,23,NetworkManager,po/sr.po
System policy prevents enabling or disabling system networking,26,Овлашћења система онемогућавају управљање мрежом на систему,27,NetworkManager,po/sr.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),40,Омогућава успављивање Управника мреже (користи се са Управником потрошње на систему),43,NetworkManager,po/sr.po
System policy prevents putting NetworkManager to sleep or waking it up,48,Овлашћења система онемогућавају успављивање Управника мрежом,49,NetworkManager,po/sr.po
Enable or disable Wi-Fi devices,52,Омогући или онемогући бежичне уређаје,53,NetworkManager,po/sr.po
System policy prevents enabling or disabling Wi-Fi devices,56,Овлашћења система онемогућавају управљање бежичним уређајима,57,NetworkManager,po/sr.po
Enable or disable mobile broadband devices,60,Омогући или онемогући мобилне широкопојасне уређаје,61,NetworkManager,po/sr.po
System policy prevents enabling or disabling mobile broadband devices,64,Овлашћења система онемогућавају управљање мобилним широкопојасним уређајима,65,NetworkManager,po/sr.po
Allow control of network connections,81,Дозволи контролу мрежних веза,82,NetworkManager,po/sr.po
System policy prevents control of network connections,85,Овлашћења система онемогућавају контролу мрежних веза,86,NetworkManager,po/sr.po
Connection sharing via a protected Wi-Fi network,99,Веза се дели преко заштићене бежичне мреже,100,NetworkManager,po/sr.po
System policy prevents sharing connections via a protected Wi-Fi network,103,Овлашћења система не дозвољавају дељење везе преко заштићене бежичне мреже,105,NetworkManager,po/sr.po
Connection sharing via an open Wi-Fi network,109,Веза се дели преко отворене бежичне мреже,110,NetworkManager,po/sr.po
System policy prevents sharing connections via an open Wi-Fi network,113,Овлашћења система не дозвољавају дељење везе преко отворене бежичне мреже,114,NetworkManager,po/sr.po
Modify persistent system hostname,138,Трајно измени име хоста,139,NetworkManager,po/sr.po
System policy prevents modification of the persistent system hostname,142,Овлашћења система не дозвољавају измену хоста,143,NetworkManager,po/sr.po
# Created by NetworkManager\n,491,# Направио NetworkManager\n,492,NetworkManager,po/sr.po
# Merged from %s\n\n,496,# Спојено са %s\n\n,499,NetworkManager,po/sr.po
%s.  Please use --help to see a list of valid options.\n,530,%s.  Покрените са --help за списак доступних опција.\n,531,NetworkManager,po/sr.po
Unknown,1010,Непознато,1011,NetworkManager,po/sr.po
Failed to initialize the crypto engine.,3431,Не могу да покренем програм за шифровање.,3432,NetworkManager,po/sr.po
Failed to decrypt the private key: unexpected padding length.,3459,Не могу да дешифрујем приватни кључ: неочекивана дужина.,3460,NetworkManager,po/sr.po
Failed to decrypt the private key.,3465,Не могу да дешифрујем приватни кључ.,3466,NetworkManager,po/sr.po
Error initializing certificate data: %s,3486,Грешка приликом отварања података о сертификату: %s,3487,NetworkManager,po/sr.po
Couldn't decode certificate: %s,3491,Де могу да дешифрујем сертификат: %s,3492,NetworkManager,po/sr.po
Couldn't initialize PKCS#12 decoder: %s,3496,Не могу да започнем PKCS#12 дешифровање: %s,3497,NetworkManager,po/sr.po
Couldn't decode PKCS#12 file: %s,3501,Не могу да дешифрујем PKCS#12 датотеку: %s,3502,NetworkManager,po/sr.po
Couldn't verify PKCS#12 file: %s,3506,Не могу да проверим PKCS#12 датотеку: %s,3507,NetworkManager,po/sr.po
