Enable or disable system networking,28,கணினி நெட்வொர்க்கிங் வசதியை செயல்படுத்து அல்லது நீக்கு,29,NetworkManager,po/ta.po
System policy prevents enabling or disabling system networking,32,கணினி பிணையத்தை செயல்படுத்துவதை அல்லது நீக்குவதை கணினி பாலிசி தடுக்கிறது,33,NetworkManager,po/ta.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),46,NetworkManager ஐ தூங்க வை அல்லது எழுப்பு (கணினி மின் மேலாண்மையால் மட்டுமே பயன்படுத்தப்படும்),49,NetworkManager,po/ta.po
System policy prevents putting NetworkManager to sleep or waking it up,54,NetworkManagerஐ தூங்கவைப்பது அல்லது எழுப்புவதை கணினி பாலிசி தடுக்கிறது,55,NetworkManager,po/ta.po
Enable or disable Wi-Fi devices,58,Wi-Fi சாதனங்களை செயல்படுத்து அல்லது நீக்கு,59,NetworkManager,po/ta.po
System policy prevents enabling or disabling Wi-Fi devices,62,Wi-Fi சாதனங்களை செயல்படுத்துவதை அல்லது நீக்குவதை கணினி பாலிசி தடுக்கிறது,63,NetworkManager,po/ta.po
Enable or disable mobile broadband devices,66,மொபல் ப்ராட்பேண்ட் சாதனங்களை செயல்படுத்து அல்லது நீக்கு,67,NetworkManager,po/ta.po
System policy prevents enabling or disabling mobile broadband devices,70,மொபைல் ப்ராட்பேண்ட் சாதனங்களை செயல்படுத்துவதை அல்லது நீக்குவதை கணினி பாலிசி தடுக்கிறது,71,NetworkManager,po/ta.po
Enable or disable WiMAX mobile broadband devices,75,WiMAX மொபைல் ப்ராட்பேண்ட் சாதனங்களை செயல்படுத்து அல்லது முடக்கு,76,NetworkManager,po/ta.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,79,WiMAX மொபைல் ப்ராட்பேண்ட் சாதனங்களை செயல்படுத்துவதை அல்லது முடக்குவதை கணினி கொள்கை தடுக்கிறது,81,NetworkManager,po/ta.po
Allow control of network connections,86,பிணைய இணைப்புகளின் கட்டுப்பாட்டை அனுமதி,87,NetworkManager,po/ta.po
System policy prevents control of network connections,90,கணினி பிணைய இணைப்புகளின் கட்டுப்பாட்டை கணினி பாலிசி தடுக்கிறது,91,NetworkManager,po/ta.po
Connection sharing via a protected Wi-Fi network,104,ஒரு பாதுகாக்கப்ப Wi-Fi நெட்வொர்க்கின் வழியாக இணைப்பு பகிரப்படுகிறது,105,NetworkManager,po/ta.po
System policy prevents sharing connections via a protected Wi-Fi network,108,பாதுகாக்கப்பட்ட Wi-Fi நெட்வொர்க்கின் வழியாக இணைப்புகளை பகிருவதை கணினி பாலிசி தடுக்கிறது,110,NetworkManager,po/ta.po
Connection sharing via an open Wi-Fi network,115,ஒரு திறந்த Wi-Fi நெட்வொர்க்கின் வழியாக இணைப்பு பகிரப்படுகிறது,116,NetworkManager,po/ta.po
System policy prevents sharing connections via an open Wi-Fi network,119,திறந்த Wi-Fi நெட்வொர்க்கின் வழியாக இணைப்புகளை பகிருவதை கணினி பாலிசி தடுக்கிறது,120,NetworkManager,po/ta.po
Modify personal network connections,124,தனிப்பட்ட பிணைய இணைப்புகளை மாற்றியமை,125,NetworkManager,po/ta.po
System policy prevents modification of personal network settings,128,தனிப்பட்ட பிணைய அமைவுகளின் மாற்றத்தை கணினி பாலிசி தடுக்கிறது,129,NetworkManager,po/ta.po
Modify network connections for all users,132,எல்லாப் பயனர்களுக்குமான பிணைய இணைப்புகளை மாற்றியமைக்கவும்,133,NetworkManager,po/ta.po
System policy prevents modification of network settings for all users,136,எல்லாப் பயனர்களுக்குமான பிணைய இணைப்புகளின் மாற்றத்தை கணினி பாலிசி தடுக்கிறது,137,NetworkManager,po/ta.po
Modify persistent system hostname,140,நிலையான கணினி புரவலப்பெயரை மாற்றியமை,141,NetworkManager,po/ta.po
System policy prevents modification of the persistent system hostname,144,நிலையான கணினி புரவலபெயர் மாற்றியமைப்பதை கணினி பாலிசி தடுக்கிறது,145,NetworkManager,po/ta.po
ADSL connection,196,ADSL இணைப்பு,197,NetworkManager,po/ta.po
%s Network,201,%s பிணையம்,202,NetworkManager,po/ta.po
"PAN requested, but Bluetooth device does not support NAP",205,"PAN கோரப்பட்டது, ஆனால் Bluetooth சாதனமானது NAP ஐ ஆதரிக்கவில்லை",206,NetworkManager,po/ta.po
"PAN connections cannot specify GSM, CDMA, or serial settings",209,"PAN இணைப்புகள் GSM, CDMA அல்லது தொடர் அமைவுகளைக் குறிப்பிடக்கூடாது",210,NetworkManager,po/ta.po
PAN connection,213,PAN இணைப்பு,214,NetworkManager,po/ta.po
"DUN requested, but Bluetooth device does not support DUN",217,"DUN கோரப்பட்டது, ஆனால் Bluetooth சாதனமானது DUN ஐ ஆதரிக்கவில்லை",218,NetworkManager,po/ta.po
DUN connection must include a GSM or CDMA setting,221,DUN இணைப்பில் GSM அல்லது CDMA அமைவு கட்டாயம் இடம்பெற வேண்டும்,222,NetworkManager,po/ta.po
GSM connection,226,GSM இணைப்பு,227,NetworkManager,po/ta.po
CDMA connection,231,CDMA இணைப்பு,232,NetworkManager,po/ta.po
Unknown/unhandled Bluetooth connection type,235,தெரியாத/கையாளப்படாத Bluetooth இணைப்பு வகை,236,NetworkManager,po/ta.po
connection does not match device,239,இணைப்பும் சாதனமும் பொருந்தவில்லை,240,NetworkManager,po/ta.po
