Enable or disable system networking,25,సిస్టమ్ నెట్వర్కింగ్‌ను చేతనము లేదా అచేతనము చేయుము,26,NetworkManager,po/te.po
System policy prevents enabling or disabling system networking,29,సిస్టమ్ నెట్వర్కింగ్‌ను చేతనము చేయుటకు లేదా అచేతనము చేయుటకు సిస్టమ్ విధానము నిరోధించుచున్నది,30,NetworkManager,po/te.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),43,నెట్వర్కుమేనేజర్‌ను స్లీప్‌నకు లేదా దానిని మెల్కొలుపుటకు వుంచండి (సిస్టమ్ పవర్ నిర్వహణ చేత మాత్రమే వుపయోగించబడాలి),46,NetworkManager,po/te.po
System policy prevents putting NetworkManager to sleep or waking it up,51,నెట్వర్కుమేనేజర్‌ను స్లీప్‌నకు లేదా దానిని మెల్కొలుపుటకు వుంచుటను సిస్టమ్ విధానము నిరోధించుచున్నది,52,NetworkManager,po/te.po
Enable or disable Wi-Fi devices,55,Wi-Fi పరికరములను చేతనము లేదా అచేతనము చేయుము,56,NetworkManager,po/te.po
System policy prevents enabling or disabling Wi-Fi devices,59,Wi-Fi పరికరములను చేతనము చేయుటకు లేదా అచేతనము చేయుటకు సిస్టమ్ విధానము నిరోధించుచున్నది,60,NetworkManager,po/te.po
Enable or disable mobile broadband devices,63,మొబైల్ బ్రాడ్‌బాండ్ పరికరములను చేతనము లేదా అచేతనము చేయుము,64,NetworkManager,po/te.po
System policy prevents enabling or disabling mobile broadband devices,67,మొబైల్ బ్రాడ్‌బాండ్ పరికరములను చేతనముచేయుటకు లేదా అచేతనముచేయుటకు సిస్టమ్ విధానము నిరోధించుచున్నది,68,NetworkManager,po/te.po
Enable or disable WiMAX mobile broadband devices,72,WiMAX మొబైల్ బ్రాడ్‌బాండ్ పరికరాలను చేతనం లేదా అచేతనం చేయి,73,NetworkManager,po/te.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,76,WIMAX మొబైల్ బ్రాడ్‌బాండ్ పరికరాలను చేతనం లేదా అచేతనం చేయుటను వ్యవస్థ విధానం నిరోధిస్తోంది,78,NetworkManager,po/te.po
Allow control of network connections,81,నెట్వర్కు అనుసంధానముల యొక్క నియంత్రణ అనుమతించుము,82,NetworkManager,po/te.po
System policy prevents control of network connections,85,నెట్వర్కు అనుసంధానముల నియంత్రణను సిస్టమ్ విధానము నిరోధించుచున్నది,86,NetworkManager,po/te.po
Connection sharing via a protected Wi-Fi network,99,రక్షిత Wi-Fi నెట్వర్కు ద్వారా అనుసంధానపు భాగస్వామ్యము.,100,NetworkManager,po/te.po
System policy prevents sharing connections via a protected Wi-Fi network,103,రక్షిత Wi-Fi నెట్వర్కు ద్వారా అనుసంధానములను భాగస్వామ్యపరచుట సిస్టమ్ విధానము నిరోధించుచున్నది,105,NetworkManager,po/te.po
Connection sharing via an open Wi-Fi network,108,ఓపెన్ Wi-Fi నెట్వర్కు ద్వారా అనుసంధానపు భాగస్వామ్యము,109,NetworkManager,po/te.po
System policy prevents sharing connections via an open Wi-Fi network,112,ఓపెన్ Wi-Fi నెట్వర్కు ద్వారా అనుసంధానములను భాగస్వామ్యపరచుట సిస్టమ్ విధానము నిరోధించుచున్నది,113,NetworkManager,po/te.po
Modify personal network connections,116,వ్యక్తిగత నెట్వర్కు అనుసంధానాలను సవరించు,117,NetworkManager,po/te.po
System policy prevents modification of personal network settings,120,వ్యక్తిగత నెట్వర్కు అమరికల యొక్క సవరింపును వ్యవస్థ విధానం నిరోధించును,121,NetworkManager,po/te.po
Modify network connections for all users,124,వాడుకరులందరికి నెట్వర్కు అనుసంధానాలను సవరించు,125,NetworkManager,po/te.po
System policy prevents modification of network settings for all users,128,వాడుకరులందరికి నెట్వర్కు అమరికల సవరింపును వ్యవస్థ విధానం నిరోధిస్తోంది,129,NetworkManager,po/te.po
Modify persistent system hostname,132,నిరంతర సిస్టమ్ హోస్టునామము మార్చుము,133,NetworkManager,po/te.po
System policy prevents modification of the persistent system hostname,136,నిరంతర సిస్టమ్ హోస్టునామమును సవరించుటను సిస్టమ్ విధానము నిరోధించుచున్నది,137,NetworkManager,po/te.po
ADSL connection,188,ADSL అనుసంధానం,189,NetworkManager,po/te.po
%s Network,193,%s నెట్వర్కు,194,NetworkManager,po/te.po
PAN connection,205,PAN అనుసంధానం,206,NetworkManager,po/te.po
GSM connection,218,GSM అనుసంధానం,219,NetworkManager,po/te.po
CDMA connection,223,CDMA అనుసంధానం,224,NetworkManager,po/te.po
