Give your application an accessibility workout,27,Ба барномаи шумо санҷиши дастрасиро илова мекунад,28,accerciser,po/tg.po
A list of plugins that are disabled by default,39,Рӯйхати плагинҳои ғайрифаъолшуда ба сурати пешфарз,40,accerciser,po/tg.po
Default window height,87,Баландии равзанаи пешфарз,88,accerciser,po/tg.po
The window height value.,91,Қимати баландии равзанаи пешфарз.,92,accerciser,po/tg.po
Default window width,95,Бари равзанаи пешфарз,96,accerciser,po/tg.po
The window width value.,99,Қимати бари равзанаи пешфарз.,100,accerciser,po/tg.po
Single layout view,119,Намуди тарҳбандии ягона,120,accerciser,po/tg.po
Window height,143,Баландии равзана,144,accerciser,po/tg.po
Window height value.,147,Қимати баландии равзана.,148,accerciser,po/tg.po
Window width,151,Бари равзана,152,accerciser,po/tg.po
Window width value.,155,Қимати бари равзана.,156,accerciser,po/tg.po
API Browser,167,Браузери API,168,accerciser,po/tg.po
Hide private attributes,175,Пинҳон кардани сифатҳои шахсӣ,176,accerciser,po/tg.po
Method,179,Сабк,180,accerciser,po/tg.po
Property,183,Хусусият,184,accerciser,po/tg.po
Value,187,Қимат,188,accerciser,po/tg.po
IPython Console,191,Консоли IPython,192,accerciser,po/tg.po
Event monitor,199,Монитори рӯйдодҳо,200,accerciser,po/tg.po
_Monitor Events,203,_Монитори рӯйдодҳо,204,accerciser,po/tg.po
C_lear Selection,207,По_к кардани интихоб,208,accerciser,po/tg.po
Everything,211,Ҳама чиз,212,accerciser,po/tg.po
Selected application,215,Барномаи интихобшуда,216,accerciser,po/tg.po
Selected accessible,219,Дастрасии интихобшуда,220,accerciser,po/tg.po
Source,223,Манбаъ,224,accerciser,po/tg.po
Event Monitor,227,Монитори рӯйдод,228,accerciser,po/tg.po
Start/stop event recording,239,Оғоз/Истодани сабткунии рӯйдод,240,accerciser,po/tg.po
Clear event log,243,Пок кардани сабти рӯйдодҳо,244,accerciser,po/tg.po
Description,262,Тавсиф,263,accerciser,po/tg.po
Show,270,Намоиш додан,271,accerciser,po/tg.po
Attributes,278,Сифатҳо,279,accerciser,po/tg.po
Acti_on,290,Ам_ал,291,accerciser,po/tg.po
ID,294,Рамзи ID,295,accerciser,po/tg.po
Version,302,Версия,303,accerciser,po/tg.po
Ap_plication,306,Ба_рнома,307,accerciser,po/tg.po
Col_lection,310,Маҷ_мӯъ,311,accerciser,po/tg.po
Relative position,319,Мавқеъи нисбӣ,320,accerciser,po/tg.po
Size,323,Андоза,324,accerciser,po/tg.po
WIDGET,327,ВИҶЕТ,328,accerciser,po/tg.po
Alpha,339,Алфа,340,accerciser,po/tg.po
Absolute position,343,Мавқеъи мутлақ,344,accerciser,po/tg.po
Des_ktop,351,Мизи _корӣ,352,accerciser,po/tg.po
_Document,359,Ҳ_уҷҷат,360,accerciser,po/tg.po
Hyperlink,364,Гиперпайванд,365,accerciser,po/tg.po
Position,372,Ҷойгиршавӣ,373,accerciser,po/tg.po
Locale,376,Маҳаллигардонӣ,377,accerciser,po/tg.po
_Image,380,_Тасвир,381,accerciser,po/tg.po
Lo_gin Helper,384,Ёридиҳандаи ву_руд,385,accerciser,po/tg.po
Select All,388,Интихоб кардани ҳама,389,accerciser,po/tg.po
_Selection,392,_Интихоб,393,accerciser,po/tg.po
St_reamable Content,396,Мӯҳ_тавои ҷараёнӣ,397,accerciser,po/tg.po
Caption:,400,Зернавис:,401,accerciser,po/tg.po
Summary:,404,Хулоса:,405,accerciser,po/tg.po
Selected columns,408,Сутунҳои интихобшуда,409,accerciser,po/tg.po
Selected rows,412,Сатрҳои интихобшуда,413,accerciser,po/tg.po
Columns,416,Сутунҳо,417,accerciser,po/tg.po
Rows,420,Сатрҳо,421,accerciser,po/tg.po
Table Information,424,Лавҳаи иттилоотӣ,425,accerciser,po/tg.po
"name (x,y)",428,"ном (x,y)",429,accerciser,po/tg.po
Header:,432,Сарварақ:,433,accerciser,po/tg.po
Row,445,Сатр,446,accerciser,po/tg.po
Column,449,Сутун,450,accerciser,po/tg.po
Selected Cell,453,Катаки интихобшуда,454,accerciser,po/tg.po
_Table,457,Ҷ_адвал,458,accerciser,po/tg.po
Text,461,Матн,462,accerciser,po/tg.po
Include defaults,469,Илова кардани пешфарзҳо,470,accerciser,po/tg.po
Start: 0,474,Оғоз: 0,475,accerciser,po/tg.po
End: 0,479,Анҷом: 0,480,accerciser,po/tg.po
Te_xt,483,Ма_тн,484,accerciser,po/tg.po
Current value,487,Қимати ҷорӣ,488,accerciser,po/tg.po
Maximum value,495,Қимати ҳадди аксар,496,accerciser,po/tg.po
Minimum value,499,Қимати ҳадди ақал,500,accerciser,po/tg.po
Val_ue,503,Қи_мат,504,accerciser,po/tg.po
unknown,507,номаълум,508,accerciser,po/tg.po
(not implemented),521,(иҷронашуда),522,accerciser,po/tg.po
Name,528,Ном,529,accerciser,po/tg.po
URI,532,Суроғаи URI,533,accerciser,po/tg.po
Start,536,Оғоз кардан,537,accerciser,po/tg.po
End,540,Ба охир,541,accerciser,po/tg.po
(Editable),548,(Таҳриршаванда),549,accerciser,po/tg.po
Start: %d,558,Оғоз: %d,559,accerciser,po/tg.po
End: %d,568,Анҷом: %d,569,accerciser,po/tg.po
Quick Select,572,Интихоби фаврӣ,573,accerciser,po/tg.po
Sche_ma:,588,Нақ_ша:,589,accerciser,po/tg.po
Idle,597,Озод,598,accerciser,po/tg.po
Level,615,Сатҳ,616,accerciser,po/tg.po
Role,620,Нақш,621,accerciser,po/tg.po
Saving,624,Захира шуда истодааст,625,accerciser,po/tg.po
ERROR,636,ХАТОГӢ,637,accerciser,po/tg.po
Basic,652,Содда,653,accerciser,po/tg.po
_Preferences…,750,_Хусусиятҳо…,751,accerciser,po/tg.po
_Contents,754,_Мундариҷа,755,accerciser,po/tg.po
Children,762,Кӯдакон,763,accerciser,po/tg.po
