Unknown,1002,ไม่มีข้อมูล,1003,NetworkManager,po/th.po
none,8968,ไม่มี,8969,NetworkManager,po/th.po
(unknown),12083,(ไม่รู้จัก),12084,NetworkManager,po/th.po
WEP 128-bit Passphrase,12712,WEP 128 บิต แบบวลีรหัสผ่าน,12713,NetworkManager,po/th.po
Open System,12750,ระบบเปิด,12751,NetworkManager,po/th.po
Shared Key,12754,ใช้กุญแจร่วมกัน,12755,NetworkManager,po/th.po
Show password,12817,แสดงรหัสผ่าน,12818,NetworkManager,po/th.po
Accerciser Accessibility Explorer,25,Accerciser: เครื่องมือสำรวจสิ่งอำนวยความสะดวก,26,accerciser,po/th.po
Give your application an accessibility workout,29,ช่วยพัฒนาสิ่งอำนวยความสะดวกในโปรแกรมของคุณ,30,accerciser,po/th.po
A list of plugins that are disabled by default,33,รายการปลั๊กอินที่ปิดโดยปริยาย,34,accerciser,po/th.po
Highlight border color,37,สีของเส้นขอบกล่องเน้น,38,accerciser,po/th.po
Highlight duration,41,ระยะเวลาการเน้น,42,accerciser,po/th.po
Highlight fill color,45,สีเติมกล่องเน้น,46,accerciser,po/th.po
The color and opacity of the highlight border.,49,สีและความทึบแสงของเส้นขอบกล่องเน้น,50,accerciser,po/th.po
The color and opacity of the highlight fill.,53,สีและความทึบแสงสำหรับเติมในกล่องเน้น,54,accerciser,po/th.po
The default plugin layout for the bottom panel,57,การจัดวางปลั๊กอินสำหรับช่องด้านล่าง,58,accerciser,po/th.po
The default plugin layout for the top panel,61,การจัดวางปลั๊กอินสำหรับช่องด้านบน,62,accerciser,po/th.po
The duration of the highlight box when selecting accessible nodes,65,ระยะเวลาของการเน้นด้วยกล่องเมื่อเลือกโหนดที่มีสิ่งอำนวยความสะดวก,66,accerciser,po/th.po
API Browser,69,รายการ API,70,accerciser,po/th.po
Browse the various methods of the current accessible,73,ดูรายการเมธอตด่างๆ ของสิ่งอำนวยความสะดวกปัจจุบัน,74,accerciser,po/th.po
Hide private attributes,77,ซ่อนแอตทริบิวต์ภายใน,78,accerciser,po/th.po
Method,81,เมธอด,82,accerciser,po/th.po
Property,85,คุณสมบัติ,86,accerciser,po/th.po
Value,89,ค่า,90,accerciser,po/th.po
IPython Console,93,คอนโซล IPython,94,accerciser,po/th.po
Interactive console for manipulating currently selected accessible,97,คอนโซลโต้ตอบสำหรับจัดการสิ่งอำนวยความสะดวกที่เลือกอยู่,98,accerciser,po/th.po
<b>Event monitor</b>,101,<b>ติดตามเหตุการณ์</b>,102,accerciser,po/th.po
C_lear Selection,105,_ล้างสิ่งที่เลือก,106,accerciser,po/th.po
Everything,109,ทุกอย่าง,110,accerciser,po/th.po
Selected accessible,113,สิ่งอำนวยความสะดวกที่เลือก,114,accerciser,po/th.po
Selected application,117,โปรแกรมที่เลือก,118,accerciser,po/th.po
Source,121,แหล่ง,122,accerciser,po/th.po
_Monitor Events,125,_ติดตามเหตุการณ์,126,accerciser,po/th.po
Event Monitor,129,ติดตามเหตุการณ์,130,accerciser,po/th.po
Shows events as they occur from selected types and sources,133,แสดงเหตุการณ์ต่างๆ ที่เป็นชนิดและเกิดจากแหล่งที่กำหนด,134,accerciser,po/th.po
Highlight last event entry,137,เน้นรายการเหตุการณ์ล่าสุด,138,accerciser,po/th.po
Start/stop event recording,141,เริ่ม/หยุดบันทึกเหตุการณ์,142,accerciser,po/th.po
Clear event log,145,ล้างบันทึกเหตุการณ์,146,accerciser,po/th.po
<b>Attributes</b>,158,<b>แอตทริบิวต์</b>,159,accerciser,po/th.po
<b>Child count</b>,162,<b>จำนวนรายการลูก</b>,163,accerciser,po/th.po
<b>Description</b>,166,<b>คำบรรยาย</b>,167,accerciser,po/th.po
<b>Relations</b>,170,<b>ความสัมพันธ์</b>,171,accerciser,po/th.po
<b>Selected Cell</b>,174,<b>ช่องที่เลือก</b>,175,accerciser,po/th.po
<b>States</b>,178,<b>สถานะ</b>,179,accerciser,po/th.po
<b>Table Information</b>,182,<b>ข้อมูลตาราง</b>,183,accerciser,po/th.po
<b>Text</b>,186,<b>ข้อความ</b>,187,accerciser,po/th.po
<b>unknown</b>,190,<b>ไม่ทราบ</b>,191,accerciser,po/th.po
<i>(no description)</i>,195,<i>(ไม่มีคำบรรยาย)</i>,196,accerciser,po/th.po
<i>Caption:</i>,199,<i>ชื่อตาราง:</i>,200,accerciser,po/th.po
<i>End: 0</i>,204,<i>จบ: 0</i>,205,accerciser,po/th.po
<i>Start: 0</i>,209,<i>เริ่ม: 0</i>,210,accerciser,po/th.po
<i>Summary:</i>,213,<i>สรุป:</i>,214,accerciser,po/th.po
<no description>,217,<ไม่มีคำบรรยาย>,218,accerciser,po/th.po
Absolute position,221,ตำแหน่งสัมบูรณ์,222,accerciser,po/th.po
Acti_on,225,การกระ_ทำ,226,accerciser,po/th.po
Alpha,229,แอลฟา,230,accerciser,po/th.po
Ap_plication,233,โ_ปรแกรม,234,accerciser,po/th.po
Co_mponent,237,_องค์ประกอบ,238,accerciser,po/th.po
Col_lection,241,_ชุด,242,accerciser,po/th.po
Column,245,คอลัมน์,246,accerciser,po/th.po
Columns,249,จำนวนคอลัมน์,250,accerciser,po/th.po
Current value,253,ค่าปัจจุบัน,254,accerciser,po/th.po
Des_ktop,257,_พื้นโต๊ะ,258,accerciser,po/th.po
Description,263,คำบรรยาย,264,accerciser,po/th.po
Extents:,268,ขอบเขต:,269,accerciser,po/th.po
H_ypertext,272,ไฮเ_พอร์เท็กซ์,273,accerciser,po/th.po
Header:,276,หัวตาราง:,277,accerciser,po/th.po
Hyperlink,281,ไฮเพอร์ลิงก์,282,accerciser,po/th.po
Include defaults,289,แสดงค่าปริยายด้วย,290,accerciser,po/th.po
Layer,293,ชั้น,294,accerciser,po/th.po
Lo_gin Helper,297,เครื่องมือช่วยเ_ข้าระบบ,298,accerciser,po/th.po
Locale,301,ท้องถิ่น,302,accerciser,po/th.po
Locale:,305,ท้องถิ่น:,306,accerciser,po/th.po
Maximum value,313,ค่าสูงสุด,314,accerciser,po/th.po
Minimum increment,317,ขั้นต่ำสุดของการเพิ่มค่า,318,accerciser,po/th.po
Minimum value,321,ค่าต่ำสุด,322,accerciser,po/th.po
Offset,325,ออฟเซ็ต,326,accerciser,po/th.po
Perform action,329,กระทำ,330,accerciser,po/th.po
Position,333,ตำแหน่ง,334,accerciser,po/th.po
Relative position,337,ตำแหน่งสัมพัทธ์,338,accerciser,po/th.po
Row,341,แถว,342,accerciser,po/th.po
Rows,345,จำนวนแถว,346,accerciser,po/th.po
Select All,349,เลือกทั้งหมด,350,accerciser,po/th.po
Selected columns,353,จำนวนคอลัมน์ที่เลือก,354,accerciser,po/th.po
Selected rows,357,จำนวนแถวที่เลือก,358,accerciser,po/th.po
Show,361,แสดง,362,accerciser,po/th.po
Size,365,ขนาด,366,accerciser,po/th.po
St_reamable Content,369,เนื้อหาที่ทำสตรีมได้,370,accerciser,po/th.po
Te_xt,373,ข้อ_ความ,374,accerciser,po/th.po
Toolkit,377,ทูลคิต,378,accerciser,po/th.po
Val_ue,381,ค่_า,382,accerciser,po/th.po
Version,385,รุ่น,386,accerciser,po/th.po
WIDGET,389,วิดเจ็ต,390,accerciser,po/th.po
_Accessible,393,_สิ่งอำนวยความสะดวก,394,accerciser,po/th.po
_Document,397,เ_อกสาร,398,accerciser,po/th.po
_Image,401,_ภาพ,402,accerciser,po/th.po
_Selection,405,สิ่งที่เ_ลือก,406,accerciser,po/th.po
_Table,409,_ตาราง,410,accerciser,po/th.po
"name (x,y)",413,"ชื่อ (x,y)",414,accerciser,po/th.po
Interface Viewer,418,แสดงส่วนติดต่อ,419,accerciser,po/th.po
Allows viewing of various interface properties,423,แสดงคุณสมบัติต่างๆ ของส่วนติดต่อผู้ใช้,424,accerciser,po/th.po
(not implemented),428,(ยังไม่ทำ),429,accerciser,po/th.po
Name,435,ชื่อ,436,accerciser,po/th.po
Start,443,เริ่ม,444,accerciser,po/th.po
End,447,จบ,448,accerciser,po/th.po
Too many selectable children,451,มีรายการลูกที่เลือกได้มากเกินไป,452,accerciser,po/th.po
<i>(Editable)</i>,455,<i>(แก้ไขได้)</i>,456,accerciser,po/th.po
Quick Select,459,เลือกอย่างเร็ว,460,accerciser,po/th.po
Plugin with various methods of selecting accessibles quickly.,463,ปลั๊กอินที่มีวิธีต่างๆ ในการเลือกสิ่งอำนวยความสะดวกอย่างเร็ว,464,accerciser,po/th.po
Inspect last focused accessible,467,เลือกสิ่งอำนวยความสะดวกสุดท้ายที่ได้รับโฟกัส,468,accerciser,po/th.po
Inspect accessible under mouse,471,เฝ้ามองสิ่งอำนวยความสะดวกที่อยู่ใต้เมาส์,472,accerciser,po/th.po
Idle,476,ไม่มีกิจกรรม,477,accerciser,po/th.po
Sche_ma:,480,_การตรวจ:,481,accerciser,po/th.po
V_alidate,484,_ตรวจสอบ,485,accerciser,po/th.po
No description,488,ไม่มีคำบรรยาย,489,accerciser,po/th.po
AT-SPI Validator,492,เครื่องมือตรวจสอบ AT-SPI,493,accerciser,po/th.po
Validates application accessibility,496,ตรวจสอบสิ่งอำนวยความสะดวกในโปรแกรม,497,accerciser,po/th.po
Level,502,ระดับ,503,accerciser,po/th.po
Role,507,บทบาท,508,accerciser,po/th.po
Saving,511,กำลังบันทึก,512,accerciser,po/th.po
Validating,515,กำลังตรวจสอบ,516,accerciser,po/th.po
Basic,539,พื้นฐาน,540,accerciser,po/th.po
Tests fundamental GUI application accessibility,543,ทดสอบสิ่งอำนวยความสะดวกเกี่ยวกับ GUI พื้นฐานในโปรแกรม,544,accerciser,po/th.po
actionable %s is not focusable or selectable,548,อุปกรณ์สำหรับกระทำการ %s ไม่สามารถโฟกัสหรือเลือกได้,549,accerciser,po/th.po
interactive %s is not actionable,553,อุปกรณ์โต้ตอบ %s ไม่สามารถกระทำการได้,554,accerciser,po/th.po
more than one focused widget,557,มีวิดเจ็ตที่ได้รับโฟกัสมากกว่าหนึ่งตัว,558,accerciser,po/th.po
%s has no text interface,562,%s ไม่มีส่วนติดต่อแบบข้อความ,563,accerciser,po/th.po
%s index in parent does not match child index,570,หมายเลขของ %s ในวิดเจ็ตแม่ ไม่ตรงกับหมายเลขที่วิดเจ็ตลูกอ้าง,571,accerciser,po/th.po
Missing reciprocal for %s relation,575,ไม่มีการชี้กลับสำหรับความสัมพันธ์ %s,576,accerciser,po/th.po
%s missing name or label,583,%s ไม่มีชื่อหรือป้ายชื่อ,584,accerciser,po/th.po
"focusable %s has a table interface, but not a selection interface",588,สิ่งมีโฟกัส %s มีส่วนติดต่อแบบตาราง แต่ไม่มีส่วนติดต่อสำหรับเลือก,589,accerciser,po/th.po
%s has %s state without %s state,597,%s มีสถานะ %s โดยไม่มีสถานะ %s,598,accerciser,po/th.po
%s does not belong to a set,605,%s ไม่อยู่ในกลุ่ม,606,accerciser,po/th.po
%(rolename)s index %(num)d does not match row and column,615,%(rolename)s หมายเลข %(num)d มีหมายเลขแถวและคอลัมน์ไม่ตรงกับของตาราง,616,accerciser,po/th.po
%(rolename)s parent index %(num1)d does not match row and column index %(num2)d,626,%(rolename)s มีหมายเลขในวิดเจ็ตแม่ %(num1)d ไม่ตรงกับหมายเลข %(num2)d ที่อ่านตามแถวและคอลัมน์,629,accerciser,po/th.po
%s has no name or description,635,%s ไม่มีชื่อหรือคำบรรยาย,636,accerciser,po/th.po
_Preferences…,639,_ปรับแต่ง…,640,accerciser,po/th.po
_Contents,643,เนื้อ_หา,644,accerciser,po/th.po
