Image Viewer,23,Resim Namaýyşçysy,24,eog,po/tk.po
View many different types of images,27,Kop aýry resim hillerni görkez,28,eog,po/tk.po
<b>Image Zoom</b>,55,<b>Resim Ulaldylşy</b>,56,eog,po/tk.po
<b>Transparent Parts</b>,67,<b>Durja Bölekler</b>,68,eog,po/tk.po
Color for Transparent Areas,88,Durja meýdançalar üçin renk,89,eog,po/tk.po
Eye of Gnome Preferences,97,Gnome Gäzlerniň Seçenekleri,98,eog,po/tk.po
Image _View,106,Resim _Görnöşi,107,eog,po/tk.po
seconds,157,sanyýa,158,eog,po/tk.po
Open images in a new window,203,Resimi täze äpişgede aç,204,eog,po/tk.po
Show/hide the window statusbar.,207,Äpişgäniň durum zolakyny görkez/ýygşyr,208,eog,po/tk.po
Show/hide the window toolbar.,211,Äpişgäniň esbap zolakyny görkez/ýygşyr,212,eog,po/tk.po
Transparency color,215,Durjalyk renki,216,eog,po/tk.po
All Files,240,Ehli Faýllar,241,eog,po/tk.po
All Images,244,Ehli Resimler,245,eog,po/tk.po
%s x %s pixel,256,%s x %s piksel,257,eog,po/tk.po
Load Image,260,Resimi Ýükle,261,eog,po/tk.po
Save Image,264,Resimi Gaýd Et,265,eog,po/tk.po
Open Folder,268,Haltany Aç,269,eog,po/tk.po
Couldn't create temporary file for saving: %s,273,Wagtlaýyn faýl gaýd etmek üçin bejerlip bilmedi: %s,274,eog,po/tk.po
empty file,281,puç faýl,282,eog,po/tk.po
File exists,285,Faýl bar,286,eog,po/tk.po
No image loaded.,289,Hiç resim ýüklenmedi,290,eog,po/tk.po
Value,324,Mykdar,325,eog,po/tk.po
Filename,329,Faýl Ady,330,eog,po/tk.po
Width,333,Giňlik,334,eog,po/tk.po
Height,337,Boý,338,eog,po/tk.po
Filesize,341,Faýl Ululyky,342,eog,po/tk.po
Eye of Gnome,442,Gnome Gözleri,443,eog,po/tk.po
Could not display help for Eye of Gnome.\n%s,451,Gnome Gözleri üçin ýardamy görkez.\n%s,454,eog,po/tk.po
%i x %i pixel  %s    %i%%,518,%i x %i piksel  %s    %i%%,519,eog,po/tk.po
_File,522,_Faýl,523,eog,po/tk.po
_View,530,_Görnöş,531,eog,po/tk.po
_Help,534,_Ýardam,535,eog,po/tk.po
_New,538,_Täze,539,eog,po/tk.po
Open a new window,542,Bir täze äpişgäni aç,543,eog,po/tk.po
_Open...,546,_Aç...,547,eog,po/tk.po
Open a file,550,Bir faýly aç,551,eog,po/tk.po
Open a directory,559,Bir haltany aç,560,eog,po/tk.po
_Close,563,_Ýap,564,eog,po/tk.po
Close window,567,Äpişgäni ýap,568,eog,po/tk.po
Prefere_nces,571,_Seçenekler,572,eog,po/tk.po
Preferences for Eye of Gnome,575,Gnome gözlerniň seçenekleri,576,eog,po/tk.po
_Contents,579,_Mazmunlar,580,eog,po/tk.po
_About,587,_Barada,588,eog,po/tk.po
About this application,591,Bu program barada,592,eog,po/tk.po
_Toolbar,595,_Esbap Zolaky,596,eog,po/tk.po
_Statusbar,599,_Durum Zolaky,600,eog,po/tk.po
_Save,603,_Gaýd Et,604,eog,po/tk.po
_Undo,612,_Izine Al,613,eog,po/tk.po
Flip _Horizontal,616,Keseleýyn Düňder,617,eog,po/tk.po
Flip _Vertical,620,Dikleýin Düňnder,621,eog,po/tk.po
_Zoom In,647,_Kiçelt,648,eog,po/tk.po
Zoom _Out,651,_Ulalt,652,eog,po/tk.po
_Normal Size,655,_Kadaly Ululyk,656,eog,po/tk.po
Best _Fit,659,_Iň gowy sigiş,660,eog,po/tk.po
Collection,678,Ýygym,679,eog,po/tk.po
Could not open `%s',690,`%s' açilip bilmedi,691,eog,po/tk.po
Epiphany automation,22,Epiphany otomasýony,23,epiphany,po/tk.po
Browse and organize your bookmarks,26,Nişanlariňizi ahtariň we çäklendiriň,27,epiphany,po/tk.po
Epiphany Web Bookmarks,30,Epiphany WEB Nyşanlary,31,epiphany,po/tk.po
Web Bookmarks,34,Web nişanlary,35,epiphany,po/tk.po
Disable Bookmark Editing,52,Nişanlary Editlmegini Söndür,53,epiphany,po/tk.po
Disable History,56,Geçmişi Söndür,57,epiphany,po/tk.po
Disable Toolbar Editing,68,Esbap Zolaky Editlemegini Söndür,69,epiphany,po/tk.po
Disable the user's ability to edit their bookmarks.,78,Ullançylaryň oz nyşanlary editlek başaryşlaryny söndir.,79,epiphany,po/tk.po
Disable the user's ability to edit toolbars.,82,Ullançylaryň esbap zolaklary editlek başaryşlaryny söndir.,83,epiphany,po/tk.po
Disable the user's ability to type in a URL to epiphany.,86,Ullançylaryň epiphanyda URL ýazmak başaryşlaryny söndir.,87,epiphany,po/tk.po
Hide menubar by default,100,Menübari öň bellençe ýigşir,101,epiphany,po/tk.po
Hide the menubar by default.,104,Menübari öň bellençe ýigşir,105,epiphany,po/tk.po
Browse the web,108,Webi Ahtar,109,epiphany,po/tk.po
Epiphany Web Browser,112,Epiphany Web Ahtarçisi,113,epiphany,po/tk.po
Web Browser,116,Web Ahtarçysy,117,epiphany,po/tk.po
Address of the user's home page.,120,Ullançynyň öý sahypasy.,121,epiphany,po/tk.po
Always show the tab bar,133,Hemişe täb zolakyny görkez,134,epiphany,po/tk.po
Automatic downloads,137,Otomatik duşurmekler,138,epiphany,po/tk.po
Cookie accept,149,Kökeleri kabul et,150,epiphany,po/tk.po
Default encoding,153,Öň bellenen ködleme,154,epiphany,po/tk.po
