Usage: nmcli agent { COMMAND | help }\n\nCOMMAND := { secret | polkit | all }\n\n,29,Kullanım: nmcli agent { KOMUT | help }\n\nKOMUT := { sır | polkit | tümü }\n\n,34,NetworkManager,po/tr.po
Usage: nmcli agent secret { help }\n\nRuns nmcli as NetworkManager secret agent. When NetworkManager requires\na password it asks registered agents for it. This command keeps nmcli running\nand if a password is required asks the user for it.\n\n,42,Kullanım: nmcli agent secret { help }\n\nnmcli'yi NetworkManager gizli ajanı olarak çalıştırır. NetworkManager parola sorduğunda\nbunu kayıtlı ajana sorar. Bu komut nmcli'yi çalışır halde tutar\nve bir parola sorulduğunda bunu kullanıcıya iletir.\n\n,50,NetworkManager,po/tr.po
"Usage: nmcli agent polkit { help }\n\nRegisters nmcli as a polkit action for the user session.\nWhen a polkit daemon requires an authorization, nmcli asks the user and gives\nthe response back to polkit.\n\n",61,Kullanım: nmcli agent polkit { help }\n\nKullanıcı oturumu için nmcli'yi bir polkit aracı olarak kaydeder.\nPolkit sürecinin kimlik doğrulamaya ihtiyacı olduğunda nmcli bunu kullanıcıya\nsorar ver aldığı cevabı polkit'e iletir.\n\n,69,NetworkManager,po/tr.po
Usage: nmcli agent all { help }\n\nRuns nmcli as both NetworkManager secret and a polkit agent.\n\n,80,Kullanım: nmcli agent all { help }\n\nnmcli hem NetworkManager sırrı hem de bir polkit aaracı olarak çalıştırılır.\n\n,85,NetworkManager,po/tr.po
nmcli successfully registered as a NetworkManager's secret agent.\n,94,nmcli başarıyla NetworkManager'ın sır aracı olarak kaydettirildi.\n,95,NetworkManager,po/tr.po
Error: secret agent initialization failed,99,Hata: sır aracı başlatılamadı,100,NetworkManager,po/tr.po
Error: polkit agent initialization failed: %s,104,Hata: polkit aracı başlatılamadı: %s,105,NetworkManager,po/tr.po
nmcli successfully registered as a polkit agent.\n,109,nmcli başarıyla bir polkit aracı olarak kaydettirildi.\n,110,NetworkManager,po/tr.po
GROUP,115,GRUP,116,NetworkManager,po/tr.po
Warning: password for '%s' not given in 'passwd-file' and nmcli cannot ask without '--ask' option.\n,135,Uyarı: '%s' kullanıcısı için parola 'passwd-doyasında' verilmemiş ve nmcli '--ask' seçeneği olmadan parola soramaz.\n,138,NetworkManager,po/tr.po
Error: Could not create NMClient object: %s.,144,Hata: NMClient nesnesi oluşturulamadı: %s.,145,NetworkManager,po/tr.po
Error: NetworkManager is not running.,148,Hata: Ağ Yöneticisi çalışmıyor.,149,NetworkManager,po/tr.po
unknown,176,bilinmeyen,177,NetworkManager,po/tr.po
none,180,yok,181,NetworkManager,po/tr.po
portal,184,kapı,185,NetworkManager,po/tr.po
limited,188,sınırlı,189,NetworkManager,po/tr.po
full,192,tam,193,NetworkManager,po/tr.po
Setting name? ,197,İsim ayarlansın mı? ,198,NetworkManager,po/tr.po
Property name? ,201,Özellik ismi? ,202,NetworkManager,po/tr.po
Enter connection type: ,205,Bağlantı türünü girin: ,206,NetworkManager,po/tr.po
activating,230,etkinleştiriliyor,231,NetworkManager,po/tr.po
activated,234,etkinleştirildi,235,NetworkManager,po/tr.po
deactivating,238,etkisizleştiriliyor,239,NetworkManager,po/tr.po
