Give your application an accessibility workout,25,پروگراممىغا ياردەمچى ئىقتىدار قوشۇش,26,accerciser,po/ug.po
accessibility;development;test;,29,accessibility;development;test;ياردەمچى ئىقتىدار;ئىجادىيەت;سىناق;,30,accerciser,po/ug.po
Accerciser Accessibility Explorer,33,Accerciser ياردەمچى ئىقتىدارىنى قىدىرىپ كۆرگۈچ,34,accerciser,po/ug.po
A list of plugins that are disabled by default,37,چەكلىنىدىغان قىستۇرمىلارنىڭ تىزمىسى,38,accerciser,po/ug.po
A list of plugins that are disabled by default.,41,كۆڭۈلدە چەكلىنىدىغان قىستۇرمىلارنىڭ تىزمىسى.,42,accerciser,po/ug.po
Highlight duration,45,يورۇتۇش ۋاقتى,46,accerciser,po/ug.po
The duration of the highlight box when selecting accessible nodes.,49,زىيارەتچان ئوبيېكتنى تاللىغاندا يورۇتۇلغان رامكىنىڭ داۋاملىشىش ۋاقتى.,50,accerciser,po/ug.po
Highlight fill color,53,يورۇتۇشتا تولدۇرىدىغان رەڭ,54,accerciser,po/ug.po
The color and opacity of the highlight fill.,57,يورۇتۇلمىنىڭ رەڭگى ۋە تۇتۇقلۇقى,58,accerciser,po/ug.po
Highlight border color,61,يورۇتۇلمىنىڭ گىرۋەك رەڭگى,62,accerciser,po/ug.po
The color and opacity of the highlight border.,65,يورۇتۇلمىنىڭ گىرۋىكىنىڭ رەڭگى ۋە تۇتۇقلۇقى,66,accerciser,po/ug.po
Horizontal split,69,توغرا يۆنىلىشتە بۆلۈش,70,accerciser,po/ug.po
Position of the horizontal split of the main window.,73,ئاساسىي كۆزنەكنىڭ توغرا يۆنىلىشتە بۆلۈنگەن ئورنى.,74,accerciser,po/ug.po
Vertical split,77,تىك يۆنىلىشتە بۆلۈش,78,accerciser,po/ug.po
Position of the vertical split of the main window.,81,ئاساسىي كۆزنەكنىڭ تىك يۆنىلىشتە بۆلۈنگەن ئورنى.,82,accerciser,po/ug.po
Default window height,85,كۆڭۈلدىكى كۆزنەك ئېگىزلىكى,86,accerciser,po/ug.po
The window height value.,89,كۆزنەكنىڭ ئېگىزلىكىنىڭ قىممىتى.,90,accerciser,po/ug.po
Default window width,93,كۆڭۈلدىكى كۆزنەك كەڭلىكى,94,accerciser,po/ug.po
The window width value.,97,كۆزنەكنىڭ كەڭلىكىنىڭ قىممىتى.,98,accerciser,po/ug.po
The layout for the bottom panel,101,ئاستى كۆزنەكچىنىڭ ئورۇنلاشتۇرۇلۇشى,102,accerciser,po/ug.po
