Show “_%s”,31,“_%s” koʻrsatilsin,32,eog,po/uz.po
_Move on Toolbar,35,Asboblar paneliga _koʻchirish,36,eog,po/uz.po
Move the selected item on the toolbar,39,Asboblar panelidagi tanlangan elementni koʻchirish,40,eog,po/uz.po
_Remove from Toolbar,43,Asboblar panelidan _olib tashlash,44,eog,po/uz.po
Remove the selected item from the toolbar,47,Asboblar panelidagi tanlangan elementni olib tashlash,48,eog,po/uz.po
_Delete Toolbar,51,Asboblar panelini _olib tashlash,52,eog,po/uz.po
Remove the selected toolbar,55,Tanlangan asboblar panelini olib tashlash,56,eog,po/uz.po
Separator,59,Ajratuvchi,60,eog,po/uz.po
Running in fullscreen mode,63,Butun ekranga usulida boshlash,64,eog,po/uz.po
Activate fullscreen mode with double-click,67,Ikki marta chertish bilan butun ekranga usulini aktivlashtirish,68,eog,po/uz.po
Fullscreen with double-click,71,Ikki marta chertish bilan butun ekranga,72,eog,po/uz.po
Reload Image,76,Rasmni qayta yuklash,77,eog,po/uz.po
Reload current image,81,Joriy rasmni qayta yuklash,82,eog,po/uz.po
Date in statusbar,85,Sana holat panelida,86,eog,po/uz.po
Shows the image date in the window statusbar,89,Oyna holat panelida rasm sanasini koʻrsatish,90,eog,po/uz.po
Browse and rotate images,93,Rasmni koʻrish va burish,94,eog,po/uz.po
Image Viewer,97,Rasm koʻruvchi,98,eog,po/uz.po
<b>Aperture Value:</b>,101,<b>Apertura qiymati:</b>,102,eog,po/uz.po
<b>Author:</b>,105,<b>Muallif:</b>,106,eog,po/uz.po
<b>Bytes:</b>,109,<b>Bayt:</b>,110,eog,po/uz.po
<b>Camera Model:</b>,113,<b>Kamera rusumi:</b>,114,eog,po/uz.po
<b>Copyright:</b>,117,<b>Mualliflik huquqi:</b>,118,eog,po/uz.po
<b>Date/Time:</b>,121,<b>Sana/Vaqt:</b>,122,eog,po/uz.po
<b>Description:</b>,125,<b>Taʼrifi:</b>,126,eog,po/uz.po
<b>Details</b>,129,<b>Tafsilotlar</b>,130,eog,po/uz.po
<b>Focal Length:</b>,141,<b>Fokus masofasi:</b>,142,eog,po/uz.po
<b>Height:</b>,145,<b>Balandlik:</b>,146,eog,po/uz.po
<b>Keywords:</b>,153,<b>Kalit soʻzlar:</b>,154,eog,po/uz.po
<b>Location:</b>,157,<b>Manzili:</b>,158,eog,po/uz.po
<b>Metering Mode:</b>,161,<b>Oʻlchash usuli:</b>,162,eog,po/uz.po
<b>Name:</b>,165,<b>Nomi:</b>,166,eog,po/uz.po
<b>Type:</b>,169,<b>Turi:</b>,170,eog,po/uz.po
<b>Width:</b>,173,<b>Kengligi:</b>,174,eog,po/uz.po
General,177,Umumiy,178,eog,po/uz.po
Image Properties,181,Rasm xossalari,182,eog,po/uz.po
_Next,189,_Keyingi,190,eog,po/uz.po
_Previous,193,_Oldingi,194,eog,po/uz.po
<b>File Name Preview</b>,197,<b>Fayl nomini oldindan koʻrish</b>,198,eog,po/uz.po
<b>File Path Specifications</b>,201,<b>Fayl yoʻli tasnifi</b>,202,eog,po/uz.po
<b>Options</b>,205,<b>Parametrlar</b>,206,eog,po/uz.po
<small><i><b>%f:</b> original filename</i></small>,210,<small><i><b>%f:</b> asl fayl nomi</i></small>,211,eog,po/uz.po
<small><i><b>%n:</b> counter</i></small>,215,<small><i><b>%n:</b> hisoblagich</i></small>,216,eog,po/uz.po
Choose a folder,219,Jildni tanlash,220,eog,po/uz.po
Destination folder:,223,Moʻljal jild,224,eog,po/uz.po
Filename format:,227,Fayl nomi formati:,228,eog,po/uz.po
Save As,239,Quyidagicha saqlash,240,eog,po/uz.po
Start counter at:,243,Hisoblagichning boshlangʻich qiymati:,244,eog,po/uz.po
<b>Image Enhancements</b>,251,<b>Rasmni yaxshilash</b>,252,eog,po/uz.po
<b>Image Zoom</b>,255,<b>Rasmni yaqinlashtirish</b>,256,eog,po/uz.po
<b>Sequence</b>,259,<b>Ketma-ketlik</b>,260,eog,po/uz.po
<b>Transparent Parts</b>,263,<b>Shaffof qismlar</b>,264,eog,po/uz.po
As _background,267,_Orqa fon sifatida,268,eog,po/uz.po
As custom c_olor:,275,Boshqa r_ang sifatida:,276,eog,po/uz.po
Color for Transparent Areas,279,Shaffof hududlar uchun rang,280,eog,po/uz.po
E_xpand images to fit screen,283,Rasmlarni ekranga _moslash,284,eog,po/uz.po
Eye of GNOME Preferences,287,«GNOME'ning koʻzi» dasturi parametrlari,288,eog,po/uz.po
Image View,291,Rasmni koʻrish,292,eog,po/uz.po
Plugins,295,Plaginlar,296,eog,po/uz.po
Slideshow,299,Slayd-shou,300,eog,po/uz.po
Smooth images when _zoomed,303,_Kattalashtirilganda rasmlarni tekislash,304,eog,po/uz.po
_Automatic orientation,307,_Avtomatik orientir olish,308,eog,po/uz.po
seconds,319,soniya,320,eog,po/uz.po
Active plugins,327,Plaginlarni aktivlashtirish,328,eog,po/uz.po
Allow zoom greater than 100% initially,332,100% dan ortiq kattalashtirishga ruxsat berish,333,eog,po/uz.po
Automatic orientation,336,Avtomatik orientir olish,337,eog,po/uz.po
Delay in seconds until showing the next image,340,Keyingi rasmni koʻrsatish orasidagi kechikish,341,eog,po/uz.po
