PEM key file had no end tag '%s'.,8396,Tập tin khoá PEM không có thẻ đuôi « %s ».,8397,NetworkManager,po/vi.po
Malformed PEM file: Proc-Type was not first tag.,8401,Tập tin PEM dạng sai: Proc-Type không phải thẻ đầu tiên.,8402,NetworkManager,po/vi.po
Malformed PEM file: unknown Proc-Type tag '%s'.,8406,Tập tin PEM dạng sai: thẻ Proc-Type không rõ « %s ».,8407,NetworkManager,po/vi.po
Malformed PEM file: DEK-Info was not the second tag.,8411,Tập tin PEM dạng sai: DEK-info không phải thẻ thứ hai.,8412,NetworkManager,po/vi.po
Malformed PEM file: no IV found in DEK-Info tag.,8416,Tập tin PEM dạng sai: không tìm thấy IV trong thẻ DEK-info.,8417,NetworkManager,po/vi.po
Malformed PEM file: invalid format of IV in DEK-Info tag.,8421,Tập tin PEM dạng sai: IV định dạng sai trong thẻ DEK-info.,8422,NetworkManager,po/vi.po
Malformed PEM file: unknown private key cipher '%s'.,8426,Tập tin PEM dạng sai: không rõ mật mã khoá riêng « %s ».,8427,NetworkManager,po/vi.po
Could not decode private key.,8431,Không thể giải mã khoá riêng.,8432,NetworkManager,po/vi.po
IV must be an even number of bytes in length.,8450,IV phải có chiều dài là một số byte dương.,8451,NetworkManager,po/vi.po
IV contains non-hexadecimal digits.,8455,IV chứa chữ số khác thập phân.,8456,NetworkManager,po/vi.po
Failed to decode certificate.,8485,Lỗi giải mã chứng nhận.,8486,NetworkManager,po/vi.po
Error initializing certificate data: %s,8555,Gặp lỗi khi sơ khởi dữ liệu chứng nhận: %s,8556,NetworkManager,po/vi.po
Couldn't decode certificate: %s,8560,Không thể giải mã chứng nhận: %s,8561,NetworkManager,po/vi.po
Failed to initialize the decryption cipher slot.,8595,Lỗi sơ khởi khoảng trống mật mã giải mã.,8596,NetworkManager,po/vi.po
Failed to set symmetric key for decryption.,8600,Lỗi đặt khoá đối xứng để giải mã.,8601,NetworkManager,po/vi.po
Failed to set IV for decryption.,8605,Lỗi đặt IV để giải mã.,8606,NetworkManager,po/vi.po
Failed to initialize the decryption context.,8610,Lỗi sơ khởi ngữ cảnh giải mã.,8611,NetworkManager,po/vi.po
Failed to decrypt the private key: %d.,8615,Lỗi giải mã khoá riêng: %d.,8616,NetworkManager,po/vi.po
Failed to finalize decryption of the private key: %d.,8625,Lỗi làm xong tiến trình giải mã khoá riêng: %d.,8626,NetworkManager,po/vi.po
Couldn't decode certificate: %d,8660,Không thể giải mã chứng nhận: %d,8661,NetworkManager,po/vi.po
Accerciser Accessibility Explorer,21,Bộ Thám hiểm Khả năng Truy cập Accerciser,22,accerciser,po/vi.po
Give your application an accessibility workout,25,Thử ra khả năng truy cập của ứng dụng,26,accerciser,po/vi.po
A list of plugins that are disabled by default,29,Danh sách các bổ sung bị tắt theo mặc định,30,accerciser,po/vi.po
Highlight border color,33,Màu viền tô sáng,34,accerciser,po/vi.po
Highlight duration,37,Khoảng thời gian tô sáng,38,accerciser,po/vi.po
Highlight fill color,41,Màu điền vùng tô sáng,42,accerciser,po/vi.po
The color and opacity of the highlight border.,45,Màu và độ mờ đục của viền tô sáng.,46,accerciser,po/vi.po
The color and opacity of the highlight fill.,49,Màu và độ mờ đục của vùng điền tô sáng.,50,accerciser,po/vi.po
The default plugin layout for the bottom panel,53,Bố trí bổ sung mặc định cho Bảng bên dưới,54,accerciser,po/vi.po
The default plugin layout for the top panel,57,Bố trí bổ sung mặc định cho Bảng bên trên,58,accerciser,po/vi.po
The duration of the highlight box when selecting accessible nodes,61,Khoảng thời gian trong đó hộp tô sáng còn lại trên màn hình khi chọn nút có thể truy cập được,62,accerciser,po/vi.po
API Browser,65,Bộ duyệt API,66,accerciser,po/vi.po
Browse the various methods of the current accessible,69,Duyệt qua các phương pháp khác nhau của điều truy cập hiện thời,70,accerciser,po/vi.po
Hide private attributes,73,Ẩn thuộc tính riêng,74,accerciser,po/vi.po
Method,77,Phương pháp,78,accerciser,po/vi.po
Property,81,Thuộc tính,82,accerciser,po/vi.po
Value,85,Giá trị,86,accerciser,po/vi.po
IPython Console,89,Bàn giao tiếp IPython,90,accerciser,po/vi.po
Interactive console for manipulating currently selected accessible,93,Bàn giao tiếp tương tác để thao tác điều truy cập được chọn hiện thời,94,accerciser,po/vi.po
<b>Event monitor</b>,97,<b>Bộ theo dõi sự kiện</b>,98,accerciser,po/vi.po
