_Edit,176,_Candjî,177,baobab,po/wa.po
_Help,184,_Aidance,185,baobab,po/wa.po
_Server:,410,_Sierveu:,411,baobab,po/wa.po
_Port:,423,_Pôrt:,424,baobab,po/wa.po
Folder,470,Ridant,471,baobab,po/wa.po
Size,479,Grandeu,480,baobab,po/wa.po
Image Viewer,20,Håyneu d' imådjes,21,eog,po/wa.po
View different types of images,24,Vey sacwantès diferinnès sôres d' imådjes,25,eog,po/wa.po
<b>File Name Preview</b>,28,<b>Prévoeyaedje do no d' fitchî</b>,29,eog,po/wa.po
<b>File Path Specifications</b>,32,<b>Sipecifiaedjes do tchmin</b>,33,eog,po/wa.po
<b>Image Interpolation</b>,36,<b>Eterpolåcion di l' imådje</b>,37,eog,po/wa.po
<b>Image Zoom</b>,40,<b>Zoumaedje di l' imådje</b>,41,eog,po/wa.po
<b>Options</b>,44,<b>Tchuzes</b>,45,eog,po/wa.po
<b>Sequence</b>,48,<b>Secwince</b>,49,eog,po/wa.po
<b>Transparent Parts</b>,52,<b>bokets transparins</b>,53,eog,po/wa.po
Allow _zoom greater than 100% initially,57,Permete on _zoumaedje di pus di 100% a l' atake,58,eog,po/wa.po
As _background,61,Come li _fond,62,eog,po/wa.po
As check _pattern,65,Come on motif e c_wåreas,66,eog,po/wa.po
As custom c_olor:,69,Come ene coleur da _vosse:,70,eog,po/wa.po
Color for Transparent Areas,73,Coleur po les bokets k' on voet houte,74,eog,po/wa.po
Destination Folder:,77,Ridant d' destinåcion:,78,eog,po/wa.po
Eye of GNOME Preferences,81,Preferinces di Eye of Gnome,82,eog,po/wa.po
Filename Format:,85,Cogne do no d' fitchî:,86,eog,po/wa.po
Image View,89,Vuwe d' imådje,90,eog,po/wa.po
Interpolate image on _zoom,93,Eterpoler l' imådje pol _zoumaedje,94,eog,po/wa.po
Rename From:,97,Rilomer a pårti di:,98,eog,po/wa.po
Replace spaces by underscore,101,Replaecî les espåces avou des sorlignîs,102,eog,po/wa.po
Save As,105,Schaper et rlomer,106,eog,po/wa.po
Saving Image,109,Schapant l' imådje,110,eog,po/wa.po
Slide Show,113,Môde diyas,114,eog,po/wa.po
Start counter at:,117,Enonder l' conteu a:,118,eog,po/wa.po
To:,121,A:,122,eog,po/wa.po
_Browse,125,_Foyter,126,eog,po/wa.po
_Loop sequence,129,Secwince e _blouke,130,eog,po/wa.po
_Switch image after:,133,_Candjî d' imådje après:,134,eog,po/wa.po
seconds,137,segondes,138,eog,po/wa.po
