_Contents,165,_Iziqulatho,166,baobab,po/xh.po
_Edit,169,_Hlela,170,baobab,po/xh.po
_Help,177,_Uncedo,178,baobab,po/xh.po
_View,185,_Bona,186,baobab,po/xh.po
_Server:,403,I_seva:,404,baobab,po/xh.po
_Port:,415,_Isiqhagamsheli:,416,baobab,po/xh.po
Folder,462,Isiqulathi seefayili,463,baobab,po/xh.po
Size,471,Ubukhulu,472,baobab,po/xh.po
Mo_ve to Trash,510,Ha_mbisa kubuVuvu,511,baobab,po/xh.po
There was an error displaying help.,539,Kubekho impazamo yokubonisa uncedo.,540,baobab,po/xh.po
The document does not exist.,578,Uxwebhu alukho.,579,baobab,po/xh.po
Cheese Website,23,Iwebsiyithi ka-Cheese,24,cheese,po/xh.po
"Take photos and videos with your webcam, with fun graphical effects",27,"Thatha imifanekiso yakho ngekhamera yekhompuyutha, enotshintsho olonwabisayo",28,cheese,po/xh.po
Move _All to Trash,36,Yisa _konke emgqomeni,37,cheese,po/xh.po
Move to _Trash,40,Yisa e_Mgqomeni,41,cheese,po/xh.po
Ne_xt Effects,44,Utshi_ntsho olulandelayo,45,cheese,po/xh.po
P_revious Effects,48,Utshin_tsho oludlulileyo,49,cheese,po/xh.po
Record a video,52,Shicilela ividiyo,53,cheese,po/xh.po
Save _As…,56,Gcina _njenge…,57,cheese,po/xh.po
Take _Multiple Photos,60,Thatha imifanekiso emininzi nga_xeshanye,61,cheese,po/xh.po
Take a photo,65,Thatha umfanekiso,66,cheese,po/xh.po
Take multiple photos,69,Thatha imifanekiso emininzi ngaxeshanye,70,cheese,po/xh.po
_About,73,_Malunga,74,cheese,po/xh.po
_Burst,77,_Gqabhuka,78,cheese,po/xh.po
_Cheese,81,U-_Cheese,82,cheese,po/xh.po
_Contents,85,_Okuqulathiweyo,86,cheese,po/xh.po
_Edit,89,Hl_ela,90,cheese,po/xh.po
_Effects,93,I_ziphumo,94,cheese,po/xh.po
_Help,97,Un_cedo,98,cheese,po/xh.po
_Photo,101,I_foto,102,cheese,po/xh.po
_Record a Video,105,_Shicilela ividiyo,106,cheese,po/xh.po
_Take a Photo,109,_Thatha umfanekiso,110,cheese,po/xh.po
_Video,113,I_vidiyo,114,cheese,po/xh.po
_Wide Mode,117,U_Hlobo oluvulekile,118,cheese,po/xh.po
Effects,121,Iziphumo,122,cheese,po/xh.po
Leave fullscreen,125,Phuma kwiskrini esiphelele,126,cheese,po/xh.po
Next,129,Elandelayo,130,cheese,po/xh.po
Photo burst mode,133,Uhlobo lwefoto egqabhukayo,134,cheese,po/xh.po
Photo mode,137,Indlela yefoto,138,cheese,po/xh.po
Previous,141,Ngaphambili,142,cheese,po/xh.po
Video mode,145,Uhlobo lwevidiyo,146,cheese,po/xh.po
_Leave Fullscreen,149,_Phuma kwiskrini esiphelele,150,cheese,po/xh.po
<b>Shutter</b>,153,<b>Vala</b>,154,cheese,po/xh.po
Brightness,157,Ukukhanya,158,cheese,po/xh.po
Burst mode,161,Uhlobo olugqabhukayo,162,cheese,po/xh.po
Contrast,165,Umahluko phakathi kwezinto,166,cheese,po/xh.po
Delay between photos (seconds),169,Ukulibazisa phakathi kwefoto (imizuzu),170,cheese,po/xh.po
Device,173,Isixhobo,174,cheese,po/xh.po
Fire _Flash,177,Ulayiyo _mlilo,178,cheese,po/xh.po
Hue,181,Nika umbala,182,cheese,po/xh.po
Image properties,185,Iinkcazelo ngeempawu zomfuziselo,186,cheese,po/xh.po
Number of photos,189,Inani leefoto,190,cheese,po/xh.po
Photo resolution,193,Umlinganiselo wefoto,194,cheese,po/xh.po
Preferences,197,Uluhlu lwezinto ezikhethwayo,198,cheese,po/xh.po
Saturation,201,Ukugcwala,202,cheese,po/xh.po
Video resolution,205,Umlinganiselo wevidiyo,206,cheese,po/xh.po
Webcam,209,I-webcam,210,cheese,po/xh.po
_Countdown,213,Bala _phantsi,214,cheese,po/xh.po
Cheese,217,U-Cheese,218,cheese,po/xh.po
Cheese Webcam Booth,221,Ibooth ka-Cheese,222,cheese,po/xh.po
Shutter sound,416,Vala umculo,417,cheese,po/xh.po
_Take a photo,420,_Thatha ifoto,421,cheese,po/xh.po
_Discard photo,424,_Cima ifoto,425,cheese,po/xh.po
Device capabilities not supported,428,Isenzo esingenziwa sisixhobo asixhaswa,429,cheese,po/xh.po
Failed to initialize device %s for capability probing,433,Ayiphumelelanga ukusebenzisa isixhobo %s ukwenza isiphumo,434,cheese,po/xh.po
Unknown device,437,Isixhobo esingaziwa,438,cheese,po/xh.po
Cancellable initialization not supported,441,Esiyekekayo isenzo asixhaswa,442,cheese,po/xh.po
No device found,446,Akukho sixhobo sekhompyutha sifunyenweyo,447,cheese,po/xh.po
One or more needed GStreamer elements are missing: ,450,Enye okanye ezininzi iGStreamer akazikaveli: ,451,cheese,po/xh.po
No Effect,454,Akukho siphumo,455,cheese,po/xh.po
Start in wide mode,458,Qala kuhlobo oluvulekile,459,cheese,po/xh.po
Device to use as a camera,462,Isixhobo sokusebenzisa ikhamera,463,cheese,po/xh.po
DEVICE,466,ISIXHOBO,467,cheese,po/xh.po
Output version information and exit,470,Iziphomo zohlobo lweenkcukacha kwaye uphume,471,cheese,po/xh.po
Start in fullscreen mode,474,Qalisa ngemo yesikrini esipheleleyo,475,cheese,po/xh.po
- Take photos and videos from your webcam,478,- Thata iifoto kunye nevidiyo kwiwebcam yakho,479,cheese,po/xh.po
Run '%s --help' to see a full list of available command line options.\n,483,Sebenzisa '%s --help' lokufumana uluhlu olukhoyo lomyalelo weenketho zelayini.\n,484,cheese,po/xh.po
Another instance of Cheese is currently running\n,490,Olunye uhlobo luka-Cheese luvuliwe ngoku\n,491,cheese,po/xh.po
Stop _Recording,494,_Yeka ukushicilela,495,cheese,po/xh.po
Stop _Taking Pictures,498,Yeka uku_thatha imifanekiso,499,cheese,po/xh.po
No effects found,502,Alukho siphumo esifunyenwe,503,cheese,po/xh.po
Show “_%s”,34,Bonisa “_%s”,35,eog,po/xh.po
_Move on Toolbar,38,_Gqithela kwibar yezixhobo,39,eog,po/xh.po
Move the selected item on the toolbar,42,Shenxisa le nto ekhethiweyo kwibar yezixhobo,43,eog,po/xh.po
_Remove from Toolbar,46,_Susa kwi-bar yezixhobo,47,eog,po/xh.po
Remove the selected item from the toolbar,50,Susa le nto ekhethiweyo kwibar yezixhobo,51,eog,po/xh.po
_Delete Toolbar,54,_Cima ibar yezixhobo,55,eog,po/xh.po
Remove the selected toolbar,58,Susa ibar yezixhobo ekhethiwe,59,eog,po/xh.po
Separator,62,Isahlukanisi,63,eog,po/xh.po
Activate fullscreen mode with double-click,66,Yenza ibeyifestile egcwele ngokucofa kabini,67,eog,po/xh.po
Fullscreen with double-click,70,Isikrini esipheleleyo ngokucofa kabini,71,eog,po/xh.po
Reload Image,75,Faka kwakhona umfanekiso,76,eog,po/xh.po
Reload current image,80,Phinda ulayishe umfanekiso okhoyo,81,eog,po/xh.po
Date in statusbar,84,Usuku kwindawo yokubonisa,85,eog,po/xh.po
Shows the image date in the window statusbar,88,Bonisa umfanekiso wosuku kwifestile yomgca wobume obuqhubekayo,89,eog,po/xh.po
Browse and rotate images,92,Funda nje kwaye ujikajike umifanekiso,93,eog,po/xh.po
Image Viewer,96,Isibonisi-Mfanekiso,97,eog,po/xh.po
Aperture Value:,100,Ixabiso lekroba:,101,eog,po/xh.po
Author:,104,Umqulunqi:,105,eog,po/xh.po
Bytes:,108,Iibyte:,109,eog,po/xh.po
Camera Model:,112,Uhlobo lwe-khamera:,113,eog,po/xh.po
Copyright:,116,Amalungelo omqulunqi:,117,eog,po/xh.po
Date/Time:,120,Umhla/Ixesha:,121,eog,po/xh.po
Description:,124,Inkcazelo:,125,eog,po/xh.po
Details,128,Iinkcukacha,129,eog,po/xh.po
Exposure Time:,132,Ixesha lokutyhilwa:,133,eog,po/xh.po
Flash:,136,Danyaza:,137,eog,po/xh.po
Focal Length:,140,Ubude besazulu:,141,eog,po/xh.po
General,144,Ngokubanzi,145,eog,po/xh.po
Height:,148,Ukuphakama:,149,eog,po/xh.po
ISO Speed Rating:,152,Uthelekelelo lwesantya se-ISO:,153,eog,po/xh.po
Image Properties,156,Iinkcazelo ngeempawu zomfuziselo,157,eog,po/xh.po
Keywords:,160,Amagama asentloko:,161,eog,po/xh.po
Location:,164,Indawo yokuthile:,165,eog,po/xh.po
Metadata,168,I-metadata,169,eog,po/xh.po
Metering Mode:,172,Uhlelo lwe-metering:,173,eog,po/xh.po
Name:,176,Igama:,177,eog,po/xh.po
Type:,180,Chwetheza:,181,eog,po/xh.po
Width:,184,Ububanzi:,185,eog,po/xh.po
_Next,188,_Landelayo,189,eog,po/xh.po
_Previous,192,_Ngaphambili,193,eog,po/xh.po
<b>%f:</b> original filename,197,<b>%f:</b> uqobo lwegama lefayili,198,eog,po/xh.po
<b>%n:</b> counter,202,<b>%n:</b> ikhawunta,203,eog,po/xh.po
Choose a folder,206,Khetha isiqulathi seefayili,207,eog,po/xh.po
Destination folder:,210,Isiqulathi seefayile sendawo eya kuyo:,211,eog,po/xh.po
File Name Preview,214,Ukujonga igama lefayili phambi koshicilelo,215,eog,po/xh.po
File Path Specifications,218,Ukubalula indlela yefayili,219,eog,po/xh.po
Filename format:,222,Ubume begama lefayili:,223,eog,po/xh.po
Options,226,Okukhethwayo,227,eog,po/xh.po
Rename from:,230,Nika igama kwakhona ukusuka:,231,eog,po/xh.po
Replace spaces with underscores,234,Faka umgca ngendawo yesithuba,235,eog,po/xh.po
Save As,238,Gcina Njenge,239,eog,po/xh.po
Start counter at:,242,Qalisa isibali e-:,243,eog,po/xh.po
To:,246,Iya ku:,247,eog,po/xh.po
As _background,250,Nje_ngokungasemva,251,eog,po/xh.po
As check _pattern,254,Njengepateni _yokukhangela,255,eog,po/xh.po
As custom c_olor:,258,Njengom_bala womthengi:,259,eog,po/xh.po
As custom color:,262,Njengombala womthengi:,263,eog,po/xh.po
Background,266,Okungasemva,267,eog,po/xh.po
Background Color,271,Umbala ongasemva,272,eog,po/xh.po
Color for Transparent Areas,275,Umbala weendawo ocace gca,276,eog,po/xh.po
E_xpand images to fit screen,279,Yan_disa umfanekiso ukuze wanele isikrini,280,eog,po/xh.po
Image Enhancements,283,Ukwenyuswelwa komfanekiso,284,eog,po/xh.po
Image View,287,Umboniso womfanekiso,288,eog,po/xh.po
Image Zoom,291,Ukwandisa umfanekiso,292,eog,po/xh.po
Plugins,295,Izingeniso,296,eog,po/xh.po
seconds,301,imizuzu,302,eog,po/xh.po
_Switch image after:,307,_Tshintshisa umfanekiso emveni koko:,308,eog,po/xh.po
Preferences,311,Uluhlu lwezinto ezikhethwayo,312,eog,po/xh.po
Sequence,315,Ukulandelana,316,eog,po/xh.po
Slideshow,319,Umboniso wotyibiliko,320,eog,po/xh.po
Smooth images when zoomed-_in,323,Imifanekiso ecocekile xa yandisi_we,324,eog,po/xh.po
Smooth images when zoomed-_out,327,Imifanekiso ecocekile xa inciphisi_we,328,eog,po/xh.po
Transparent Parts,331,Iindawo ezicace gca,332,eog,po/xh.po
_Automatic orientation,335,In_dlela yokubonisa ezenzekelayo,336,eog,po/xh.po
_Loop sequence,339,Ukul_andelana kwesethi yeengxelo,340,eog,po/xh.po
A value greater than 0 determines the seconds an image stays on screen until the next one is shown automatically. Zero disables the automatic browsing.,343,Ixabiso elingaphezulu kwe-0 limisela imizuzwana ehlalwa ngumfanekiso kwiskrini de kuboniswe olandelayo ngokuzenzekelayo. Iqanda alikuvumeli ukukhangela okuzenzekelayo.,346,eog,po/xh.po
Allow zoom greater than 100% initially,357,Vumela isandisi esingaphezulu kwe-100% xa kuqaliswayo,358,eog,po/xh.po
Delay in seconds until showing the next image,371,Yilibazise imizuzwana de kuvele umfanekiso olandelayo,372,eog,po/xh.po
External program to use for editing images,382,Inkqubo yangaphandle iyasetyenziswa ukulungisa umfanekiso,383,eog,po/xh.po
Extrapolate Image,386,Ukufakisisa umfanekiso,387,eog,po/xh.po
"If the transparency key has the value COLOR, then this key determines the color which is used for indicating transparency.",413,"Ukuba iqhosha lokucace gca limele COLOR, elo qhosha limisa umbala osetyenzisiweyo ukubonisa isicacisi.",416,eog,po/xh.po
If this is set to FALSE small images will not be stretched to fit into the screen initially.,428,Ukuba le nto imiselwe ku-FALSE imifanekiso emincinane ayinako ukutsalwa ukuze yanele kwiskrini xa kuqaliswayo.,431,eog,po/xh.po
Interpolate Image,442,Ukufakela umfanekiso,443,eog,po/xh.po
Loop through the image sequence,453,Setha iingxelo uyidlulise kulandelwano lwemfanekiso,454,eog,po/xh.po
Show/Hide the window side pane.,471,Bonisa/fihla ifestile yeglasi esecaleni.,472,eog,po/xh.po
Show/Hide the window statusbar.,475,Bonisa/fihla ifestile yomgca wobume obuqhubekayo.,476,eog,po/xh.po
Show/Hide the window toolbar.,479,Bonisa/fihla ifestile yebar yezixhobo.,480,eog,po/xh.po
Transparency color,506,Umbala ocace gca,507,eog,po/xh.po
Transparency indicator,510,Isalathisi esicace gca,511,eog,po/xh.po
Use a custom background color,520,Sebenzisa umbala wasemva osele ukhona,521,eog,po/xh.po
Whether the image should be interpolated on zoom-out. This leads to better quality but is somewhat slower than non-interpolated images.,546,Ukuba umfanekiso ufanele ukufakelwa okanye ukungafakelwa kwisandisi. Oku kukhokelela kubunjani obungcono kodwa kuyacotha kunemifanekiso engafakelwayo.,549,eog,po/xh.po
Whether the sequence of images should be shown in an endless loop.,568,Ukuba kunjalo okanye akunjalo ukulandelana kwemifanekiso kufuneka kubonisiwe kwisethi yeengxelo ezingenasiphelo.,569,eog,po/xh.po
Close _without Saving,578,_Vala ungagcinanga,579,eog,po/xh.po
Question,582,Umbuzo,583,eog,po/xh.po
"If you don't save, your changes will be lost.",586,Ukuba awugcini umsebenzi wakho utshintsho lwakho luza kulahleka.,587,eog,po/xh.po
"Save changes to image \""%s\"" before closing?",591,"Gcina utshintsho kumfanekiso \""%s\"" phambi kokuvala?",592,eog,po/xh.po
There is %d image with unsaved changes. Save changes before closing?,596,Kukho umfanekiso oyi-%d aneenguqu ezingagcinwanga. Ufuna ukugcina iinguqu phambi kokuba uvale?,599,eog,po/xh.po
There is %d image with unsaved changes. Save changes before closing?,596,Kukho imfanekiso eyi-%d aneenguqu ezingagcinwanga. Ufuna ukugcina iinguqu phambi kokuba uvale?,602,eog,po/xh.po
S_elect the images you want to save:,607,_Khetha imifanekiso ofuna ukuwagcina:,608,eog,po/xh.po
"If you don't save, all your changes will be lost.",612,Ukuba awugcini umsebenzi wakho utshintsho lwakho lonke luza kulahleka.,613,eog,po/xh.po
File format is unknown or unsupported,616,Uhlobo lwefayile alwaziwa kwaye alixhaswanga,617,eog,po/xh.po
