Enable or disable system networking,34,启用或禁用系统联网,35,NetworkManager,po/zh_CN.po
System policy prevents enabling or disabling system networking,38,系统策略阻止启用或禁用系统联网,39,NetworkManager,po/zh_CN.po
Reload NetworkManager configuration,42,重新加载网络管理器配置,43,NetworkManager,po/zh_CN.po
System policy prevents reloading NetworkManager,46,系统策略阻止重新加载网络管理器,47,NetworkManager,po/zh_CN.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),50,挂起或唤醒网络管理器（应仅用于系统电源管理）,53,NetworkManager,po/zh_CN.po
System policy prevents putting NetworkManager to sleep or waking it up,56,系统策略阻止挂起或唤醒网络管理器,57,NetworkManager,po/zh_CN.po
Enable or disable Wi-Fi devices,60,启用或禁用 Wi-Fi 设备,61,NetworkManager,po/zh_CN.po
System policy prevents enabling or disabling Wi-Fi devices,64,系统策略阻止启用或禁用 Wi-Fi 设备,65,NetworkManager,po/zh_CN.po
Enable or disable mobile broadband devices,68,启用或禁用移动宽带设备,69,NetworkManager,po/zh_CN.po
System policy prevents enabling or disabling mobile broadband devices,72,系统策略阻止启用或禁用移动宽带设备,73,NetworkManager,po/zh_CN.po
Enable or disable WiMAX mobile broadband devices,76,启用或禁用 WiMAX 移动宽带设备,77,NetworkManager,po/zh_CN.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,80,系统策略阻止启用或禁用 WiMAX 移动宽带设备,82,NetworkManager,po/zh_CN.po
Allow control of network connections,85,允许控制网络连接,86,NetworkManager,po/zh_CN.po
System policy prevents control of network connections,89,系统策略阻止网络连接的控制,90,NetworkManager,po/zh_CN.po
Allow control of Wi-Fi scans,93,允许控制 Wi-Fi 扫描,94,NetworkManager,po/zh_CN.po
System policy prevents Wi-Fi scans,97,系统策略阻止 Wi-Fi 扫描,98,NetworkManager,po/zh_CN.po
Connection sharing via a protected Wi-Fi network,101,通过受保护的 Wi-Fi 网络共享连接,102,NetworkManager,po/zh_CN.po
System policy prevents sharing connections via a protected Wi-Fi network,105,系统策略阻止使用受保护的 Wi-Fi 网络共享连接,107,NetworkManager,po/zh_CN.po
Connection sharing via an open Wi-Fi network,110,通过开放 Wi-Fi 网络共享连接,111,NetworkManager,po/zh_CN.po
System policy prevents sharing connections via an open Wi-Fi network,114,系统策略阻止使用开放 Wi-Fi 网络共享连接,115,NetworkManager,po/zh_CN.po
Modify personal network connections,118,更改个人网络连接,119,NetworkManager,po/zh_CN.po
System policy prevents modification of personal network settings,122,系统策略阻止更改个人网络设置,123,NetworkManager,po/zh_CN.po
Modify network connections for all users,126,修改所有用户的网络连接,127,NetworkManager,po/zh_CN.po
System policy prevents modification of network settings for all users,130,系统策略阻止所有用户修改网络设置,131,NetworkManager,po/zh_CN.po
Modify persistent system hostname,134,修改系统固有主机名,135,NetworkManager,po/zh_CN.po
System policy prevents modification of the persistent system hostname,138,系统策略阻止修改系统固有主机名,139,NetworkManager,po/zh_CN.po
Modify persistent global DNS configuration,142,修改持久性全局 DNS 配置,143,NetworkManager,po/zh_CN.po
System policy prevents modification of the persistent global DNS configuration,146,系统策略阻止修改持久性全局 DNS 配置,149,NetworkManager,po/zh_CN.po
Perform a checkpoint or rollback of interfaces configuration,152,执行接口配置的检查点或回滚,153,NetworkManager,po/zh_CN.po
System policy prevents the creation of a checkpoint or its rollback,156,系统策略阻止检查点的创建或其回滚,157,NetworkManager,po/zh_CN.po
Enable or disable device statistics,160,启用或禁用设备统计,161,NetworkManager,po/zh_CN.po
System policy prevents enabling or disabling device statistics,164,系统策略阻止启用或禁用设备统计,165,NetworkManager,po/zh_CN.po
Enable or disable connectivity checking,168,启用或禁用连接性检查,169,NetworkManager,po/zh_CN.po
System policy prevents enabling or disabling connectivity checking,172,系统策略阻止启用或禁用连接性检查,173,NetworkManager,po/zh_CN.po
ADSL connection,187,ADSL 连接,188,NetworkManager,po/zh_CN.po
%s Network,192,%s 网络,193,NetworkManager,po/zh_CN.po
"PAN requested, but Bluetooth device does not support NAP",196,PAN 已请求，但蓝牙设备不支持 NAP,197,NetworkManager,po/zh_CN.po
"PAN connections cannot specify GSM, CDMA, or serial settings",200,PAN 连接无法指定 GSM、CDMA 或串行设置,201,NetworkManager,po/zh_CN.po
PAN connection,204,PAN 连接,205,NetworkManager,po/zh_CN.po
"DUN requested, but Bluetooth device does not support DUN",208,DUN 已请求，但蓝牙设备不支持 DUN,209,NetworkManager,po/zh_CN.po
DUN connection must include a GSM or CDMA setting,212,DUN 连接必须包含 GSM 或 CDMA 设置,213,NetworkManager,po/zh_CN.po
GSM connection,217,GSM 连接,218,NetworkManager,po/zh_CN.po
CDMA connection,222,CDMA 连接,223,NetworkManager,po/zh_CN.po
Unknown/unhandled Bluetooth connection type,226,未知的/未处理的蓝牙连接类型,227,NetworkManager,po/zh_CN.po
connection does not match device,230,连接不匹配设备,231,NetworkManager,po/zh_CN.po
6LOWPAN connection,234,6LOWPAN 连接,235,NetworkManager,po/zh_CN.po
Bond connection,238,绑定连接,239,NetworkManager,po/zh_CN.po
Bridge connection,242,网桥连接,243,NetworkManager,po/zh_CN.po
Dummy connection,246,虚拟连接,247,NetworkManager,po/zh_CN.po
Wired connection %d,251,有线连接 %d,252,NetworkManager,po/zh_CN.po
Veth connection,256,Veth 连接,257,NetworkManager,po/zh_CN.po
PPPoE connection,260,PPPoE 连接,261,NetworkManager,po/zh_CN.po
