Enable or disable system networking,34,啟用或停用系統網路,35,NetworkManager,po/zh_TW.po
System policy prevents enabling or disabling system networking,38,系統政策防止啟用或停用系統網路作業,39,NetworkManager,po/zh_TW.po
Reload NetworkManager configuration,42,重新載入 NetworkManager 設定,43,NetworkManager,po/zh_TW.po
System policy prevents reloading NetworkManager,46,系統政策防止重新載入 NetworkManager,47,NetworkManager,po/zh_TW.po
Put NetworkManager to sleep or wake it up (should only be used by system power management),50,將 NetworkManager 導入睡眠模式或將它啟用（只應被系統電源管理所使用）,53,NetworkManager,po/zh_TW.po
System policy prevents putting NetworkManager to sleep or waking it up,56,系統政策防止將 NetworkManager 導入睡眠模式或將其啟用,57,NetworkManager,po/zh_TW.po
Enable or disable Wi-Fi devices,60,啟用或停用 Wi-Fi 裝置,61,NetworkManager,po/zh_TW.po
System policy prevents enabling or disabling Wi-Fi devices,64,系統政策防止啟用或停用 Wi-Fi 裝置,65,NetworkManager,po/zh_TW.po
Enable or disable mobile broadband devices,68,啟用或停用行動寬頻裝置,69,NetworkManager,po/zh_TW.po
System policy prevents enabling or disabling mobile broadband devices,72,系統政策防止啟用或停用行動寬頻裝置,73,NetworkManager,po/zh_TW.po
Enable or disable WiMAX mobile broadband devices,76,啟用或停用 WiMAX 行動寬頻裝置,77,NetworkManager,po/zh_TW.po
System policy prevents enabling or disabling WiMAX mobile broadband devices,80,系統政策防止啟用或停用 WiMAX 行動寬頻裝置,82,NetworkManager,po/zh_TW.po
Allow control of network connections,85,允許控制網路連線,86,NetworkManager,po/zh_TW.po
System policy prevents control of network connections,89,系統政策防止網路連線的控制,90,NetworkManager,po/zh_TW.po
Allow control of Wi-Fi scans,93,允許控制 Wi-Fi 掃描,94,NetworkManager,po/zh_TW.po
System policy prevents Wi-Fi scans,97,系統政策防止 Wi-Fi 掃描,98,NetworkManager,po/zh_TW.po
Connection sharing via a protected Wi-Fi network,101,透過受保護的 Wi-Fi 網路共享連線,102,NetworkManager,po/zh_TW.po
System policy prevents sharing connections via a protected Wi-Fi network,105,系統政策讓您無法透過受保護的 Wi-Fi 網路共享連結,107,NetworkManager,po/zh_TW.po
Connection sharing via an open Wi-Fi network,110,透過開放的 Wi-Fi 網路共享連線,111,NetworkManager,po/zh_TW.po
System policy prevents sharing connections via an open Wi-Fi network,114,系統政策讓您無法透過開放的 Wi-Fi 網路共享連線,115,NetworkManager,po/zh_TW.po
Modify personal network connections,118,修改個人網路連線,119,NetworkManager,po/zh_TW.po
System policy prevents modification of personal network settings,122,系統政策防止修改個人網路設定,123,NetworkManager,po/zh_TW.po
Modify network connections for all users,126,修改所有使用者的網路連線,127,NetworkManager,po/zh_TW.po
System policy prevents modification of network settings for all users,130,系統政策防止修改所有使用者的網路設定,131,NetworkManager,po/zh_TW.po
Modify persistent system hostname,134,修改永久系統的主機名稱,135,NetworkManager,po/zh_TW.po
System policy prevents modification of the persistent system hostname,138,系統政策讓您無法修改永久的系統主機名稱,139,NetworkManager,po/zh_TW.po
Modify persistent global DNS configuration,142,修改持久性全局DNS配置,143,NetworkManager,po/zh_TW.po
System policy prevents modification of the persistent global DNS configuration,146,系統政策讓您無法修改永久的全域 DNS 設定,149,NetworkManager,po/zh_TW.po
Perform a checkpoint or rollback of interfaces configuration,152,執行接口配置的檢查點或回滾,153,NetworkManager,po/zh_TW.po
System policy prevents the creation of a checkpoint or its rollback,156,系統策略可防止創建檢查點或其回滾,157,NetworkManager,po/zh_TW.po
Enable or disable device statistics,160,啟用或禁用設備統計信息,161,NetworkManager,po/zh_TW.po
System policy prevents enabling or disabling device statistics,164,系統策略阻止啟用或禁用設備統計信息,165,NetworkManager,po/zh_TW.po
Enable or disable connectivity checking,168,啟用或禁用連接檢查,169,NetworkManager,po/zh_TW.po
System policy prevents enabling or disabling connectivity checking,172,系統策略阻止啟用或禁用連接檢查,173,NetworkManager,po/zh_TW.po
ADSL connection,187,ADSL 連線,188,NetworkManager,po/zh_TW.po
%s Network,192,%s 網路,193,NetworkManager,po/zh_TW.po
"PAN requested, but Bluetooth device does not support NAP",196,PAN要求，但藍牙設備不支持NAP,197,NetworkManager,po/zh_TW.po
"PAN connections cannot specify GSM, CDMA, or serial settings",200,PAN連接不能指定GSM，CDMA或串行設置,201,NetworkManager,po/zh_TW.po
PAN connection,204,PAN 連線,205,NetworkManager,po/zh_TW.po
"DUN requested, but Bluetooth device does not support DUN",208,DUN請求，但藍牙設備不支持DUN,209,NetworkManager,po/zh_TW.po
DUN connection must include a GSM or CDMA setting,212,DUN連接必須包括GSM或CDMA設置,213,NetworkManager,po/zh_TW.po
GSM connection,217,GSM 連線,218,NetworkManager,po/zh_TW.po
CDMA connection,222,CDMA 連線,223,NetworkManager,po/zh_TW.po
Unknown/unhandled Bluetooth connection type,226,未知/未處理的藍牙連接類型,227,NetworkManager,po/zh_TW.po
connection does not match device,230,連線不符合裝置,231,NetworkManager,po/zh_TW.po
6LOWPAN connection,234,6LOWPAN連接,235,NetworkManager,po/zh_TW.po
Bond connection,238,Bond 連線,239,NetworkManager,po/zh_TW.po
Bridge connection,242,橋接連線,243,NetworkManager,po/zh_TW.po
Dummy connection,246,虛擬連線,247,NetworkManager,po/zh_TW.po
