Cheese,26,i-Cheese,27,cheese,po/zu.po
Cheese Website,30,Iwebhusayithi ye-Cheese,31,cheese,po/zu.po
"Take photos and videos with your webcam, with fun graphical effects",34,"Thwebula izithombe kanye namavidiyo nge-webcam yakho, enemiphumela ejabulisayo yombukiso",35,cheese,po/zu.po
Move _All to Trash,73,Yis_a konke kudoti,74,cheese,po/zu.po
Move to _Trash,77,Yisa kudo_ti,78,cheese,po/zu.po
Ne_xt Effects,81,Imiphumela e_landelayo,82,cheese,po/zu.po
P_revious Effects,85,Imiphumela e_seyadlula,86,cheese,po/zu.po
Record a video,89,Qopha ividiyo,90,cheese,po/zu.po
Save _As…,93,Gcin_a njenge…,94,cheese,po/zu.po
Take _Multiple Photos,97,Thwebula izitho_mbe eziningi,98,cheese,po/zu.po
Take a photo,102,Thwebula isithombe,103,cheese,po/zu.po
Take multiple photos,106,Thwebula izithombe ezsiningi,107,cheese,po/zu.po
_About,110,M_ayelana,111,cheese,po/zu.po
_Burst,114,Inqwa_ba,115,cheese,po/zu.po
_Cheese,118,i-_Cheese,119,cheese,po/zu.po
_Contents,122,_Okuqukethwe,123,cheese,po/zu.po
_Edit,126,Hl_ela,127,cheese,po/zu.po
_Effects,130,Imiphum_ela,131,cheese,po/zu.po
_Help,134,_Usizo,135,cheese,po/zu.po
_Photo,138,_Isithombe,139,cheese,po/zu.po
_Record a Video,142,_Qopha ividiyo,143,cheese,po/zu.po
_Take a Photo,146,_Thwebula isithombe,147,cheese,po/zu.po
_Video,150,I_vidiyo,151,cheese,po/zu.po
_Wide Mode,154,I_ndlela ebanzi,155,cheese,po/zu.po
Effects,158,Imiphumela,159,cheese,po/zu.po
Leave fullscreen,162,Phuma kwisikrini esigcwele,163,cheese,po/zu.po
Next,166,Okulandelayo,167,cheese,po/zu.po
Photo burst mode,170,Indlela yamafotho ayinqwaba,171,cheese,po/zu.po
Photo mode,174,Indlela yesithombe,175,cheese,po/zu.po
Previous,178,Okudlule,179,cheese,po/zu.po
Video mode,182,Indlela yevidiyo,183,cheese,po/zu.po
_Leave Fullscreen,186,_Yeka isikrini esigcwele,187,cheese,po/zu.po
<b>Shutter</b>,190,<b>i-Shutter</b>,191,cheese,po/zu.po
Brightness,194,Okugqama,195,cheese,po/zu.po
Burst mode,198,Indlela yenqwaba,199,cheese,po/zu.po
Contrast,202,Ukwahlukanisa,203,cheese,po/zu.po
Delay between photos (seconds),206,Bambezela maphakathi nezithombe (imizuzwana),207,cheese,po/zu.po
Device,210,Isisetshenziswa,211,cheese,po/zu.po
Fire _Flash,214,Phazimisa o_kwesibani,215,cheese,po/zu.po
Hue,218,i-Hue,219,cheese,po/zu.po
Image properties,222,Izakhiwo zesithombe,223,cheese,po/zu.po
Number of photos,226,Inani lezithombe,227,cheese,po/zu.po
Photo resolution,230,Ukulungiswa kwesithombe,231,cheese,po/zu.po
